ORF	WT	Opt	WTRNA
NCU02692	6.1	7.8	5.4
NCU02693	160.6	171.2	66.2
NCU02694	1.5	1.8	3.8
NCU02695	153.9	164.1	31.4
NCU02696	29	23.1	7.2
NCU02697	8.3	27.4	41.5
NCU02698	0	0	0
NCU02699	12.1	11.9	2.9
NCU02700	7.7	14.9	6.5
NCU02701	177.3	245.5	86.3
NCU02702	12.1	5.9	2.4
NCU02703	5.6	12.4	12.4
NCU02704	4.4	11.8	3.4
NCU02705	26.8	38.9	13.5
NCU02706	32.5	35.6	10.2
NCU02707	912	1864.9	411.2
NCU02710	0	0.1	0
NCU02711	5.9	1.3	1.5
NCU02712	103.4	36.7	112.9
NCU02713	91.5	22.4	27.8
NCU02716	26.4	31	3
NCU02717	38.7	63.7	25.9
NCU02718	136.7	118	12.9
NCU02719	5.6	14.3	82.3
NCU02720	100.3	62.1	12.2
NCU02721	0	0	1.5
NCU02722	0	0.3	5.8
NCU02723	78.6	54.7	25.8
NCU02724	42	69.7	8.2
NCU02725	5	4.7	3.6
NCU02726	68.3	72.2	9.5
NCU02727	99.8	128.3	22.2
NCU02728	15.3	12.5	2.6
NCU02729	44.1	38.4	24.9
NCU02730	17	34.3	9.6
NCU02731	16.2	14.9	2.2
NCU02732	39.3	40.3	13.6
NCU02733	31.9	57.9	38.7
NCU02734	31.1	40.6	59.3
NCU02735	0.1	0.2	1.1
NCU02736	974.7	1119.2	107
NCU02737	11.2	14.3	8
NCU02738	114.4	87.9	40.2
NCU02739	10.1	10.7	5.2
NCU02740	0.3	0	0.4
NCU02741	18.2	13.7	9.4
NCU02742	68.8	51.6	8.1
NCU02743	94.7	65.6	18.5
NCU02744	1438	999.3	713
NCU02745	97.3	117.6	16
NCU02746	227.7	145.4	83.2
NCU02747	19.9	19.2	4.2
NCU02748	28.9	42.5	57.6
NCU02749	14.5	9.7	2.1
NCU02750	25.6	24.2	6
NCU02751	29.5	21.9	8.7
NCU02752	9.6	10.8	3.6
NCU02753	32.2	22.6	28.4
NCU02754	89.3	90.5	23.5
NCU02755	60.5	53.4	10.1
NCU02757	112.9	78.9	171.8
NCU02758	110.5	74.5	14
NCU02759	4.9	3.6	1.9
NCU02761	1.1	1.9	6.5
NCU02762	16.1	11.1	3.8
NCU02764	1.9	1.3	1.1
NCU02765	488.7	163.7	154.9
NCU02767	12.9	31.5	4.6
NCU02769	0.4	0	0
NCU02770	13.8	8.5	8
NCU02771	277	213.3	267.8
NCU02772	9.1	29.9	16.7
NCU02773	22.2	64.2	22
NCU02774	0	0	0
NCU02775	45	38.4	11.8
NCU02776	15.2	16.2	5.1
NCU02777	4.7	3.3	1.4
NCU02778	39.3	50.6	9.1
NCU02779	1.8	3.2	1.4
NCU02780	37.3	55.9	15.6
NCU02781	207.3	199.9	57.5
NCU02782	0	0.3	0.2
NCU02783	5.7	5.2	4.9
NCU02784	96.2	59.5	70.7
NCU02785	187.9	139.6	39
NCU02786	292.7	333.2	346.1
NCU02787	8.7	2.4	2568.1
NCU02788	47.8	41.1	20.3
NCU02789	8.3	6.6	3.8
NCU02790	2.7	13.2	2.9
NCU02791	2.9	2.8	5.5
NCU02793	12.4	9.9	8.4
NCU02794	45.3	59.5	11.3
NCU02795	19.8	13	16.4
NCU02796	9	8.4	8.8
NCU02797	1581.8	893.2	240.1
NCU02798	152	628.2	45.8
NCU02799	0.2	0	0.5
NCU02800	61.4	78.1	15.5
NCU02801	162.2	226.2	114.6
NCU02802	19.8	16.6	4.3
NCU02803	34.9	33.1	24.6
NCU02804	45.2	70.9	125.3
NCU02805	1.1	10.1	2.6
NCU02806	2120.7	2047.6	550.3
NCU02807	1098	1130.6	325.2
NCU02808	107.8	92.3	150.9
NCU02809	47	52.8	41
NCU02810	341.8	218.3	66.5
NCU02811	146.7	214.2	36.2
NCU02812	147.5	257.6	185.3
NCU02813	373.3	303.3	105.1
NCU02814	60.8	52.2	13.2
NCU02815	106.4	104.1	13.1
NCU02817	0	0.3	0
NCU02818	0	0	0
NCU02819	23.9	18.3	6.8
NCU02826	13.5	12.6	16.9
NCU02828	29.6	30	11.3
NCU02829	238.4	344.8	325.4
NCU02830	32.6	28.5	5.8
NCU02833	26.8	32	5.2
NCU02834	28.3	41.6	7.7
NCU02837	214.9	146.6	30.2
NCU02838	7.8	8.7	4
NCU02839	303.6	272	615
NCU02840	232.6	264.5	164.3
NCU02842	12.9	15.6	5.3
NCU02843	0	0	0
NCU02846	7.3	5.2	12
NCU02847	0	2.9	0
NCU02849	0.7	3.1	1.9
NCU02850	0.2	0.3	0
NCU02852	0.2	0	0
NCU02853	6.2	4.1	4.5
NCU02854	0	0	0.5
NCU02855	0.6	1.1	0
NCU02856	0	0	0
NCU02857	0.1	0.1	0
NCU02858	0.1	0	0.6
NCU02860	0	0	0
NCU02861	0	0	0
NCU02862	0	0	0
NCU02864	0.2	0	0
NCU02865	0	0	0
NCU02866	0	0	0
NCU02867	0	0	0
NCU02868	0	0.1	0
NCU02869	0.3	0.2	0
NCU02870	0.2	0.2	0.5
NCU02872	0.1	0.2	0
NCU02873	21.6	0	9229.1
NCU02875	14.6	8.8	3.3
NCU02876	0	0	0
NCU02877	4.4	11	2.1
NCU02878	0	0	0
NCU02879	1	1.9	0.9
NCU02880	0	2.1	0
NCU02882	12.9	8.7	32.7
NCU02883	4.5	5.1	4.3
NCU02884	1.3	2.9	3.2
NCU02885	46.4	26.1	6.4
NCU02886	90.2	67.4	208.2
NCU02887	246.9	126.5	439.2
NCU02888	103.8	228.1	226.6
NCU02889	0	0	0
NCU02890	7	14.8	3.6
NCU02894	51.1	16.5	10.6
NCU02895	64.2	154	40.8
NCU02896	27.5	19.2	9.6
NCU02897	0	0.2	0.1
NCU02898	5.9	5.3	1.2
NCU02899	107.5	140.1	41.8
NCU02900	0	0	0
NCU02901	36.8	78.8	16.7
NCU02902	0	0	0
NCU02903	16	8	18.8
NCU02904	194.6	106.7	298.4
NCU02905	1056.3	856.8	639.9
NCU02906	16.2	4.6	2.8
NCU02908	0	0	0
NCU02909	3.5	2.9	11.2
NCU02910	0.6	2.3	0.3
NCU02913	2.7	0.8	1.1
NCU02914	0	0.1	0
NCU02915	3.3	7.3	1.7
NCU02916	1.1	0.7	0.3
NCU02917	0.2	0.3	0.5
NCU02918	0	0	0.1
NCU02919	0	0	0.6
NCU02920	0	0	0
NCU02921	0	0	0
NCU02922	0.2	0	0
NCU02923	0.4	0	0
NCU02924	0	0	0
NCU02925	0	0.1	0
NCU02926	0.1	0	0.2
NCU02927	0	0	0
NCU02928	0	0	1.3
NCU02929	0.2	0.4	0.3
NCU02930	3.4	2	2.2
NCU02931	1.8	2.8	0.7
NCU02932	28.4	62	47.9
NCU02934	8.8	6.6	2.3
NCU02935	14.5	23.5	37.8
NCU02936	27.7	42.9	16.5
NCU02937	10.2	23.6	5.7
NCU02938	22.8	22.5	114.2
NCU02939	0	0.7	0
NCU02940	14.2	23.2	39.1
NCU02941	10.7	22.4	52.8
NCU02942	8.5	7.1	6
NCU02943	127.2	93.6	51.2
NCU02944	0.4	0.4	0
NCU02945	37.2	39.9	9.1
NCU02946	19.2	18.7	1.9
NCU02947	0	0	0
NCU02948	582.4	729.9	76.3
NCU02949	7.9	11.9	4.2
NCU02950	39.1	55.6	25.3
NCU02951	35.7	84.7	24.5
NCU02952	30.5	51.2	15.3
NCU02953	0	0	0.9
NCU02954	283	157.9	163.7
NCU02955	82.1	57.9	15.8
NCU02956	52	10.8	7.6
NCU02957	37.6	37.3	4.9
NCU02959	1.8	0.7	0.5
NCU02960	95.5	100.8	23.4
NCU02961	24	22.7	3.2
NCU02962	21.8	23.4	12.6
NCU02963	49.6	81.1	233.3
NCU02964	0.1	0	0
NCU02965	7.2	6.9	5.4
NCU02966	39.2	32.5	9.8
NCU02967	45	131.8	76.5
NCU02968	17.1	22.9	29.4
NCU02969	9.3	6.8	7.2
NCU02970	137.8	218.3	139.1
NCU02972	115.1	205	44.8
NCU02973	4.4	5.5	4.4
NCU02974	16.4	16.9	24.3
NCU02975	6.8	2.3	3
NCU02976	1.2	0.4	0.4
NCU02977	87.2	108.1	12.1
NCU02978	64.7	83.4	11
NCU02979	88.6	77.9	7.6
NCU02980	24.6	16.7	26.2
NCU02982	190.5	266	81.7
NCU02983	12.7	11.8	4.7
NCU02984	90.1	121.2	50.7
NCU02988	10.5	62.9	18.2
NCU02989	6	3.7	3.9
NCU02990	0	0	1.9
NCU02991	2.7	5.7	3
NCU02994	13.7	9.9	4.4
NCU02995	0	0	0
NCU02996	7.4	8.9	4.5
NCU02997	6.2	14.4	8.3
NCU02998	131.7	111.7	145.9
NCU03000	0.2	0.5	0
NCU03001	0.3	14.3	0.7
NCU03003	0	0.2	0
NCU03004	847.9	533.2	367.1
NCU03006	127.3	187.6	38
NCU03007	45.4	47.1	12.4
NCU03008	38.1	38.2	52.6
NCU03009	392.1	278.1	345.4
NCU03010	272.4	180.4	26.2
NCU03011	0.1	0.3	0.4
NCU03013	49.8	308	12.2
NCU03014	0	0.5	2
NCU03015	11.3	9.8	3.1
NCU03016	0	0	0
NCU03017	0	0	0
NCU03018	25.3	21.9	22.7
NCU03019	2.9	4	7.5
NCU03020	45.2	45.2	12.6
NCU03021	8.8	4.5	2.9
NCU03022	12.7	13.9	5.7
NCU03023	173.7	189.5	25.1
NCU03024	10.4	11.4	3.8
NCU03026	1.3	1	1.3
NCU03028	111.7	101.4	17.2
NCU03029	12.9	13.7	31.5
NCU03030	32.6	34.9	18.5
NCU03031	168.2	120.7	126.6
NCU03032	3	3.5	2.6
NCU03033	137.4	153	41
NCU03034	0	4.4	0.6
NCU03035	33.3	53.6	11.3
NCU03036	2.6	1.7	0.6
NCU03037	24.3	19.9	6.3
NCU03038	1055.1	668	600.1
NCU03039	118.2	77.8	17.2
NCU03040	4.5	8.9	3.5
NCU03041	8.7	6.4	11.9
NCU03042	52.7	35.3	6.3
NCU03043	123.7	103.4	15.5
NCU03044	0.5	0	6.1
NCU03045	18.5	22.5	6.4
NCU03047	55.1	49.4	16.2
NCU03048	16	12.2	7.1
NCU03049	0.3	0.4	0.4
NCU03050	157.7	169.4	85.2
NCU03051	32	26.5	8.4
NCU03052	0.2	0	0
NCU03053	7.5	5.6	0.7
NCU03054	20.4	16.1	38.4
NCU03055	51.6	59.5	8.9
NCU03056	0	0	0.4
NCU03057	27.7	21.8	7
NCU03058	16.4	11.4	6.2
NCU03059	12.2	11	2.4
NCU03060	37.7	34.2	6.1
NCU03061	247.3	135.8	33.3
NCU03062	50.8	35.2	5.4
NCU03063	7.8	7.1	12.1
NCU03064	80.6	68.1	14.7
NCU03065	59.7	37.5	31.7
NCU03066	60.6	63.7	10.1
NCU03067	3.5	4.5	0.5
NCU03068	68	82.8	147.5
NCU03070	27.8	18.1	3.7
NCU03071	38.4	22.3	4.4
NCU03072	8.3	4.5	4.4
NCU03073	39.2	34.9	21.3
NCU03074	2.4	1.6	1.8
NCU03076	301.9	237.7	43.7
NCU03077	8.4	8.5	1.1
NCU03078	12.2	32.6	10.3
NCU03079	11.2	19.9	1.4
NCU03080	29.4	17.6	34.2
NCU03081	50.4	106.6	22.1
NCU03082	11.8	9.5	4.8
NCU03083	167	166.5	16
NCU03084	133.3	138.9	99.6
NCU03085	42.2	49.8	53.3
NCU03086	34.3	26	37.4
NCU03087	143.8	92	327.4
NCU03088	42.7	30.8	12.3
NCU03089	46.7	54.5	13
NCU03091	26.4	36.9	7.3
NCU03092	152.9	244.3	26
NCU03093	205.9	303.4	73.2
NCU03094	59.4	70	13.2
NCU03095	10.8	12.5	3.6
NCU03096	6.8	9.1	1.5
NCU03097	30.3	29.4	9
NCU03098	2.9	1	0.2
NCU03099	21.2	32.2	13.3
NCU03100	3820.7	1614.5	718.6
NCU03101	63.5	41.8	7.3
NCU03102	1409.3	1050.6	667.1
NCU03103	13.9	13.1	3.2
NCU03104	0.1	0	0
NCU03105	4	7.7	2.4
NCU03106	12.5	8.7	37.4
NCU03107	10.8	12.3	13.6
NCU03108	238	137.1	73.8
NCU03109	0.1	0.2	0
NCU03110	8	12.7	3.1
NCU03111	3.8	2	4
NCU03112	420.7	276.5	145.2
NCU03113	38	42	4.1
NCU03114	23.3	28.3	22.9
NCU03115	18.7	29.3	4.4
NCU03116	32.5	28	5.1
NCU03117	552.5	252.1	108
NCU03118	917.1	642.7	567.3
NCU03120	17.5	15.9	16.2
NCU03121	1.4	2.2	0.7
NCU03122	10	12.7	2.5
NCU03123	2.9	2.2	1
NCU03124	237.5	193.3	45.5
NCU03125	396.5	366.8	54.4
NCU03126	438.6	554.9	77.9
NCU03127	37.3	38.9	24
NCU03128	12	11.3	8.5
NCU03129	16.6	13.7	26.6
NCU03130	96.4	77.2	34.9
NCU03131	24.6	45.8	28.7
NCU03132	18.9	35.9	7.2
NCU03133	17.9	32.3	9.4
NCU03134	0.2	0.6	0.6
NCU03135	45.3	105.9	20.3
NCU03136	18.3	15.1	8.9
NCU03137	26.1	38.3	14.8
NCU03138	17.8	45.5	16.3
NCU03139	445.5	269.5	606.4
NCU03140	0	0	0
NCU03141	21.4	42.7	6.5
NCU03142	14.9	10.3	9.4
NCU03145	85.6	60.2	26.3
NCU03146	11.5	16.1	27.2
NCU03147	77.7	101.9	132.6
NCU03148	1200.7	1215.9	3126.4
NCU03149	4.8	5.8	12.4
NCU03150	2250.9	1282.5	491.2
NCU03151	837.5	534.9	497.7
NCU03152	51.7	67	72.9
NCU03153	0.5	3.4	0.5
NCU03154	39.6	34.9	6.3
NCU03155	227.8	154.7	34.9
NCU03156	531	260.8	359.6
NCU03157	2.8	2.3	0
NCU03158	16.8	12.3	6.8
NCU03159	27.5	67.4	22.6
NCU03160	0.1	0.1	0.5
NCU03161	0	0.1	0
NCU03162	0	0	0.5
NCU03163	0	0.4	0
NCU03164	17.1	15.4	4
NCU03165	0	0.5	0
NCU03166	466.4	300.3	110.3
NCU03167	0.3	0	2.9
NCU03168	80.4	81.4	17.1
NCU03169	15.6	12.7	14.6
NCU03170	11.4	42.6	11.2
NCU03171	36.5	41.8	5.5
NCU03172	0.2	0	0
NCU03173	80.8	58.2	73.4
NCU03174	33.1	27.2	2.6
NCU03175	21	21.6	13.2
NCU03176	29.7	24.8	6.5
NCU03177	65.5	77.6	64.1
NCU03178	14.1	13.6	2.7
NCU03179	0.5	0.9	2.3
NCU03180	0.5	1.7	2.3
NCU03181	0.1	0.1	0.6
NCU03182	0	0	0
NCU03183	0	0	2.9
NCU03184	128	44.5	22.4
NCU03186	23.8	14.2	5.7
NCU03187	7.6	6.9	1.1
NCU03188	86.1	66.3	10
NCU03189	0.1	0.5	0.7
NCU03190	0	0	0.6
NCU03191	38.8	32.1	30.2
NCU03192	101.2	458.8	25.3
NCU03193	98.6	59.8	13.2
NCU03194	194.9	151.6	51.7
NCU03195	13.8	5.8	12.1
NCU03197	16.1	12.1	2.3
NCU03198	0.2	0	0
NCU03199	362.6	410.8	713.5
NCU03200	151	126	22.1
NCU03202	1.7	5.4	5.3
NCU03203	17.1	19.1	3
NCU03204	15.2	18.4	8.3
NCU03205	53	5.5	17
NCU03206	30.9	36	3
NCU03207	124.6	173.2	83.4
NCU03208	7.1	87	7.3
NCU03209	0	0	0
NCU03210	0.1	0.3	0.3
NCU03211	48.7	60.5	13.2
NCU03212	14.6	13.9	13.9
NCU03213	0	2.6	0.4
NCU03214	122.1	53.4	12.2
NCU03215	6.4	4.5	12
NCU03216	70.9	44.6	18.5
NCU03217	135.1	95.8	22.5
NCU03218	57.4	63.5	7.6
NCU03219	45.6	49.5	16
NCU03220	15.3	12.1	4.5
NCU03221	8	7.7	59.9
NCU03222	96.2	87.6	15.5
NCU03223	96.1	47.9	14.1
NCU03225	24.1	15.3	2.6
NCU03226	88	60.9	11.1
NCU03228	0.1	0.2	0
NCU03229	80	72.5	10.5
NCU03230	48.4	37.5	47.5
NCU03231	22.8	23	23.1
NCU03232	18.2	25.9	4.1
NCU03233	969.7	1226.8	1288.6
NCU03234	36.5	31.4	4.9
NCU03235	10.8	6.8	2.7
NCU03237	12.5	8.3	3.2
NCU03238	41.3	39.9	10.8
NCU03239	18.9	12.7	3.8
NCU03240	181.7	73.8	23.1
NCU03241	188.2	255.6	22.1
NCU03242	0.1	0	0
NCU03243	12.6	16.2	4.3
NCU03244	6.2	5.4	4
NCU03245	57.5	73.4	11.2
NCU03246	23.4	20.3	5
NCU03247	0.6	1.7	0
NCU03248	2.7	0.3	0.8
NCU03250	0	0	0
NCU03253	64.6	22.5	93
NCU03254	14.6	15.8	9.8
NCU03255	52.1	103.1	14.5
NCU03257	567.1	261.1	63
NCU03258	91.3	2.5	57.2
NCU03260	22.7	16.7	4.6
NCU03261	101.1	81.5	14.9
NCU03263	179.1	206.3	38.4
NCU03264	16.8	22.6	1.9
NCU03265	4.2	6.4	3.8
NCU03266	12.3	9.4	6
NCU03267	14.9	11.9	4.4
NCU03268	31.4	22.4	9.8
NCU03269	56.6	58.5	75
NCU03270	10.6	17.9	1.9
NCU03271	0	0	0
NCU03273	8.4	11.3	4.8
NCU03274	44.2	74.8	34.3
NCU03275	0	0	1
NCU03276	23.6	12.2	4.8
NCU03277	38	42.2	15.3
NCU03278	12.6	9.5	2
NCU03279	0.1	0.3	0
NCU03280	26.4	25.5	79
NCU03281	81	89.1	24.7
NCU03282	285.7	296	207.4
NCU03283	183.6	155.2	240.9
NCU03284	48.3	27.2	128.3
NCU03285	22.9	17.5	6.3
NCU03286	0	0	0
NCU03287	0.2	0.1	0.3
NCU03288	0	0	0
NCU03289	13.9	23	65.9
NCU03290	155.4	121.2	56.4
NCU03291	118.6	123.9	11.6
NCU03292	58.1	34.1	10.4
NCU03293	417.9	320.1	224.9
NCU03294	0	0.6	0
NCU03295	6.6	3	9.8
NCU03296	28.9	38.4	17.7
NCU03297	505.2	449.8	64.7
NCU03298	20.7	13.6	3.9
NCU03299	11.1	23	0.9
NCU03300	1557.2	2214.1	149.9
NCU03302	1145.1	690.1	5150.2
NCU03303	61.2	142.7	32.1
NCU03304	310.4	682.3	99.3
NCU03305	192.8	215	42.3
NCU03306	177.3	210.3	864.5
NCU03307	21.4	28.3	26
NCU03308	21	17.2	3.1
NCU03309	354	312.8	978.7
NCU03310	310.3	375.8	171.3
NCU03311	52.3	29.3	13.6
NCU03312	52.3	33.5	11.9
NCU03313	53.3	27.3	83.1
NCU03314	157.4	102.8	72.2
NCU03315	87.6	91.4	84.5
NCU03316	27.2	30.5	18.7
NCU03317	28.7	22.5	16.2
NCU03318	45.8	3.5	28.9
NCU03319	141.5	167.8	32
NCU03320	2.8	4.7	2.6
NCU03321	49.7	50.7	8.1
NCU03322	0	0.1	0.3
NCU03323	39.4	7.4	16.3
NCU03325	27.4	15.7	37.5
NCU03328	0	0	0.5
NCU03329	17	25.1	8
NCU03330	14.7	10.2	6.7
NCU03331	0.7	0.8	0.7
NCU03332	16.9	12.4	24.6
NCU03333	33.7	14.5	8.8
NCU03334	34.8	65.8	15.7
NCU03335	41.2	45.1	35.4
NCU03336	26.2	19.5	5.2
NCU03337	2.8	2.6	5.2
NCU03338	23.7	17.8	37.5
NCU03339	353.2	223.1	188.3
NCU03340	512.9	422.3	300
NCU03341	40	24.9	8.1
NCU03342	7.7	6.7	3
NCU03343	61.4	67.4	48.9
NCU03344	5.7	6.7	10.2
NCU03345	9.1	8.8	2.4
NCU03346	0	0	0
NCU03347	137.2	91.3	27.9
NCU03348	1.4	4.2	5
NCU03350	20.1	22.3	4
NCU03351	0.2	0.1	0
NCU03352	11.6	9.2	2.8
NCU03354	2.5	2.1	0.8
NCU03355	0.5	6.4	2.3
NCU03356	11.6	13.8	4
NCU03357	47.7	41.2	16.7
NCU03358	151.1	120.7	392.6
NCU03359	92.8	93.8	23.4
NCU03360	12.1	11.1	3.4
NCU03361	8.4	13.1	15.8
NCU03362	130.5	55.4	29.2
NCU03363	52.6	35	7.6
NCU03364	74.2	57.3	16.1
NCU03365	5.2	7.3	1.9
NCU03366	84.7	84.2	21.4
NCU03367	40.6	45.2	34.6
NCU03368	299.8	505.6	98.5
NCU03369	25.1	28.5	64
NCU03370	885.8	1199.6	152.7
NCU03372	1.6	1.8	1
NCU03373	0.4	0	0
NCU03374	0	0	0
NCU03375	0	0.2	0
NCU03376	0.6	0.6	0.9
NCU03378	4.2	5.3	3.7
NCU03379	5	5.9	1.2
NCU03380	11	18.3	32.6
NCU03381	22.3	24.9	3
NCU03382	2.2	1.1	1711.5
NCU03383	4.8	2.1	0
NCU03384	10.2	17	2.6
NCU03385	18.2	80	28.4
NCU03386	7.5	13.3	3.3
NCU03387	99.8	94.8	48.2
NCU03388	31.6	51.7	3.5
NCU03390	0	0	0
NCU03392	1.3	0.8	1.3
NCU03393	1798.4	1468.1	2082.9
NCU03394	59.8	49.2	106.4
NCU03395	150.1	150.8	37.2
NCU03396	170	188	60.6
NCU03397	23	26.5	7.2
NCU03398	5.5	14	5
NCU03399	188	131	17.8
NCU03400	24.4	18	15.9
NCU03401	65.8	71.2	237.9
NCU03402	0	0	0.5
NCU03403	0	0	0.1
NCU03404	3.2	7.5	2.2
NCU03405	14.8	19.9	18.6
NCU03406	26.4	13.5	7
NCU03407	48.1	108.6	17
NCU03408	6.1	12.3	12.4
NCU03409	7.3	12	4.1
NCU03410	18.2	38.1	31.6
NCU03411	0.1	0	0
NCU03412	0	0	0
NCU03413	0	0	0
NCU03414	0	0	0
NCU03415	11.7	40.1	2.4
NCU03416	9.2	4.4	1.3
NCU03417	4.3	5.2	1.5
NCU03418	2.8	2.1	0
NCU03420	0	0	0
NCU03421	2.3	3	3.5
NCU03422	0.2	0.5	0.9
NCU03423	40.5	68.5	8.9
NCU03424	0	0.3	0.5
NCU03425	320.1	368.8	176.4
NCU03426	20.1	15.8	4.1
NCU03427	0	0	0
NCU03428	0	0	0.3
NCU03429	0	0	0
NCU03430	1.2	3.7	3
NCU03433	58.6	56.9	12
NCU03435	16.8	28.3	18.9
NCU03436	63.7	65.9	14.4
NCU03437	0.2	0.1	0.5
NCU03438	134.5	226.6	159.3
NCU03439	36.4	22.7	103.7
NCU03440	57.8	48.1	8
NCU03441	27.6	23.5	4.9
NCU03444	11.3	9.2	2.2
NCU03445	71.3	33.6	48.8
NCU03446	0	0	0
NCU03448	0	0	0
NCU03449	0	0	0
NCU03451	0	1.2	0
NCU03452	0.4	0	0
NCU03456	0	0.3	0
NCU03458	21.9	28.6	7.6
NCU03459	13.7	24.2	653.7
NCU03460	41.4	53.2	11.6
NCU03461	21.7	23	9
NCU03462	2.1	6.3	0.2
NCU03463	180.1	138	132.4
NCU03464	11.4	44.5	18.3
NCU03465	50.9	75.4	89.8
NCU03466	12.1	33.9	2.5
NCU03467	0	0	0
NCU03468	0.6	0.2	0.2
NCU03469	0	0.3	0
NCU03470	0	0	0
NCU03471	11.3	18.6	36.7
NCU03472	0	0	2.8
NCU03473	0	0.2	0
NCU03474	0	0	0
NCU03475	0	0	0
NCU03476	0.4	0.5	0
NCU03477	0.1	0.2	0.4
NCU03478	0	0.1	0.6
NCU03479	27.4	26.8	4.2
NCU03480	19.7	15.7	6
NCU03481	0	0	0.2
NCU03482	101.9	80	8.9
NCU03483	18.8	20.6	9.6
NCU03484	0.2	0.2	0.2
NCU03485	37.5	95.3	31.2
NCU03486	49	28.3	11.6
NCU03488	711.9	439.1	83.9
NCU03489	1.5	2.8	1.6
NCU03490	0.1	0.1	0.4
NCU03491	43.7	31	8.9
NCU03492	131.5	257.7	18
NCU03493	78.9	41.4	35.2
NCU03494	2.4	0	3
NCU03495	15.5	8.6	10.8
NCU03496	5	2.6	4.9
NCU03497	77.7	23.5	43.7
NCU03498	78.7	31.2	152.8
NCU03499	0	0	0.9
NCU03500	277.1	103.4	50.3
NCU03501	18.9	15.3	8.1
NCU03502	4.4	11	2.4
NCU03503	24.6	35.4	14.8
NCU03504	32.5	26.8	15.8
NCU03505	20.3	21.1	5.6
NCU03506	5.9	2	7.2
NCU03507	4.6	1.8	2.8
NCU03509	22.8	248.7	6.1
NCU03511	0	0.2	0
NCU03512	0.1	0	0.3
NCU03513	0	0	0
NCU03514	1	1.4	1.9
NCU03515	206	211.3	36.6
NCU03516	50.8	48.9	60.6
NCU03517	58.5	84.3	27.7
NCU03518	1.2	1.1	2.4
NCU03520	0	0	0
NCU03523	19.1	19.7	4
NCU03525	13.6	17.5	9.1
NCU03526	56.6	44.8	15.2
NCU03527	19.2	23.8	14.9
NCU03528	21.8	21.3	25.1
NCU03529	10.2	19.1	4.6
NCU03530	601.9	392	138.9
NCU03531	0	0	0
NCU03532	0.8	1	1.3
NCU03533	13.2	4.4	1.6
NCU03534	2.2	0.9	0.3
NCU03535	14.4	26.8	97.6
NCU03536	277.7	178.7	67.6
NCU03537	7.6	14.3	20.3
NCU03538	30.1	36.8	50.7
NCU03539	212	119.4	35.4
NCU03540	0	0	0
NCU03541	0	0	0
NCU03542	21.1	67.4	65.5
NCU03543	90.3	78	16.2
NCU03544	3.6	2.8	0.7
NCU03545	3.9	4.8	0.9
NCU03546	22.9	31.2	14.3
NCU03547	0	0	0
NCU03548	115.3	175.4	24.2
NCU03549	59.1	91.2	116.8
NCU03550	9.2	11.2	1
NCU03551	1.3	0.9	3.2
NCU03552	2.2	10.3	1.6
NCU03553	0	0.5	2
NCU03554	48	55.7	23.8
NCU03555	7.5	12	8.9
NCU03556	49.9	64	2.5
NCU03557	14.4	24.6	44.6
NCU03558	761.1	1016.2	248.3
NCU03559	640.7	366.3	1153.7
NCU03560	19.2	22.5	10.5
NCU03561	265.3	157.4	110.5
NCU03562	0.3	0	0
NCU03563	16.4	16.5	5.6
NCU03564	3.5	6.1	2.4
NCU03565	960.9	613.8	286.7
NCU03566	6.6	13.2	7.2
NCU03567	11.7	15.7	6.5
NCU03568	0	0	0
NCU03569	49.2	23.6	6.2
NCU03570	0	0	0.3
NCU03571	42.8	42.8	9.5
NCU03572	58.9	54.5	51.5
NCU03573	4.3	5.7	3.3
NCU03574	30.3	23.8	219.7
NCU03575	323.4	236.2	203.3
NCU03576	14.6	15.7	9.3
NCU03577	0	0	0.3
NCU03578	18.9	25	3.7
NCU03579	21.8	46	86.1
NCU03580	0	0	0
NCU03581	0	0	0
NCU03582	0	0	0
NCU03583	0	0	0
NCU03584	0	0.2	0.4
NCU03585	0	0	0
NCU03588	48.1	80.5	23.7
NCU03589	5.6	16.2	16.8
NCU03590	14.2	29.2	20.8
NCU03591	79.4	78.9	21
NCU03592	16.5	17.3	3
NCU03593	34.8	35.2	28.5
NCU03596	29.5	58.7	13.7
NCU03597	22.4	14.4	7.3
NCU03598	18	18.6	17.2
NCU03599	0.4	0	0
NCU03600	142.9	118.8	713.9
NCU03601	24.8	32	7.1
NCU03602	103	63.2	67.1
NCU03603	64.1	53.3	8.7
NCU03604	0.5	0.7	1.3
NCU03605	43.9	37.9	22.8
NCU03606	82.7	64.6	51.6
NCU03607	63.7	40.6	101.1
NCU03608	2845.5	1300.5	379.6
NCU03610	46.8	81.2	19.1
NCU03611	215.1	130.8	24.5
NCU03613	45.5	27.9	8.7
NCU03614	0	0	1
NCU03616	71.2	102	14.2
NCU03617	43.3	14.7	10.6
NCU03618	0.1	0	0
NCU03620	0	0	0
NCU03621	28.9	22.7	5.4
NCU03622	25.2	42.5	9.1
NCU03623	71.3	104.6	57.2
NCU03624	26.4	23.4	7.5
NCU03625	121.9	87.6	20.6
NCU03626	0.4	0.6	0.3
NCU03627	14.6	10.8	7.1
NCU03628	35.1	20.4	13.5
NCU03629	25.6	16	24.2
NCU03630	22.2	50.6	78.4
NCU03631	23	56.8	6.1
NCU03632	45.8	93	24.4
NCU03633	93.7	147.3	15.5
NCU03634	144.6	224.4	124
