## mrna and ribosome profiling read counts for S. pombe 972h- genes
## Duncan C and Mata J (2017) Effects of cycloheximide on the interpretation of ribosome profiling experiments in Schizosaccharomyces pombe. Scientific reports 7:10331
## personal communication by Juan Mata <jm593@cam.ac.uk>, 2019
## 
Gene	wt.noN.CHX.ribo.cds.1	wt.N.CHX.ribo.cds.1	wt.noN.noCHX.ribo.cds.1	wt.N.noCHX.ribo.cds.1	wt.noN.CHX.ribo.cds.3	wt.N.CHX.ribo.cds.3	wt.noN.noCHX.ribo.cds.3	wt.N.noCHX.ribo.cds.3	wt.noN.CHX.mrna.cds.1	wt.N.CHX.mrna.cds.1	wt.noN.noCHX.mrna.cds.1	wt.N.noCHX.mrna.cds.1	wt.noN.CHX.mrna.cds.3	wt.N.CHX.mrna.cds.3	wt.noN.noCHX.mrna.cds.3	wt.N.noCHX.mrna.cds.3
SPAC1805.07c	194	97	21	72	39	46	16	14	23	43	15	24	68	97	45	50
SPAC1805.08	4209	2207	839	1370	941	847	720	490	163	212	153	119	613	547	465	434
SPAC1805.09c	56	87	7	44	7	23	7	14	94	281	42	126	110	298	64	117
SPAC1805.10	319	160	36	76	47	57	21	28	1222	1138	820	548	1392	1119	1015	590
SPAC1805.11c	4591	6412	287	12032	1046	3916	164	5010	275	2117	318	892	2013	6331	1448	5192
SPAC1805.12c	4193	11092	305	5078	756	5701	177	1911	517	2867	573	1570	1219	4734	879	3771
SPAC1805.13	19248	43604	977	23290	3191	19033	614	10042	323	2069	367	1050	2028	5613	1347	4628
SPAC1805.14	168	431	24	136	32	181	19	62	763	1730	575	670	1172	1993	754	900
SPAC1805.15c	876	337	155	169	119	95	135	63	696	683	411	245	1370	841	864	440
SPAC1805.16c	18349	1925	3903	1019	3447	697	2825	396	2768	795	2959	357	8395	1325	5609	870
SPAC1805.17	5795	5169	1212	2267	1055	1628	1098	812	3945	6554	3122	3066	9322	9735	6354	6168
SPAC1805.18	358	276	29	81	77	111	19	30	164	259	99	143	282	342	204	244
SPAC1834.01	2363	7816	276	3784	266	2939	151	1508	1288	3665	728	1937	2295	5821	1321	3673
SPAC1834.02	10971	13672	2745	6776	1893	4189	1898	2093	5544	10540	5091	5727	15867	18988	13163	14634
SPAC1834.03c	28846	11707	5458	5649	8785	4840	6777	2140	1214	1637	1338	872	6157	3394	5167	2698
SPAC1834.04	15270	7302	3775	4595	3778	3687	2955	1583	1282	2301	1377	1011	7940	5504	5813	4200
SPAC1834.05	1715	1904	281	764	254	486	179	239	636	1351	587	604	2203	2842	1413	1817
SPAC1834.06c	1985	581	234	389	382	304	180	168	585	701	359	374	1321	1280	918	850
SPAC1834.07	144	242	29	137	34	115	24	52	1348	1544	740	934	1280	1618	872	780
SPAC1834.08	1896	1249	372	550	328	405	354	197	4306	5142	3507	2381	8078	6648	5678	3817
SPAC1834.09	832	162	105	86	101	72	46	34	325	295	193	99	653	399	379	174
SPAC1834.10c	205	355	18	154	57	140	19	63	201	511	164	308	440	702	298	449
SPAC1834.11c	9323	3281	2429	1887	1761	1077	1637	657	3803	3858	3671	1542	10033	6146	8114	3924
SPAC1834.13	0.5	0.5	0.5	1	2	1	0.5	0.5	3	4	1	1	4	6	0.5	3
SPAC1851.02	2264	2413	373	1339	437	840	317	530	319	734	319	409	1101	1613	768	1140
SPAC1851.03	1898	1000	262	657	304	405	150	181	562	1028	440	574	1271	1770	907	1085
SPAC1851.04c	1158	460	154	283	167	156	114	107	1608	1993	1113	932	3239	3172	2414	1932
SPAC186.01	11	10	2	7	2	7	0.5	2	97	114	53	55	213	190	132	80
SPAC186.02c	24	13	3	6	4	3	0.5	2	8	12	5	6	14	25	6	14
SPAC186.03	8934	158	2128	161	1404	76	1262	49	1478	167	1137	108	3659	325	2874	246
SPAC186.04c	0.5	2	0.5	0.5	0.5	1	0.5	0.5	4	2	2	1	1	0.5	1	2
SPAC186.05c	3	0.5	0.5	2	1	0.5	0.5	0.5	2	5	2	0.5	2	2	5	2
SPAC186.06	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	3	0.5	0.5	0.5	12	0.5	15	1
SPAC186.07c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	2	0.5	0.5	2	0.5	1	0.5	0.5
SPAC186.08c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	1	1	1
SPAC186.09	0.5	4	0.5	3	0.5	1	0.5	1	1	2	0.5	3	2	2	3	2
SPAC18B11.02c	346	476	47	252	53	203	26	97	195	848	99	418	594	1308	261	864
SPAC18B11.03c	144	126	23	67	25	55	26	23	173	324	121	148	446	507	299	289
SPAC18B11.04	2058	1003	392	508	458	411	404	199	656	666	498	389	1000	724	800	408
SPAC18B11.05	423	328	58	154	93	110	64	53	524	816	459	345	1551	1413	1161	803
SPAC18B11.06	611	1363	77	665	110	452	72	267	250	1064	104	364	538	1487	266	699
SPAC18B11.07c	3483	1238	506	974	683	518	357	386	253	361	314	206	813	719	566	609
SPAC18B11.08c	1578	1675	239	756	303	643	192	319	73	231	76	87	390	612	293	493
SPAC18B11.09c	397	186	82	91	76	67	41	29	542	377	428	216	957	454	752	307
SPAC18B11.10	1918	1597	489	858	398	607	354	271	1172	2031	833	695	3370	3415	2159	1803
SPAC18B11.11	1097	702	181	331	218	227	145	112	1542	2057	1027	861	3321	2804	2148	1435
SPAC18G6.01c	1201	405	225	241	202	122	212	89	333	261	229	128	695	403	517	279
SPAC18G6.02c	185	294	16	100	21	101	18	38	1011	2496	573	916	1541	2326	903	948
SPAC18G6.03	10376	5732	1770	2627	2198	2060	1768	1205	1835	2378	1697	1323	4373	3794	3583	2630
SPAC18G6.04c	2882	2781	630	1853	697	909	486	630	1002	1783	786	910	3123	3723	2358	2678
SPAC18G6.05c	3955	5664	719	2668	717	1694	527	922	7112	11125	5851	6167	12627	15027	10001	11362
SPAC18G6.06	1171	1198	145	536	252	387	87	158	794	1621	437	720	1060	1612	718	733
SPAC18G6.07c	2003	2499	318	1171	332	987	248	543	595	1740	493	891	1447	2686	916	1741
SPAC18G6.09c	4901	2125	768	592	772	817	575	244	1656	1618	1477	528	3382	1962	1738	908
SPAC18G6.10	664	1154	134	488	85	353	94	145	1401	2811	1116	1245	2162	2616	1310	1335
SPAC18G6.11c	752	1588	68	409	72	483	58	171	733	2091	399	737	1746	3055	858	1409
SPAC18G6.12c	1174	482	176	163	183	182	126	64	698	719	364	253	1002	870	603	363
SPAC18G6.13	447	111	66	76	81	51	26	25	156	157	128	111	152	103	115	85
SPAC18G6.14c	8027	22929	322	22686	1385	11329	257	9638	1064	7263	1043	3880	4324	16551	3549	14210
SPAC18G6.15	1830	1553	273	855	320	614	229	381	804	1714	549	880	1507	2289	978	1379
SPAC1952.01	467	505	53	212	79	182	26	75	229	664	199	303	486	811	289	478
SPAC1952.02	143	483	6	128	29	170	3	52	331	971	162	521	484	1046	289	590
SPAC1952.03	345	432	74	187	89	147	51	91	876	1616	496	876	648	963	421	470
SPAC1952.04c	921	203	135	95	150	79	79	44	268	252	242	116	520	353	377	191
SPAC1952.05	390	557	49	237	53	242	33	102	402	1144	353	527	955	1822	639	1101
SPAC1952.06c	470	691	76	345	78	243	55	132	551	1275	288	587	958	1680	602	911
SPAC1952.07	370	240	38	134	54	95	30	51	355	766	217	362	461	953	306	583
SPAC1952.08c	2619	1003	508	545	255	414	218	194	1037	992	728	504	1679	1501	1058	1003
SPAC1952.09c	2547	1869	583	760	281	571	244	249	763	1238	706	534	1502	2039	844	1172
SPAC1952.10c	280	248	42	86	33	86	23	40	116	232	103	90	312	426	146	212
SPAC1952.11c	6908	2735	1425	1358	1452	940	1243	484	4224	3686	3463	1723	11223	6078	8666	4103
SPAC1952.12c	319	223	35	80	56	137	31	43	132	285	70	111	259	506	197	191
SPAC1952.13	2692	540	295	312	386	249	148	143	1761	1424	1708	647	4066	2231	2838	1420
SPAC1952.14c	681	455	110	223	169	125	105	94	217	372	167	233	493	643	352	459
SPAC1952.15c	14	23	2	12	5	3	0.5	3	18	39	5	16	15	43	5	16
SPAC1952.16	382	382	87	197	77	142	68	77	587	1317	445	624	1045	1557	767	845
SPAC1952.17c	776	406	132	214	107	127	84	74	916	1098	590	497	1404	1192	825	642
SPAC19A8.01c	276	374	49	182	63	133	69	64	1488	1985	884	847	2990	2394	1712	1152
SPAC19A8.02	507	649	82	278	73	218	67	103	2196	3121	1687	1351	4175	3730	2807	2163
SPAC19A8.03	1865	701	319	310	360	219	312	111	1537	1523	1196	809	2821	1774	2051	1098
SPAC19A8.04	23668	16608	5273	8941	4398	6143	3847	3192	5361	7647	5605	4344	14318	13219	12426	10401
SPAC19A8.05c	2623	627	606	302	404	225	515	133	2175	1384	1470	508	3815	1831	2424	774
SPAC19A8.06	2020	1102	187	528	256	288	94	180	774	987	529	400	1397	1388	905	827
SPAC19A8.07c	707	1275	78	690	121	457	51	240	599	1804	206	682	1141	2477	486	1187
SPAC19A8.08	429	557	110	235	96	172	89	89	1911	2741	1393	1293	3612	3546	2505	2014
SPAC19A8.09	799	355	102	184	175	124	89	76	32	67	41	39	132	103	70	86
SPAC19A8.10	1068	207	76	100	163	67	69	42	249	357	280	151	734	633	518	436
SPAC19A8.11c	1039	800	140	304	155	265	98	154	289	442	201	252	455	592	340	322
SPAC19A8.12	1061	1007	250	477	202	341	195	158	2287	3004	1820	1466	2993	2672	1799	1354
SPAC19A8.13	948	912	113	367	157	383	74	156	677	1178	369	531	1080	1392	573	758
SPAC19A8.14	866	722	123	471	114	327	64	208	144	285	76	145	284	605	200	433
SPAC19A8.15	7586	13166	1590	6649	1254	4501	1144	2297	1685	4573	1573	2439	6841	10470	5793	8291
SPAC19A8.16	3732	11	957	8	66	3	42	3	163	42	136	28	138	57	90	31
SPAC19B12.01	432	1771	75	853	58	508	44	330	765	2336	290	907	1203	2969	499	1572
SPAC19B12.02c	8415	36780	1187	17010	2467	13190	2270	6052	2107	10612	1170	3938	7801	18109	4263	11371
SPAC19B12.03	1280	3693	254	1581	252	1079	258	493	1949	6155	1298	2424	5063	9675	3162	6334
SPAC19B12.04	3670	5704	671	4310	741	2757	410	1617	76	401	70	215	341	1110	171	628
SPAC19B12.05c	1074	1392	275	680	220	459	228	268	1716	2530	1204	1199	3687	3525	2615	2188
SPAC19B12.06c	3383	3287	381	1448	801	869	454	538	410	932	400	470	1565	1798	1316	1275
SPAC19B12.07c	271	209	24	85	39	77	14	19	554	565	375	276	786	639	591	369
SPAC19B12.08	1260	175	115	66	144	62	69	23	798	301	775	127	1435	314	987	186
SPAC19B12.09	961	719	131	507	277	294	114	211	140	343	122	148	479	794	334	603
SPAC19B12.10	989	245	149	107	197	87	136	27	701	488	572	204	1277	589	842	301
SPAC19B12.11c	726	1503	95	611	140	522	49	212	241	866	150	439	368	1093	249	661
SPAC19B12.12c	139	196	11	69	22	62	13	26	172	376	102	199	327	454	202	246
SPAC19B12.13	1063	514	197	261	154	138	142	101	1383	1664	1044	953	2179	1928	1468	1181
SPAC19D5.01	1006	64	267	20	78	20	56	12	819	262	1287	121	1183	287	791	170
SPAC19D5.02c	837	733	181	378	161	293	119	108	593	1008	426	540	895	1079	645	664
SPAC19D5.03	748	284	99	167	110	105	77	75	561	738	332	360	767	740	410	353
SPAC19D5.04	3482	3955	722	1707	581	1169	496	657	7606	9923	6392	5090	12080	10911	9667	8738
SPAC19D5.05c	513	771	42	364	75	333	42	134	256	804	132	333	495	920	243	542
SPAC19D5.06c	166	247	23	116	27	105	7	51	299	700	223	266	764	1098	533	631
SPAC19D5.07	8136	498	1897	268	271	167	250	89	2055	388	1196	149	1678	803	861	496
SPAC19D5.09c	659	147	0.5	3	252	67	162	32	2017	1682	1830	925	5485	1901	4926	1237
SPAC19D5.10c	18	6	2	3	12	1	4	10	3	5	2	6	5	13	3	5
SPAC19D5.11c	57	150	6	35	18	78	9	21	40	118	25	55	78	144	51	82
SPAC19E9.01c	3175	1395	539	563	484	530	334	215	1046	1714	1126	751	2678	2454	1646	1515
SPAC19E9.02	801	812	163	425	201	263	226	166	1040	1742	695	663	2800	2943	1826	1597
SPAC19E9.03	795	370	254	281	166	189	178	80	2150	1425	2532	971	4969	2571	3645	2146
SPAC19G12.01c	360	315	65	151	61	102	68	56	570	1171	320	439	1079	1499	656	660
SPAC19G12.02c	1678	387	297	194	287	143	229	91	1947	1419	1231	586	4704	1947	3075	992
SPAC19G12.03	23503	1490	4533	710	4243	472	3142	285	3707	715	3077	368	10197	1343	7417	903
SPAC19G12.04	4772	164	688	49	599	52	373	24	1304	105	903	41	2751	226	1811	129
SPAC19G12.05	1458	3007	234	1296	218	1089	160	512	186	782	128	370	790	1823	493	1163
SPAC19G12.06c	17285	6758	2882	3194	4540	3367	3126	1141	951	1264	903	546	5107	2753	3414	2014
SPAC19G12.07c	815	716	152	324	128	236	140	115	497	887	558	440	1369	1333	821	881
SPAC19G12.08	11385	7667	2288	4263	1854	2751	1570	1361	1311	2300	1376	1137	4164	3930	2681	2622
SPAC19G12.09	72646	3425	22561	2340	5044	884	5429	606	5541	729	5832	441	9169	1584	8183	1294
SPAC19G12.10c	104021	37368	29954	19597	13501	10883	13935	5418	26067	22674	28932	13286	48311	32612	40876	26912
SPAC19G12.11	2372	1339	481	729	416	484	355	259	395	555	360	270	1684	1704	1336	1157
SPAC19G12.12	615	452	65	209	94	191	54	96	323	533	209	252	766	956	506	565
SPAC19G12.13c	98	151	9	39	13	65	10	23	183	308	102	139	414	532	323	342
SPAC19G12.14	1459	1018	293	410	262	432	210	168	2201	3541	2020	1527	3481	3309	2004	1677
SPAC19G12.15c	7518	4757	1617	2435	1111	1823	918	906	4264	4797	3726	2163	8144	7304	6200	4718
SPAC19G12.16c	19330	8218	4690	4011	6374	3212	5942	1160	5532	7232	7763	3005	18872	9219	13893	5889
SPAC19G12.17	348	378	65	210	83	151	61	70	112	290	95	134	306	497	262	345
SPAC1A6.01c	603	489	141	224	95	172	76	106	612	1015	387	417	1074	1339	739	698
SPAC1A6.02	513	639	49	468	80	276	42	203	552	1368	288	886	680	1572	402	984
SPAC1A6.03c	11567	5232	2835	2768	1157	1771	1009	804	3436	3525	3680	1719	6442	5880	5056	4126
SPAC1A6.04c	37122	22891	8361	12344	3825	9600	3254	3990	6539	9521	8341	5238	13447	15616	9651	12663
SPAC1A6.05c	580	537	79	267	82	184	63	100	805	1342	630	696	1566	1943	1182	1192
SPAC1A6.06c	126	24	15	14	22	8	14	6	9	21	6	11	34	28	13	14
SPAC1A6.07	3870	1481	723	729	554	558	459	292	2472	2676	2069	1047	4449	2802	2427	1525
SPAC1A6.08c	16	43	0.5	20	2	14	2	10	30	124	13	71	57	157	45	81
SPAC1A6.09c	663	1301	128	488	136	432	98	218	615	1823	508	1014	1486	2571	961	1510
SPAC1A6.10	3329	2291	481	1534	598	905	468	625	764	1516	649	626	2469	3157	1825	2027
SPAC1A6.11	2	0.5	1	0.5	1	0.5	0.5	0.5	3	2	5	3	17	9	9	3
SPAC1B1.01	1187	1174	180	535	172	487	105	168	510	1410	464	620	990	1440	449	960
SPAC1B1.02c	859	638	128	218	120	248	99	84	766	1134	697	422	1679	1702	1198	827
SPAC1B1.03c	3793	5598	916	2514	637	2069	653	1068	1522	3371	1008	1344	4805	7570	3155	4979
SPAC1B1.04c	495	659	120	325	133	242	104	128	1200	2411	1075	1243	1893	2395	1110	1327
SPAC1B2.02c	1102	1210	167	452	175	360	138	166	965	1909	821	887	1380	1943	804	1160
SPAC1B2.03c	3921	6594	367	4430	800	2553	406	1655	380	1911	476	926	2181	4801	1478	3533
SPAC1B2.04	4113	3033	953	1383	730	1113	763	620	470	779	400	443	1425	1472	1111	1068
SPAC1B2.05	1270	1167	219	473	270	510	186	207	839	1808	597	562	2275	2613	1346	1246
SPAC1B2.06	2	2	2	3	0.5	3	2	2	2	10	4	2	6	21	2	11
SPAC1B3.01c	4731	2657	648	1326	1020	927	698	658	946	1232	716	637	2225	1980	1590	1370
SPAC1B3.02c	739	574	78	316	141	313	68	111	116	333	102	150	451	699	326	480
SPAC1B3.03c	805	13990	154	8195	108	4084	87	2723	329	5296	257	3808	484	7615	347	7045
SPAC1B3.04c	226	116	48	56	30	44	32	31	833	996	514	455	899	1005	504	458
SPAC1B3.05	1700	2113	281	1046	320	648	256	435	1627	3586	1144	1456	2826	3788	1574	2049
SPAC1B3.06c	2452	876	705	589	572	402	515	308	539	487	451	235	1385	947	984	566
SPAC1B3.07c	861	343	83	117	139	117	58	46	544	567	349	261	919	611	683	391
SPAC1B3.08	605	787	68	332	136	330	94	189	1057	1231	978	547	2591	1943	1792	1265
SPAC1B3.09c	526	1011	55	455	77	392	42	227	2121	4056	1420	2150	2092	3346	1291	1766
SPAC1B3.10c	306	524	50	274	53	187	26	87	362	623	259	311	954	951	580	654
SPAC1B3.11c	242	138	81	97	51	56	45	35	76	74	59	34	218	165	171	96
SPAC1B3.12c	1225	1145	44	606	391	592	75	307	46	125	39	64	214	309	114	200
SPAC1B3.13	1036	2243	154	1092	168	875	95	417	880	2495	519	973	2598	4484	1161	2285
SPAC1B3.14	13784	11708	2346	5418	2463	4084	1982	1966	255	713	324	303	1785	2245	1539	1754
SPAC1B3.15c	1194	156	209	61	82	72	47	24	823	582	653	226	1076	790	412	215
SPAC1B3.16c	3017	6714	447	3573	734	3099	555	1666	720	2982	755	1190	4203	9228	2838	5756
SPAC1B3.17	118	253	32	79	21	101	17	46	521	1022	429	386	939	1251	584	578
SPAC1B3.18c	705	562	96	241	131	191	73	97	380	534	221	228	521	602	336	368
SPAC1B3.20	1245	328	207	266	265	94	211	110	215	211	152	97	461	304	294	207
SPAC1B3.21	1225	244	144	149	246	89	130	64	21	17	14	9	135	62	82	58
SPAC1B9.02c	2579	865	558	420	395	366	351	175	1862	2088	1271	970	4494	3655	2978	2175
SPAC1B9.03c	603	1290	78	668	106	428	43	260	972	2955	373	1374	1281	2914	557	1528
SPAC1D4.01	273	228	33	90	60	55	22	28	379	688	203	326	488	672	287	310
SPAC1D4.02c	1765	781	263	311	267	272	221	149	820	1305	827	485	1499	1362	876	701
SPAC1D4.03c	549	154	76	76	113	50	59	26	648	515	544	238	1390	804	914	448
SPAC1D4.04	3413	7373	658	3940	586	2693	427	1566	1278	3574	846	1672	3619	7101	2543	4988
SPAC1D4.05c	87	245	15	84	14	93	9	29	451	892	397	400	1165	1355	700	811
SPAC1D4.06c	507	420	100	173	82	195	63	74	221	448	157	253	498	622	397	403
SPAC1D4.07c	5	4	1	1	2	0.5	3	1	0.5	1	1	0.5	4	2	4	1
SPAC1D4.08	2874	1798	316	1065	489	590	329	435	439	995	531	465	1295	1540	945	978
SPAC1D4.09c	1502	595	212	303	189	218	112	129	1068	1118	614	651	1214	1282	688	757
SPAC1D4.10	461	751	99	285	61	209	44	109	589	1022	363	462	746	742	370	514
SPAC1D4.11c	1296	895	159	242	119	391	65	73	1008	1063	680	277	1027	1203	433	535
SPAC1D4.12	825	738	159	300	125	238	106	119	1038	1427	785	416	2372	2272	1584	1109
SPAC1D4.13	1350	1498	109	612	183	484	69	206	1111	1769	770	949	1217	1476	910	883
SPAC1D4.14	1706	1430	409	851	339	499	323	277	3289	5190	2285	2459	6060	6396	4274	3885
SPAC1F12.02c	11986	20410	521	22560	2293	10888	235	8360	1268	4285	933	2538	3456	9185	2936	7728
SPAC1F12.03c	0.5	0.5	33	40	0.5	0.5	0.5	0.5	21	14	10	7	111	38	66	30
SPAC1F12.04c	2145	809	359	418	441	373	377	184	488	472	367	247	1897	1042	1315	771
SPAC1F12.05	2873	1292	491	452	624	559	451	140	1037	1076	894	441	3159	1690	1940	860
SPAC1F12.06c	65	40	7	22	12	13	4	9	99	125	87	47	262	199	260	161
SPAC1F12.07	10469	9323	2582	5400	2091	3425	2325	2007	1673	3080	1783	1638	5425	5367	4523	4183
SPAC1F12.08	179	366	38	179	38	111	26	76	294	714	187	416	289	721	231	460
SPAC1F12.09	774	434	115	264	120	168	92	97	908	1070	700	498	1727	1700	1409	975
SPAC1F12.10c	3231	981	515	479	500	269	233	158	622	495	469	248	960	707	676	454
SPAC1F3.01	749	1409	120	752	114	446	92	307	1930	4118	935	2228	2262	4094	1324	2324
SPAC1F3.02c	1499	751	310	350	168	276	188	123	3630	2900	2421	1184	5203	3134	3244	1651
SPAC1F3.03	2473	831	488	409	355	282	290	142	3094	2573	2273	1099	4659	3093	3149	1623
SPAC1F3.04c	1504	902	196	477	274	372	149	191	587	871	439	373	1168	1204	804	713
SPAC1F3.05	2291	1646	545	928	402	697	411	373	1257	1698	1092	877	2719	2240	1859	1425
SPAC1F3.06c	1706	2801	438	1627	395	936	322	593	4916	10757	3207	6020	8098	13267	5789	9003
SPAC1F3.07c	600	722	94	301	75	314	68	102	410	881	356	400	1221	1464	722	896
SPAC1F3.08c	14	0.5	1	0.5	5	0.5	1	0.5	2	0.5	6	0.5	12	2	10	2
SPAC1F3.09	4170	1498	761	643	455	512	401	245	1973	1567	1928	713	5128	2842	3743	2158
SPAC1F3.10c	661	381	136	164	90	112	107	59	813	922	549	357	1757	1337	1354	697
SPAC1F5.02	14138	13951	3255	8369	2581	4793	2738	3158	3044	5127	3070	2952	6509	7659	5403	5658
SPAC1F5.03c	3511	2529	664	1271	615	963	544	477	958	1630	687	672	2458	2775	1511	1538
SPAC1F5.04c	540	352	250	244	107	134	131	82	4032	4696	3265	2615	6369	4898	4716	3087
SPAC1F5.05c	186	202	22	89	42	85	17	26	271	439	297	244	526	522	391	335
SPAC1F5.06	5057	4982	1328	2766	840	1768	853	964	2976	5281	2388	2698	6422	8315	4681	5788
SPAC1F5.07c	871	713	80	371	106	249	50	127	599	1073	378	576	1259	1786	806	1170
SPAC1F5.08c	385	295	65	143	82	129	52	44	872	808	743	352	2260	1323	1856	928
SPAC1F5.09c	183	18	13	11	64	8	13	7	184	122	91	57	410	218	237	91
SPAC1F5.10	1671	1599	235	921	255	673	200	439	734	1354	391	612	1767	2339	966	1436
SPAC1F5.11c	988	1752	186	776	146	483	176	279	4060	7662	3394	3988	7308	9223	6211	7152
SPAC1F7.01c	3717	4452	845	2613	647	1483	609	942	4231	7522	3286	3940	7880	10056	5884	6696
SPAC1F7.02c	816	3308	96	1589	131	1152	72	699	772	3185	355	1302	1750	5041	775	2690
SPAC1F7.03	6899	3090	1393	1215	1446	985	1194	422	2239	2492	1997	1127	7104	4857	5193	2724
SPAC1F7.04	16257	10488	2393	4528	2558	3352	1561	1413	1522	2532	1596	1619	3189	3782	2665	2968
SPAC1F7.05	21919	10375	3477	6421	5702	3904	4531	2079	9042	10242	7918	4723	27616	16165	22204	10243
SPAC1F7.06	98	5	22	7	6	2	1	1	32	4	18	1	11	7	11	5
SPAC1F7.07c	891	5782	83	2737	204	1931	122	759	266	2653	217	1238	1091	4909	678	2986
SPAC1F7.08	992	8534	218	4854	186	2771	178	1180	393	4698	306	2431	1208	8486	839	5279
SPAC1F7.09c	47858	907	10233	424	7169	359	6198	110	5684	371	4759	118	20295	917	12653	502
SPAC1F7.10	2902	326	862	184	478	161	484	81	1058	190	831	87	3770	499	2466	333
SPAC1F7.11c	2279	727	427	389	354	256	317	142	1640	1598	1352	600	5323	2718	3392	1285
SPAC1F7.12	84015	3070	8813	1985	10902	1283	4513	649	8817	958	8137	418	31070	3117	21892	2188
SPAC1F7.13c	5595	40477	281	19815	747	20270	157	7881	369	4968	443	2388	2317	13620	1704	11458
SPAC1F7.14c	179	197	20	73	36	104	21	24	16	60	22	34	63	132	72	71
SPAC1F8.01	301	48	57	24	26	7	15	4	355	118	473	74	616	119	758	92
SPAC1F8.02c	258	49	35	72	6	0.5	3	0.5	55	15	46	24	23	5	17	6
SPAC1F8.03c	392	1868	51	1025	72	406	46	167	816	3156	184	1167	890	2593	386	1165
SPAC1F8.04c	29463	57	5332	34	3426	17	2542	8	9623	62	6907	28	14737	60	9226	42
SPAC1F8.05	138	28	9	19	14	5	7	4	40	16	76	10	97	20	109	7
SPAC1F8.06	149	330	21	105	29	129	22	28	143	456	93	186	461	687	223	314
SPAC1F8.07c	68750	309861	14737	173653	14303	112737	12228	55245	5562	32564	6806	18377	27554	66720	23129	59430
SPAC1F8.08	3	4	0.5	0.5	1	2	0.5	0.5	7	26	10	9	27	40	20	24
SPAC20G4.01	1085	1276	196	682	176	438	151	283	519	1049	322	540	834	1316	594	771
SPAC20G4.02c	239	28	24	16	45	8	19	7	973	666	647	391	2023	847	1256	520
SPAC20G4.03c	2481	364	449	177	512	158	461	79	2446	1184	2149	391	5864	1598	4911	896
SPAC20G4.04c	222	121	19	55	37	34	17	17	239	391	157	188	393	480	232	277
SPAC20G4.05c	692	404	91	147	62	121	57	44	703	715	553	288	1744	1034	1096	610
SPAC20G4.06c	23476	16937	4250	11247	4470	7103	2772	4026	726	1415	809	840	2645	2946	2100	2416
SPAC20G4.07c	2746	3224	407	1311	411	917	273	417	825	1534	744	810	2588	2975	1753	2053
SPAC20G4.08	4059	3691	945	1759	593	1262	588	557	2790	4728	2009	2037	6205	6981	4009	4339
SPAC20G4.09	1	2	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	1
SPAC20G8.01	1198	1017	200	463	167	361	128	174	1152	1766	785	736	2245	2579	1407	1361
SPAC20G8.02	1743	571	218	255	184	171	106	85	1435	1137	1011	455	2746	1682	1638	952
SPAC20G8.03	9543	8236	1388	4048	1532	2604	1043	1302	2639	4227	2325	2147	7426	7961	5840	5306
SPAC20G8.04c	4080	4050	882	1982	737	1033	661	566	1509	2994	1470	1556	4341	4421	3429	3269
SPAC20G8.05c	895	1691	211	889	271	700	321	350	1236	4260	690	1730	3518	5994	2154	3340
SPAC20G8.06	3912	4484	1111	2214	830	1382	893	658	5066	9420	4014	4422	10535	11912	7345	7637
SPAC20G8.07c	3801	3489	449	1691	612	1340	493	635	266	643	266	285	1744	2132	1337	1600
SPAC20G8.08c	521	630	104	265	67	208	66	110	1152	2371	527	1113	1677	2622	799	1331
SPAC20G8.09c	734	3904	113	1759	120	1137	73	595	2072	6912	862	3206	3211	7993	1558	4730
SPAC20G8.10c	1009	143	148	87	176	59	114	26	938	496	653	242	1148	506	784	223
SPAC20H4.01	904	1610	123	883	133	620	93	368	1300	3108	570	1303	2137	4044	1181	2083
SPAC20H4.02	2895	772	443	469	406	295	361	224	941	768	619	335	1560	1014	1139	652
SPAC20H4.03c	1257	1398	276	755	222	511	209	309	496	1169	316	574	985	1665	713	1075
SPAC20H4.04	48	111	13	41	8	53	4	9	753	1399	592	619	1440	1703	1043	909
SPAC20H4.05c	366	703	61	367	76	267	31	160	92	354	51	155	168	535	111	353
SPAC20H4.06c	159	447	15	116	13	131	19	43	474	1035	320	436	891	1334	618	723
SPAC20H4.07	140	107	14	57	20	47	15	17	400	630	388	306	923	920	837	586
SPAC20H4.08	56	190	6	64	3	69	5	12	396	1274	253	805	371	1252	255	662
SPAC20H4.09	740	136	124	149	105	82	60	53	768	951	552	524	1564	1303	1072	925
SPAC20H4.10	3010	2234	635	1261	458	761	423	407	2323	3183	1624	1354	5495	5462	4191	3220
SPAC20H4.11c	773	117	123	53	131	62	128	17	128	60	82	26	344	116	311	68
SPAC212.01c	70	30	1	0.5	14	6	5	1	53	35	43	12	115	42	72	33
SPAC212.02	25	1	5	2	8	0.5	1	2	28	5	8	4	38	10	29	5
SPAC212.03	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	2	1	0.5	0.5
SPAC212.04c	147	36	10	4	15	12	8	6	118	50	89	18	243	66	199	40
SPAC212.05c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
