# scores_kozak_JEC21.txt
# Scores of ATG context against Kozak sequence, C. neoformans serotype D JEC21
# Kozak sequence derived from 330 highest-translated genes by RPF
#
# Gene: JEC21 systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG agains narrow
# u1.scorekn: score of 1st upstream ATG in 5' UTR against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	d2.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	d2.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
CNB00755	0.837	0.92	0.738	0.727	0.801	0.869	0.701	0.713	0.083	-0.111	0.068	-0.089
CNB00770	0.964	0.79	0.782	0.92	0.867	0.769	0.76	0.891	-0.173	-0.044	-0.098	0.024
CNB00780	0.854	0.835	0.837	NA	0.827	0.803	0.751	NA	-0.019	NA	-0.023	NA
CNB00790	0.768	1	0.81	NA	0.679	0.965	0.794	NA	0.232	NA	0.286	NA
CNB00800	0.886	0.759	0.945	NA	0.89	0.669	0.906	NA	-0.127	NA	-0.221	NA
CNB00810	0.816	0.81	0.854	NA	0.737	0.751	0.772	NA	-0.006	NA	0.014	NA
CNB00820	0.886	0.87	0.862	NA	0.832	0.734	0.829	NA	-0.016	NA	-0.098	NA
CNB00830	0.872	0.759	0.884	0.888	0.838	0.726	0.834	0.831	-0.112	0.016	-0.112	-0.006
CNB00850	0.836	0.811	0.795	0.813	0.835	0.812	0.753	0.818	-0.025	-0.023	-0.023	-0.017
CNB00860	0.895	0.745	0.862	NA	0.796	0.767	0.762	NA	-0.15	NA	-0.028	NA
CNB00870	0.964	0.863	0.758	NA	0.9	0.834	0.696	NA	-0.101	NA	-0.066	NA
CNB00880	0.932	0.888	0.925	NA	0.866	0.841	0.793	NA	-0.043	NA	-0.025	NA
CNB00890	0.886	0.899	0.812	NA	0.806	0.882	0.793	NA	0.013	NA	0.076	NA
CNB00900	0.79	0.989	0.837	NA	0.754	0.929	0.793	NA	0.199	NA	0.175	NA
CNB00910	0.94	0.738	0.767	NA	0.952	0.668	0.737	NA	-0.202	NA	-0.284	NA
CNB00920	0.842	0.759	0.842	NA	0.834	0.743	0.825	NA	-0.083	NA	-0.09	NA
CNB00930	0.92	0.756	0.828	NA	0.884	0.688	0.769	NA	-0.165	NA	-0.197	NA
CNB00935	0.743	0.917	0.836	0.847	0.678	0.889	0.717	0.818	0.174	0.104	0.211	0.14
CNB00940	0.828	0.86	0.813	NA	0.846	0.787	0.805	NA	0.032	NA	-0.058	NA
CNB00950	0.859	0.872	0.784	0.826	0.827	0.836	0.708	0.835	0.013	-0.033	0.009	0.008
CNB00970	0.906	0.683	0.701	0.839	0.838	0.692	0.694	0.837	-0.223	-0.067	-0.146	-0.002
CNB00980	0.989	0.787	0.787	0.819	0.901	0.761	0.741	0.772	-0.202	-0.17	-0.14	-0.128
CNB00990	0.964	0.816	0.966	NA	0.932	0.743	0.916	NA	-0.148	NA	-0.189	NA
CNB01000	0.839	0.784	0.895	0.794	0.841	0.721	0.832	0.77	-0.055	-0.046	-0.12	-0.071
CNB01010	0.941	0.899	1	0.942	0.9	0.815	0.945	0.86	-0.042	0.002	-0.084	-0.04
CNB01020	0.941	0.865	0.736	NA	0.937	0.834	0.704	NA	-0.076	NA	-0.103	NA
CNB01030	0.862	0.835	0.751	NA	0.783	0.762	0.71	NA	-0.028	NA	-0.021	NA
CNB01040	0.897	0.888	0.767	0.738	0.892	0.828	0.716	0.685	-0.009	-0.159	-0.065	-0.208
CNB01050	0.945	0.725	0.818	NA	0.894	0.687	0.802	NA	-0.221	NA	-0.207	NA
CNB01060	0.886	0.781	0.658	0.733	0.838	0.785	0.677	0.723	-0.105	-0.153	-0.053	-0.115
CNB01070	0.872	0.825	0.892	NA	0.879	0.796	0.91	NA	-0.047	NA	-0.083	NA
CNB01080	0.845	0.835	0.874	0.715	0.844	0.741	0.837	0.672	-0.01	-0.13	-0.103	-0.171
CNB01090	0.977	0.825	0.81	NA	0.957	0.806	0.839	NA	-0.152	NA	-0.151	NA
CNB01100	0.783	0.914	0.92	NA	0.734	0.875	0.888	NA	0.13	NA	0.142	NA
CNB01110	0.863	0.745	0.888	0.673	0.814	0.724	0.813	0.673	-0.118	-0.19	-0.09	-0.142
CNB01120	0.886	0.854	0.888	NA	0.877	0.849	0.791	NA	-0.032	NA	-0.028	NA
CNB01130	0.86	0.925	0.681	NA	0.825	0.873	0.703	NA	0.065	NA	0.049	NA
CNB01140	0.906	0.817	0.83	NA	0.887	0.785	0.821	NA	-0.09	NA	-0.101	NA
CNB01150	0.874	0.847	0.899	NA	0.872	0.766	0.817	NA	-0.027	NA	-0.106	NA
CNB01160	0.897	0.854	0.805	NA	0.821	0.828	0.826	NA	-0.043	NA	0.007	NA
CNB01170	0.92	0.751	0.787	0.79	0.898	0.756	0.754	0.799	-0.169	-0.13	-0.142	-0.098
CNB01190	0.886	0.836	0.87	0.884	0.882	0.799	0.874	0.885	-0.05	-0.001	-0.083	0.003
CNB01200	0.802	0.964	0.888	NA	0.807	0.955	0.886	NA	0.162	NA	0.148	NA
CNB01210	0.932	0.812	0.761	NA	0.923	0.743	0.674	NA	-0.119	NA	-0.18	NA
CNB01220	0.837	0.828	0.827	NA	0.821	0.802	0.78	NA	-0.009	NA	-0.018	NA
CNB01230	1	0.964	0.854	NA	0.916	0.88	0.845	NA	-0.036	NA	-0.036	NA
CNB01240	0.86	0.701	0.767	0.787	0.862	0.715	0.807	0.778	-0.159	-0.073	-0.146	-0.084
CNB01250	0.966	0.941	0.895	NA	0.914	0.853	0.817	NA	-0.025	NA	-0.061	NA
CNB01260	0.977	0.881	0.897	0.673	0.964	0.851	0.824	0.632	-0.096	-0.304	-0.113	-0.332
CNB01270	0.828	0.835	0.915	NA	0.837	0.786	0.799	NA	0.006	NA	-0.051	NA
CNB01280	0.929	0.845	0.906	0.888	0.868	0.852	0.82	0.862	-0.085	-0.041	-0.016	-0.006
CNB01290	0.964	0.854	0.74	NA	0.971	0.845	0.749	NA	-0.11	NA	-0.126	NA
CNB01300	0.895	0.733	1	NA	0.881	0.765	0.961	NA	-0.162	NA	-0.116	NA
CNB01310	0.886	0.763	0.818	NA	0.872	0.729	0.775	NA	-0.123	NA	-0.143	NA
CNB01320	0.798	0.707	0.989	0.81	0.698	0.681	0.97	0.778	-0.091	0.012	-0.018	0.08
CNB01330	0.922	0.758	0.785	0.895	0.871	0.769	0.79	0.863	-0.164	-0.027	-0.101	-0.008
CNB01340	0.803	0.966	0.781	NA	0.795	0.923	0.731	NA	0.163	NA	0.129	NA
CNB01350	0.899	0.813	0.758	NA	0.855	0.748	0.7	NA	-0.086	NA	-0.107	NA
CNB01360	0.897	0.989	0.724	NA	0.837	0.954	0.666	NA	0.092	NA	0.117	NA
CNB01365	0.92	0.759	0.865	0.861	0.871	0.785	0.848	0.795	-0.161	-0.059	-0.086	-0.076
CNB01370	0.92	0.841	0.822	NA	0.918	0.797	0.79	NA	-0.079	NA	-0.122	NA
CNB01380	0.776	0.802	0.745	NA	0.744	0.761	0.735	NA	0.025	NA	0.017	NA
CNB01390	0.75	0.698	1	0.77	0.673	0.639	0.93	0.726	-0.052	0.02	-0.034	0.053
CNB01400	0.964	0.781	0.676	0.673	0.944	0.826	0.655	0.64	-0.183	-0.291	-0.117	-0.303
CNB01410	0.975	0.964	0.812	0.842	0.853	0.859	0.826	0.814	-0.011	-0.133	0.006	-0.039
CNB01420	1	0.743	0.683	0.738	0.966	0.677	0.685	0.71	-0.257	-0.262	-0.288	-0.256
CNB01440	0.873	0.895	0.842	0.83	0.875	0.829	0.833	0.808	0.021	-0.043	-0.046	-0.067
CNB01450	0.945	0.776	0.888	NA	0.912	0.748	0.791	NA	-0.169	NA	-0.164	NA
CNB01460	0.977	0.847	0.899	NA	0.935	0.767	0.799	NA	-0.13	NA	-0.167	NA
CNB01470	0.977	0.811	0.784	NA	0.949	0.812	0.764	NA	-0.166	NA	-0.137	NA
CNB01480	0.964	0.655	0.816	0.803	0.891	0.663	0.783	0.79	-0.309	-0.161	-0.228	-0.102
CNB01500	0.952	0.767	0.787	NA	0.915	0.757	0.742	NA	-0.185	NA	-0.158	NA
CNB01510	0.847	0.922	0.725	0.888	0.81	0.908	0.757	0.865	0.076	0.041	0.097	0.055
CNB01520	0.897	0.83	0.763	NA	0.883	0.83	0.685	NA	-0.067	NA	-0.054	NA
CNB01530	0.862	0.897	0.989	NA	0.8	0.777	0.885	NA	0.035	NA	-0.023	NA
CNB01540	0.76	0.819	0.759	0.758	0.709	0.827	0.745	0.756	0.058	-0.002	0.118	0.046
CNB01550	0.803	0.845	0.966	0.854	0.773	0.812	0.839	0.791	0.042	0.051	0.039	0.018
CNB01560	0.799	0.952	0.802	NA	0.747	0.951	0.82	NA	0.153	NA	0.204	NA
CNB01570	0.863	0.895	0.767	NA	0.851	0.756	0.762	NA	0.032	NA	-0.095	NA
CNB01580	0.845	0.888	0.784	0.945	0.819	0.852	0.766	0.892	0.043	0.101	0.033	0.073
CNB01585	0.941	0.683	0.925	NA	0.927	0.664	0.865	NA	-0.258	NA	-0.263	NA
CNB01590	0.886	0.888	0.759	NA	0.846	0.848	0.709	NA	0.002	NA	0.002	NA
CNB01600	0.92	0.767	0.819	NA	0.84	0.759	0.81	NA	-0.153	NA	-0.081	NA
CNB01605	0.895	0.941	0.76	NA	0.868	0.919	0.708	NA	0.046	NA	0.051	NA
CNB01610	0.897	0.839	0.794	NA	0.863	0.836	0.773	NA	-0.058	NA	-0.027	NA
CNB01620	0.964	0.735	0.837	0.888	0.944	0.773	0.762	0.825	-0.229	-0.076	-0.171	-0.119
CNB01630	0.854	0.929	0.809	0.753	0.827	0.852	0.707	0.756	0.076	-0.101	0.025	-0.071
CNB01640	0.781	1	0.698	NA	0.8	0.948	0.731	NA	0.219	NA	0.148	NA
CNB01650	0.814	0.735	0.811	NA	0.763	0.752	0.777	NA	-0.079	NA	-0.011	NA
CNB01660	0.92	0.881	0.888	NA	0.914	0.768	0.877	NA	-0.039	NA	-0.145	NA
CNB01670	0.966	0.888	0.74	0.854	0.891	0.784	0.7	0.745	-0.078	-0.112	-0.106	-0.146
CNB01680	0.865	0.865	0.768	NA	0.821	0.808	0.763	NA	-0	NA	-0.013	NA
CNB01690	0.964	0.845	0.733	0.781	0.866	0.801	0.662	0.775	-0.119	-0.183	-0.065	-0.091
CNB01700	0.839	1	0.787	NA	0.815	0.887	0.734	NA	0.161	NA	0.072	NA
CNB01710	0.886	0.718	0.793	NA	0.89	0.64	0.731	NA	-0.168	NA	-0.25	NA
CNB01720	0.886	0.825	0.975	NA	0.852	0.793	0.865	NA	-0.061	NA	-0.059	NA
CNB01730	0.886	0.803	0.897	NA	0.854	0.804	0.891	NA	-0.083	NA	-0.051	NA
CNB01740	0.977	0.828	0.865	0.802	0.953	0.782	0.796	0.809	-0.149	-0.175	-0.171	-0.144
CNB01750	0.727	0.839	0.865	0.827	0.65	0.762	0.847	0.787	0.113	0.1	0.112	0.138
CNB01760	0.94	0.683	0.756	0.836	0.88	0.679	0.669	0.743	-0.257	-0.104	-0.202	-0.137
CNB01770	0.839	1	0.966	0.837	0.817	0.945	0.873	0.791	0.161	-0.002	0.128	-0.026
CNB01775	0.756	1	0.899	0.861	0.661	0.912	0.812	0.825	0.244	0.106	0.251	0.164
CNB01780	0.897	0.837	0.863	0.753	0.838	0.805	0.83	0.661	-0.06	-0.144	-0.033	-0.177
CNB01790	0.941	0.845	0.899	0.767	0.906	0.764	0.837	0.796	-0.096	-0.174	-0.141	-0.11
CNB01800	0.816	1	NA	NA	0.813	0.95	NA	NA	0.184	NA	0.137	NA
CNB01810	0.793	0.885	0.836	NA	0.757	0.824	0.729	NA	0.093	NA	0.066	NA
CNB01820	0.803	0.802	0.752	NA	0.817	0.741	0.719	NA	-0.001	NA	-0.075	NA
CNB01830	0.803	0.845	0.895	NA	0.695	0.829	0.883	NA	0.042	NA	0.134	NA
CNB01840	0.811	0.917	0.899	0.785	0.827	0.86	0.829	0.78	0.107	-0.026	0.033	-0.047
CNB01850	0.915	0.897	0.888	0.793	0.875	0.83	0.814	0.763	-0.018	-0.122	-0.045	-0.112
CNB01855	0.906	0.914	0.837	0.736	0.882	0.858	0.744	0.726	0.007	-0.171	-0.024	-0.157
CNB01870	0.92	0.816	0.802	0.751	0.911	0.809	0.768	0.699	-0.104	-0.169	-0.102	-0.212
CNB01880	0.655	0.888	0.917	NA	0.664	0.83	0.801	NA	0.233	NA	0.167	NA
CNB01890	0.964	0.701	0.727	0.795	0.923	0.704	0.691	0.741	-0.263	-0.168	-0.219	-0.182
CNB01900	0.863	0.881	0.854	NA	0.83	0.853	0.842	NA	0.018	NA	0.023	NA
CNB01910	0.92	0.811	0.932	NA	0.888	0.779	0.903	NA	-0.11	NA	-0.11	NA
CNB01920	0.914	0.681	0.925	NA	0.844	0.649	0.808	NA	-0.232	NA	-0.194	NA
CNB01930	0.805	0.727	0.707	NA	0.777	0.737	0.65	NA	-0.078	NA	-0.041	NA
CNB01940	0.883	0.79	0.767	NA	0.797	0.809	0.729	NA	-0.092	NA	0.013	NA
CNB01950	0.964	0.738	0.762	NA	0.875	0.728	0.78	NA	-0.226	NA	-0.148	NA
CNB01960	0.835	0.813	0.736	NA	0.785	0.759	0.713	NA	-0.022	NA	-0.027	NA
CNB01970	0.899	0.785	0.808	NA	0.877	0.731	0.786	NA	-0.114	NA	-0.146	NA
CNB01980	0.888	0.854	0.823	NA	0.877	0.8	0.734	NA	-0.034	NA	-0.077	NA
CNB01990	0.975	0.752	0.767	NA	0.923	0.749	0.761	NA	-0.222	NA	-0.174	NA
CNB02000	0.886	0.781	0.819	NA	0.856	0.655	0.742	NA	-0.105	NA	-0.201	NA
CNB02005	0.827	0.762	0.895	0.761	0.803	0.776	0.874	0.707	-0.065	-0.066	-0.027	-0.096
CNB02020	0.94	0.767	0.841	NA	0.875	0.766	0.828	NA	-0.174	NA	-0.109	NA
CNB02030	0.942	0.836	0.828	NA	0.873	0.753	0.8	NA	-0.106	NA	-0.12	NA
CNB02040	0.812	0.73	0.989	0.724	0.791	0.718	0.968	0.655	-0.082	-0.088	-0.073	-0.136
CNB02050	0.888	0.68	0.81	0.759	0.818	0.684	0.754	0.722	-0.208	-0.129	-0.134	-0.096
CNB02060	0.836	0.758	0.906	NA	0.815	0.705	0.837	NA	-0.078	NA	-0.111	NA
CNB02070	0.872	0.781	0.823	NA	0.876	0.739	0.787	NA	-0.09	NA	-0.137	NA
CNB02080	0.884	0.673	0.911	0.809	0.828	0.648	0.846	0.789	-0.212	-0.075	-0.18	-0.04
CNB02090	0.805	0.888	0.683	NA	0.773	0.877	0.64	NA	0.083	NA	0.104	NA
CNB02100	0.803	0.812	0.828	0.932	0.739	0.814	0.754	0.877	0.009	0.129	0.075	0.138
CNB02110	0.922	0.781	0.861	0.888	0.853	0.759	0.849	0.898	-0.141	-0.035	-0.094	0.045
CNB02120	0.803	0.799	0.683	NA	0.805	0.729	0.712	NA	-0.003	NA	-0.076	NA
CNB02130	0.915	0.742	0.828	0.795	0.925	0.73	0.831	0.787	-0.173	-0.12	-0.196	-0.138
CNB02135	0.888	0.897	0.846	NA	0.806	0.825	0.736	NA	0.009	NA	0.019	NA
CNB02140	0.854	0.745	0.77	0.888	0.706	0.731	0.744	0.901	-0.109	0.034	0.025	0.195
CNB02150	0.863	0.782	0.736	0.836	0.835	0.759	0.735	0.827	-0.081	-0.027	-0.077	-0.009
CNB02160	0.886	0.727	0.839	0.736	0.888	0.747	0.728	0.696	-0.159	-0.15	-0.141	-0.193
CNB02170	0.826	0.914	0.819	0.922	0.837	0.806	0.709	0.92	0.088	0.096	-0.031	0.082
CNB02180	0.785	0.861	0.757	NA	0.784	0.765	0.766	NA	0.077	NA	-0.02	NA
CNB02190	0.886	0.872	0.745	NA	0.853	0.825	0.742	NA	-0.014	NA	-0.028	NA
CNB02200	1	0.701	0.865	NA	0.947	0.664	0.819	NA	-0.299	NA	-0.284	NA
CNB02210	0.904	0.888	0.899	NA	0.823	0.817	0.866	NA	-0.016	NA	-0.006	NA
CNB02220	0.872	0.865	0.865	NA	0.876	0.801	0.793	NA	-0.007	NA	-0.074	NA
CNB02230	0.87	0.781	0.784	NA	0.847	0.741	0.765	NA	-0.089	NA	-0.106	NA
CNB02240	0.886	0.77	0.917	NA	0.873	0.798	0.867	NA	-0.116	NA	-0.076	NA
CNB02250	0.915	0.813	0.872	NA	0.874	0.804	0.863	NA	-0.102	NA	-0.07	NA
CNB02260	0.895	0.73	0.816	0.767	0.852	0.729	0.799	0.703	-0.165	-0.128	-0.123	-0.149
CNB02270	0.886	0.761	0.761	NA	0.875	0.779	0.763	NA	-0.125	NA	-0.096	NA
CNB02280	0.782	0.796	0.94	0.818	0.765	0.698	0.841	0.818	0.013	0.036	-0.067	0.053
CNB02290	0.819	0.822	0.863	0.821	0.81	0.839	0.849	0.808	0.002	0.002	0.029	-0.002
CNB02300	0.836	0.845	0.68	0.706	0.836	0.787	0.683	0.694	0.009	-0.13	-0.049	-0.143
CNB02310	0.837	0.761	0.837	0.828	0.77	0.789	0.759	0.83	-0.076	-0.008	0.018	0.06
CNB02320	0.761	0.885	0.82	NA	0.728	0.826	0.786	NA	0.124	NA	0.098	NA
CNB02330	0.817	0.811	0.911	NA	0.822	0.713	0.826	NA	-0.006	NA	-0.109	NA
CNB02340	0.886	0.819	0.761	0.732	0.866	0.782	0.711	0.699	-0.067	-0.154	-0.084	-0.167
CNB02350	0.906	0.836	0.917	0.732	0.849	0.671	0.848	0.684	-0.071	-0.174	-0.177	-0.165
CNB02360	0.989	0.873	0.94	NA	0.961	0.858	0.881	NA	-0.116	NA	-0.103	NA
CNB02365	0.776	0.932	0.839	0.784	0.786	0.916	0.85	0.751	0.155	0.008	0.13	-0.035
CNB02370	0.92	0.805	0.733	0.777	0.883	0.783	0.624	0.769	-0.115	-0.143	-0.101	-0.115
CNB02380	0.92	0.892	0.785	0.906	0.904	0.863	0.787	0.832	-0.028	-0.014	-0.041	-0.072
CNB02390	0.941	0.658	0.683	0.68	0.895	0.661	0.729	0.6	-0.283	-0.261	-0.235	-0.295
CNB02400	0.906	0.736	0.888	0.845	0.845	0.725	0.839	0.867	-0.171	-0.062	-0.12	0.022
CNB02410	0.837	0.802	0.781	0.767	0.785	0.81	0.744	0.702	-0.035	-0.07	0.025	-0.083
CNB02420	0.977	0.757	NA	NA	0.912	0.729	NA	NA	-0.22	NA	-0.184	NA
CNB02430	0.784	0.727	0.925	0.74	0.764	0.64	0.857	0.695	-0.057	-0.044	-0.125	-0.069
CNB02440	0.92	0.752	0.81	0.828	0.835	0.771	0.77	0.837	-0.168	-0.092	-0.064	0.002
CNB02450	0.977	0.836	0.837	NA	0.917	0.813	0.764	NA	-0.141	NA	-0.104	NA
CNB02460	0.836	0.839	0.874	0.827	0.798	0.785	0.839	0.792	0.003	-0.009	-0.013	-0.006
CNB02470	0.812	0.839	0.681	NA	0.813	0.816	0.672	NA	0.028	NA	0.003	NA
CNB02480	0.841	0.802	0.952	NA	0.762	0.732	0.907	NA	-0.039	NA	-0.03	NA
CNB02490	0.837	0.676	0.897	0.917	0.849	0.671	0.873	0.833	-0.161	0.08	-0.178	-0.016
CNB02495	0.837	0.802	0.952	0.768	0.752	0.776	0.917	0.723	-0.035	-0.069	0.024	-0.029
CNB02510	0.865	0.736	0.844	NA	0.854	0.69	0.801	NA	-0.129	NA	-0.165	NA
CNB02520	0.966	0.802	0.77	NA	0.941	0.764	0.723	NA	-0.164	NA	-0.177	NA
CNB02525	0.904	0.74	0.899	NA	0.822	0.703	0.819	NA	-0.164	NA	-0.119	NA
CNB02530	0.922	0.964	0.841	0.886	0.817	0.91	0.843	0.86	0.042	-0.036	0.094	0.044
CNB02540	0.899	0.888	0.892	0.823	0.867	0.805	0.833	0.796	-0.012	-0.076	-0.062	-0.071
CNB02545	0.725	0.794	0.888	0.74	0.738	0.742	0.808	0.757	0.069	0.015	0.003	0.019
CNB02550	0.922	0.743	0.727	NA	0.859	0.761	0.741	NA	-0.179	NA	-0.098	NA
CNB02560	0.805	0.749	0.975	NA	0.809	0.721	0.943	NA	-0.056	NA	-0.089	NA
CNB02570	0.975	0.812	0.825	NA	0.926	0.821	0.796	NA	-0.163	NA	-0.106	NA
CNB02580	0.897	0.841	0.738	0.839	0.827	0.791	0.726	0.849	-0.056	-0.058	-0.035	0.022
CNB02590	0.914	0.872	0.845	0.828	0.843	0.814	0.832	0.818	-0.042	-0.085	-0.028	-0.025
CNB02600	0.816	0.845	0.68	0.941	0.777	0.796	0.652	0.902	0.029	0.125	0.019	0.125
CNB02610	0.92	0.884	0.842	0.839	0.891	0.833	0.824	0.751	-0.036	-0.081	-0.058	-0.14
CNB02620	0.872	0.917	0.81	0.873	0.836	0.9	0.814	0.825	0.046	0.002	0.065	-0.01
CNB02640	0.915	0.776	0.723	NA	0.907	0.721	0.712	NA	-0.139	NA	-0.185	NA
CNB02650	0.862	0.922	0.837	NA	0.847	0.818	0.785	NA	0.06	NA	-0.029	NA
CNB02660	0.904	0.854	0.787	NA	0.879	0.822	0.732	NA	-0.05	NA	-0.056	NA
CNB02665	0.915	NA	NA	NA	0.873	NA	NA	NA	NA	NA	NA	NA
CNB02670	0.865	0.917	0.845	NA	0.811	0.864	0.848	NA	0.053	NA	0.053	NA
CNB02680	0.86	0.813	0.681	NA	0.861	0.757	0.659	NA	-0.047	NA	-0.103	NA
CNB02690	0.839	0.886	0.787	0.698	0.872	0.861	0.749	0.743	0.047	-0.141	-0.01	-0.129
CNB02700	0.966	0.743	0.85	0.989	0.929	0.726	0.734	0.932	-0.223	0.023	-0.203	0.003
CNB02710	0.77	0.787	0.761	NA	0.805	0.751	0.736	NA	0.017	NA	-0.053	NA
CNB02720	0.793	0.767	0.732	0.844	0.734	0.759	0.725	0.768	-0.025	0.052	0.024	0.034
CNB02730	0.952	0.802	0.841	0.71	0.896	0.772	0.738	0.734	-0.149	-0.242	-0.124	-0.161
CNB02740	0.977	0.859	0.683	NA	0.924	0.826	0.629	NA	-0.118	NA	-0.098	NA
CNB02750	0.917	0.975	0.785	NA	0.866	0.901	0.775	NA	0.058	NA	0.034	NA
CNB02760	0.86	0.865	0.759	NA	0.807	0.737	0.707	NA	0.005	NA	-0.07	NA
CNB02770	0.845	0.809	0.758	0.873	0.853	0.766	0.752	0.826	-0.036	0.029	-0.087	-0.027
CNB02780	0.827	0.952	0.929	NA	0.83	0.887	0.863	NA	0.125	NA	0.057	NA
CNB02790	0.975	0.925	0.863	NA	0.961	0.911	0.842	NA	-0.05	NA	-0.05	NA
CNB02800	0.828	0.765	0.863	0.75	0.809	0.705	0.729	0.686	-0.063	-0.078	-0.105	-0.124
CNB02810	0.975	0.828	0.761	NA	0.902	0.834	0.639	NA	-0.147	NA	-0.068	NA
CNB02820	0.964	0.799	0.77	NA	0.85	0.781	0.71	NA	-0.165	NA	-0.069	NA
CNB02830	0.989	0.812	0.756	NA	0.945	0.756	0.728	NA	-0.177	NA	-0.189	NA
CNB02840	0.952	0.925	0.768	NA	0.928	0.868	0.762	NA	-0.027	NA	-0.06	NA
CNB02850	0.812	0.761	0.845	0.839	0.78	0.744	0.801	0.849	-0.051	0.027	-0.036	0.07
CNB02860	0.784	0.906	0.784	NA	0.725	0.855	0.73	NA	0.122	NA	0.13	NA
CNB02870	0.92	0.823	0.683	0.79	0.846	0.798	0.662	0.733	-0.097	-0.13	-0.047	-0.113
CNB02880	0.863	0.897	0.785	0.897	0.812	0.851	0.759	0.904	0.034	0.034	0.039	0.092
CNB02890	0.872	0.718	0.809	NA	0.841	0.706	0.777	NA	-0.154	NA	-0.135	NA
CNB02900	0.941	0.828	0.872	NA	0.865	0.774	0.871	NA	-0.113	NA	-0.091	NA
CNB02980	0.92	0.784	0.792	0.77	0.904	0.727	0.812	0.749	-0.136	-0.15	-0.177	-0.155
CNB02990	0.892	0.862	0.698	NA	0.875	0.829	0.64	NA	-0.03	NA	-0.046	NA
CNB02995	0.92	0.922	0.724	0.698	0.9	0.895	0.714	0.659	0.002	-0.222	-0.004	-0.241
CNB03000	0.975	0.733	0.874	0.857	0.979	0.759	0.842	0.828	-0.242	-0.117	-0.22	-0.151
CNB03005	0.897	0.862	0.818	NA	0.845	0.792	0.75	NA	-0.035	NA	-0.053	NA
CNB03010	0.899	0.837	0.743	NA	0.868	0.772	0.691	NA	-0.061	NA	-0.096	NA
CNB03020	0.785	0.759	0.977	0.888	0.712	0.63	0.964	0.867	-0.026	0.103	-0.082	0.155
CNB03030	0.989	0.812	0.925	NA	0.957	0.776	0.893	NA	-0.177	NA	-0.18	NA
CNB03040	0.828	0.828	0.874	0.733	0.824	0.749	0.832	0.709	-0	-0.096	-0.074	-0.114
CNB03050	0.915	0.759	0.975	0.863	0.856	0.737	0.867	0.819	-0.155	-0.052	-0.119	-0.037
CNB03060	0.904	0.745	0.763	NA	0.821	0.725	0.748	NA	-0.159	NA	-0.096	NA
CNB03070	0.839	0.977	0.92	NA	0.841	0.881	0.914	NA	0.138	NA	0.04	NA
CNB03080	0.863	0.94	0.823	NA	0.868	0.902	0.759	NA	0.077	NA	0.034	NA
CNB03090	0.874	0.841	0.787	NA	0.813	0.722	0.794	NA	-0.033	NA	-0.091	NA
CNB03100	0.966	0.803	0.799	NA	0.969	0.799	0.767	NA	-0.163	NA	-0.169	NA
CNB03110	0.964	0.767	0.872	NA	0.922	0.807	0.801	NA	-0.197	NA	-0.115	NA
CNB03120	0.862	0.803	0.81	0.895	0.762	0.774	0.79	0.864	-0.059	0.033	0.012	0.101
CNB03130	0.841	0.854	0.837	NA	0.799	0.828	0.808	NA	0.013	NA	0.029	NA
CNB03140	0.876	0.925	0.784	NA	0.875	0.839	0.738	NA	0.049	NA	-0.036	NA
CNB03150	0.989	0.785	0.759	0.812	0.928	0.753	0.664	0.833	-0.204	-0.177	-0.175	-0.095
CNB03155	0.733	0.718	0.762	0.862	0.742	0.674	0.642	0.813	-0.015	0.129	-0.069	0.07
CNB03160	0.895	0.819	0.758	NA	0.882	0.809	0.759	NA	-0.076	NA	-0.073	NA
CNB03170	0.839	0.897	0.743	0.886	0.809	0.844	0.758	0.836	0.058	0.047	0.035	0.027
CNB03180	0.929	0.758	0.699	0.803	0.866	0.703	0.719	0.803	-0.171	-0.127	-0.162	-0.063
CNB03190	0.85	0.71	0.74	NA	0.788	0.713	0.747	NA	-0.14	NA	-0.075	NA
CNB03195	0.835	0.73	0.859	NA	0.848	0.733	0.805	NA	-0.105	NA	-0.115	NA
CNB03200	0.92	0.845	0.787	NA	0.913	0.809	0.713	NA	-0.075	NA	-0.104	NA
CNB03210	0.94	0.81	0.886	NA	0.879	0.757	0.88	NA	-0.13	NA	-0.122	NA
CNB03215	0.865	0.68	0.846	0.945	0.759	0.634	0.865	0.908	-0.184	0.081	-0.125	0.149
CNB03230	0.964	0.932	0.859	NA	0.918	0.91	0.842	NA	-0.032	NA	-0.008	NA
CNB03235	0.895	0.888	0.743	NA	0.813	0.828	0.712	NA	-0.007	NA	0.015	NA
CNB03240	0.975	0.826	0.837	NA	0.943	0.786	0.823	NA	-0.149	NA	-0.157	NA
CNB03250	0.897	0.759	0.865	NA	0.889	0.748	0.744	NA	-0.138	NA	-0.141	NA
CNB03270	0.892	0.698	0.683	0.655	0.81	0.677	0.686	0.598	-0.194	-0.237	-0.132	-0.212
CNB03280	0.813	0.94	0.785	0.767	0.821	0.901	0.742	0.668	0.127	-0.046	0.08	-0.153
