# scores_kozak_H99.txt
# Scores of ATG context against Kozak sequence, C. neoformans serotype A H99
# Kozak sequence derived from 330 highest-translated genes by RPF
#
# Gene: H99 systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# u1.scorekn: score of 1st upstream ATG in 5' UTR against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekn	d1.scorekn	d2.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	d2.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
CNAG_01465	0.88	0.935	0.788	NA	0.824	0.874	0.765	NA	0.055	NA	0.05	NA
CNAG_01466	0.77	0.818	1	NA	0.709	0.792	0.914	NA	0.048	NA	0.083	NA
CNAG_01467	0.905	0.938	0.686	NA	0.868	0.892	0.646	NA	0.033	NA	0.024	NA
CNAG_01468	0.895	0.916	0.753	NA	0.855	0.82	0.718	NA	0.021	NA	-0.035	NA
CNAG_01469	0.834	0.867	0.836	NA	0.812	0.823	0.851	NA	0.033	NA	0.011	NA
CNAG_01470	0.873	0.699	0.747	NA	0.823	0.721	0.745	NA	-0.173	NA	-0.101	NA
CNAG_01471	0.856	0.834	0.688	0.759	0.854	0.741	0.607	0.74	-0.021	-0.097	-0.113	-0.113
CNAG_01472	0.902	0.77	0.841	0.938	0.89	0.776	0.811	0.865	-0.133	0.036	-0.114	-0.025
CNAG_01473	0.819	0.845	0.757	0.856	0.837	0.805	0.656	0.843	0.026	0.037	-0.032	0.006
CNAG_01474	0.803	0.975	0.822	0.817	0.743	0.899	0.836	0.732	0.173	0.014	0.156	-0.011
CNAG_01475	0.857	0.784	0.896	NA	0.855	0.733	0.83	NA	-0.072	NA	-0.123	NA
CNAG_01476	0.975	0.779	0.747	NA	0.919	0.747	0.734	NA	-0.196	NA	-0.172	NA
CNAG_01477	0.906	0.809	0.82	NA	0.866	0.777	0.82	NA	-0.097	NA	-0.089	NA
CNAG_01478	0.891	0.73	0.845	0.763	0.827	0.638	0.759	0.723	-0.161	-0.128	-0.189	-0.104
CNAG_01479	0.865	0.808	0.785	0.836	0.821	0.745	0.742	0.776	-0.057	-0.029	-0.076	-0.045
CNAG_01480	0.906	0.883	NA	0.89	0.875	0.793	NA	0.804	-0.023	-0.017	-0.081	-0.071
CNAG_01481	0.968	0.834	0.721	0.895	0.911	0.812	0.677	0.813	-0.134	-0.073	-0.099	-0.098
CNAG_01482	0.821	0.841	0.785	NA	0.809	0.809	0.758	NA	0.02	NA	-0.001	NA
CNAG_01483	0.88	0.854	0.891	NA	0.842	0.772	0.799	NA	-0.026	NA	-0.069	NA
CNAG_01485	0.895	0.789	0.665	0.89	0.912	0.77	0.643	0.834	-0.105	-0.005	-0.143	-0.078
CNAG_01486	0.978	0.779	0.867	NA	0.953	0.729	0.858	NA	-0.199	NA	-0.225	NA
CNAG_01487	0.99	0.841	0.728	NA	0.942	0.811	0.679	NA	-0.15	NA	-0.131	NA
CNAG_01489	0.912	0.741	0.919	0.759	0.896	0.752	0.87	0.721	-0.171	-0.152	-0.143	-0.174
CNAG_01490	0.811	0.89	0.821	0.847	0.791	0.846	0.801	0.828	0.079	0.037	0.055	0.036
CNAG_01491	0.935	0.809	0.757	NA	0.923	0.788	0.704	NA	-0.126	NA	-0.135	NA
CNAG_01492	0.978	0.785	0.741	0.845	0.935	0.75	0.757	0.79	-0.192	-0.133	-0.185	-0.145
CNAG_01493	0.975	0.835	0.854	0.8	0.951	0.772	0.85	0.788	-0.14	-0.175	-0.179	-0.163
CNAG_01494	0.747	0.721	0.929	0.849	0.756	0.64	0.821	0.848	-0.026	0.102	-0.116	0.092
CNAG_01495	0.906	0.72	0.849	0.795	0.835	0.649	0.758	0.786	-0.187	-0.112	-0.186	-0.049
CNAG_01496	0.935	0.812	0.854	NA	0.907	0.793	0.848	NA	-0.124	NA	-0.114	NA
CNAG_01497	0.857	0.897	0.878	0.864	0.86	0.845	0.87	0.832	0.04	0.008	-0.015	-0.028
CNAG_01498	0.938	0.99	0.715	NA	0.876	0.976	0.653	NA	0.052	NA	0.099	NA
CNAG_01499	0.704	0.836	0.916	0.787	0.723	0.839	0.895	0.756	0.132	0.083	0.116	0.033
CNAG_01500	0.968	0.747	0.929	NA	0.966	0.665	0.789	NA	-0.221	NA	-0.301	NA
CNAG_01501	0.898	0.701	0.861	0.763	0.82	0.687	0.796	0.759	-0.196	-0.135	-0.133	-0.061
CNAG_01502	0.966	0.873	0.792	NA	0.919	0.84	0.7	NA	-0.093	NA	-0.079	NA
CNAG_01504	0.99	0.819	0.826	NA	0.909	0.72	0.809	NA	-0.172	NA	-0.188	NA
CNAG_01506	0.788	0.715	0.84	0.835	0.778	0.638	0.825	0.852	-0.073	0.047	-0.14	0.074
CNAG_01507	0.99	0.88	0.905	NA	0.956	0.854	0.893	NA	-0.11	NA	-0.102	NA
CNAG_01508	0.864	0.944	0.821	NA	0.814	0.881	0.776	NA	0.079	NA	0.067	NA
CNAG_01509	0.88	0.767	0.659	NA	0.819	0.687	0.642	NA	-0.113	NA	-0.132	NA
CNAG_01510	0.916	0.849	0.92	0.907	0.859	0.774	0.866	0.876	-0.067	-0.009	-0.085	0.017
CNAG_01511	0.99	0.841	0.728	0.874	0.942	0.811	0.679	0.759	-0.15	-0.117	-0.131	-0.182
CNAG_01512	0.846	0.898	0.723	0.873	0.847	0.819	0.733	0.843	0.052	0.026	-0.027	-0.004
CNAG_01513	0.945	0.826	0.785	0.659	0.947	0.78	0.746	0.7	-0.119	-0.285	-0.167	-0.247
CNAG_01518	0.968	0.825	0.825	NA	0.911	0.725	0.773	NA	-0.143	NA	-0.185	NA
CNAG_01519	0.873	0.92	0.873	NA	0.816	0.836	0.803	NA	0.048	NA	0.02	NA
CNAG_01520	0.827	0.747	0.763	NA	0.806	0.71	0.699	NA	-0.079	NA	-0.096	NA
CNAG_01521	0.819	0.849	0.788	0.794	0.824	0.769	0.71	0.785	0.03	-0.025	-0.055	-0.04
CNAG_01522	0.871	0.881	0.844	NA	0.88	0.829	0.818	NA	0.01	NA	-0.051	NA
CNAG_01523	0.882	0.785	0.743	NA	0.864	0.773	0.755	NA	-0.096	NA	-0.091	NA
CNAG_01524	0.922	0.975	0.795	NA	0.835	0.912	0.764	NA	0.053	NA	0.077	NA
CNAG_01525	0.907	0.835	0.72	NA	0.825	0.841	0.648	NA	-0.071	NA	0.015	NA
CNAG_01526	0.922	0.841	0.968	NA	0.846	0.793	0.91	NA	-0.081	NA	-0.053	NA
CNAG_01527	0.873	0.762	0.787	NA	0.872	0.711	0.76	NA	-0.111	NA	-0.161	NA
CNAG_01528	0.812	0.88	0.816	NA	0.787	0.818	0.783	NA	0.069	NA	0.031	NA
CNAG_01529	0.813	0.795	0.92	NA	0.83	0.738	0.833	NA	-0.019	NA	-0.092	NA
CNAG_01530	0.938	0.897	0.82	0.883	0.88	0.835	0.828	0.869	-0.041	-0.055	-0.045	-0.011
CNAG_01531	0.891	0.905	0.766	NA	0.82	0.866	0.731	NA	0.014	NA	0.046	NA
CNAG_01532	0.88	0.77	0.89	NA	0.788	0.737	0.822	NA	-0.11	NA	-0.051	NA
CNAG_01533	0.92	0.82	0.828	0.818	0.832	0.793	0.769	0.787	-0.1	-0.102	-0.039	-0.045
CNAG_01534	0.929	0.856	0.757	0.73	0.907	0.826	0.744	0.738	-0.073	-0.199	-0.081	-0.169
CNAG_01535	0.966	0.704	0.792	NA	0.847	0.717	0.755	NA	-0.262	NA	-0.13	NA
CNAG_01536	0.978	0.858	0.686	NA	0.913	0.822	0.651	NA	-0.12	NA	-0.091	NA
CNAG_01537	0.858	0.73	0.753	NA	0.832	0.731	0.712	NA	-0.127	NA	-0.101	NA
CNAG_01538	0.827	0.803	0.845	0.759	0.81	0.814	0.81	0.729	-0.024	-0.068	0.004	-0.081
CNAG_01539	0.938	0.761	0.721	0.814	0.92	0.713	0.733	0.774	-0.178	-0.124	-0.207	-0.146
CNAG_01540	0.864	0.77	0.966	0.975	0.879	0.69	0.884	0.891	-0.094	0.111	-0.189	0.012
CNAG_01541	0.867	0.8	0.721	0.858	0.85	0.777	0.709	0.837	-0.067	-0.01	-0.073	-0.013
CNAG_01542	0.739	0.724	0.818	0.807	0.711	0.683	0.771	0.773	-0.016	0.067	-0.028	0.062
CNAG_01543	0.912	0.861	0.779	NA	0.858	0.762	0.758	NA	-0.051	NA	-0.096	NA
CNAG_01544	0.759	0.978	0.841	NA	0.696	0.926	0.778	NA	0.219	NA	0.23	NA
CNAG_01545	0.929	0.847	0.846	NA	0.906	0.798	0.799	NA	-0.081	NA	-0.108	NA
CNAG_01546	0.819	0.911	0.743	NA	0.785	0.908	0.727	NA	0.092	NA	0.123	NA
CNAG_01547	0.944	0.883	0.944	NA	0.861	0.84	0.899	NA	-0.061	NA	-0.021	NA
CNAG_01548	0.89	0.783	0.867	NA	0.861	0.73	0.8	NA	-0.107	NA	-0.131	NA
CNAG_01549	0.895	0.841	0.77	NA	0.811	0.788	0.714	NA	-0.054	NA	-0.024	NA
CNAG_01550	0.953	0.785	0.851	NA	0.911	0.714	0.733	NA	-0.169	NA	-0.197	NA
CNAG_01551	0.919	0.857	0.794	0.783	0.888	0.806	0.777	0.779	-0.063	-0.136	-0.082	-0.108
CNAG_01552	0.902	0.841	0.817	0.841	0.846	0.771	0.767	0.829	-0.062	-0.062	-0.075	-0.017
CNAG_01553	0.99	0.85	0.827	NA	0.89	0.77	0.781	NA	-0.14	NA	-0.12	NA
CNAG_01554	0.809	0.728	0.715	NA	0.811	0.753	0.715	NA	-0.081	NA	-0.057	NA
CNAG_01555	0.85	0.847	0.786	NA	0.855	0.835	0.767	NA	-0.003	NA	-0.02	NA
CNAG_01556	0.978	0.935	0.882	NA	0.934	0.833	0.82	NA	-0.042	NA	-0.101	NA
CNAG_01557	0.874	0.783	0.785	0.849	0.882	0.748	0.718	0.846	-0.091	-0.025	-0.134	-0.036
CNAG_01558	0.99	0.783	0.811	0.867	0.977	0.763	0.773	0.862	-0.207	-0.123	-0.214	-0.115
CNAG_01559	0.789	0.878	0.906	NA	0.75	0.825	0.854	NA	0.089	NA	0.075	NA
CNAG_01560	0.966	0.893	0.757	0.759	0.928	0.821	0.783	0.72	-0.073	-0.207	-0.107	-0.208
CNAG_01561	0.797	0.912	0.678	NA	0.736	0.823	0.597	NA	0.115	NA	0.087	NA
CNAG_01562	1	0.707	0.809	NA	0.953	0.7	0.767	NA	-0.293	NA	-0.253	NA
CNAG_01563	0.938	0.944	0.741	NA	0.869	0.897	0.711	NA	0.005	NA	0.029	NA
CNAG_01564	0.945	0.821	0.757	NA	0.92	0.815	0.717	NA	-0.123	NA	-0.105	NA
CNAG_01565	0.99	0.873	0.73	NA	0.965	0.868	0.772	NA	-0.118	NA	-0.098	NA
CNAG_01566	0.865	0.821	0.916	NA	0.806	0.821	0.845	NA	-0.044	NA	0.015	NA
CNAG_01567	0.99	0.881	0.825	NA	0.962	0.814	0.786	NA	-0.11	NA	-0.149	NA
CNAG_01568	0.978	0.99	0.747	NA	0.953	0.909	0.709	NA	0.013	NA	-0.044	NA
CNAG_01569	0.966	0.966	0.896	NA	0.928	0.91	0.786	NA	0	NA	-0.019	NA
CNAG_01570	0.912	0.767	0.704	0.723	0.881	0.742	0.652	0.726	-0.144	-0.189	-0.139	-0.155
CNAG_01571	0.786	0.767	0.907	0.75	0.763	0.764	0.818	0.657	-0.018	-0.036	0.001	-0.106
CNAG_01572	0.966	0.809	0.813	0.762	0.922	0.8	0.765	0.763	-0.157	-0.204	-0.122	-0.159
CNAG_01573	0.975	0.849	0.757	NA	0.92	0.827	0.709	NA	-0.127	NA	-0.093	NA
CNAG_01574	0.944	0.845	0.893	0.724	0.889	0.797	0.817	0.741	-0.099	-0.22	-0.092	-0.148
CNAG_01575	0.902	0.707	0.871	NA	0.901	0.707	0.807	NA	-0.196	NA	-0.194	NA
CNAG_01576	1	1	0.821	NA	0.931	0.959	0.812	NA	0	NA	0.029	NA
CNAG_01577	0.99	0.823	0.77	NA	0.947	0.76	0.75	NA	-0.168	NA	-0.188	NA
CNAG_01578	0.854	0.831	0.907	NA	0.838	0.817	0.835	NA	-0.023	NA	-0.021	NA
CNAG_01579	0.817	0.92	0.813	0.841	0.811	0.906	0.816	0.831	0.103	0.024	0.095	0.02
CNAG_01580	0.897	0.906	0.789	NA	0.841	0.835	0.806	NA	0.009	NA	-0.006	NA
CNAG_01581	0.805	0.845	0.929	NA	0.788	0.765	0.854	NA	0.04	NA	-0.024	NA
CNAG_01582	0.774	0.841	0.757	NA	0.698	0.743	0.751	NA	0.067	NA	0.046	NA
CNAG_01583	0.99	0.743	0.867	0.865	0.964	0.668	0.807	0.822	-0.247	-0.125	-0.296	-0.141
CNAG_01584	0.897	0.841	0.812	NA	0.881	0.822	0.79	NA	-0.056	NA	-0.059	NA
CNAG_01585	0.905	0.785	0.759	NA	0.867	0.742	0.771	NA	-0.12	NA	-0.124	NA
CNAG_01586	0.99	0.818	NA	NA	0.974	0.756	NA	NA	-0.172	NA	-0.219	NA
CNAG_01587	0.935	0.783	0.845	NA	0.901	0.736	0.83	NA	-0.152	NA	-0.165	NA
CNAG_01588	0.935	0.757	0.864	NA	0.899	0.718	0.785	NA	-0.179	NA	-0.181	NA
CNAG_01590	0.966	0.868	0.797	NA	0.932	0.804	0.735	NA	-0.098	NA	-0.128	NA
CNAG_01591	0.978	0.696	0.883	0.871	0.918	0.652	0.745	0.835	-0.281	-0.107	-0.266	-0.084
CNAG_01592	0.835	0.99	0.893	NA	0.774	0.889	0.835	NA	0.155	NA	0.115	NA
CNAG_01593	1	0.811	0.836	NA	0.902	0.803	0.795	NA	-0.189	NA	-0.099	NA
CNAG_01594	0.966	0.811	0.776	NA	0.926	0.796	0.755	NA	-0.155	NA	-0.13	NA
CNAG_01595	0.89	0.797	0.785	0.73	0.857	0.792	0.697	0.7	-0.093	-0.159	-0.065	-0.157
CNAG_01596	0.978	0.89	0.819	NA	0.945	0.809	0.74	NA	-0.088	NA	-0.136	NA
CNAG_01597	0.883	0.659	0.737	NA	0.844	0.632	0.639	NA	-0.224	NA	-0.212	NA
CNAG_01598	0.944	0.88	0.819	NA	0.912	0.835	0.774	NA	-0.063	NA	-0.077	NA
CNAG_01599	0.834	0.77	0.953	NA	0.791	0.752	0.879	NA	-0.064	NA	-0.039	NA
CNAG_01600	0.99	0.783	0.821	NA	0.939	0.739	0.734	NA	-0.207	NA	-0.199	NA
CNAG_01601	0.873	0.784	0.99	NA	0.857	0.757	0.956	NA	-0.088	NA	-0.1	NA
CNAG_01602	0.867	0.891	0.856	0.725	0.814	0.883	0.809	0.702	0.024	-0.142	0.069	-0.111
CNAG_01603	0.867	0.743	0.812	0.874	0.858	0.686	0.772	0.878	-0.124	0.006	-0.173	0.02
CNAG_01604	0.72	0.893	0.73	0.819	0.719	0.873	0.698	0.786	0.173	0.099	0.154	0.067
CNAG_01605	0.897	0.856	0.841	0.733	0.795	0.875	0.823	0.705	-0.042	-0.164	0.08	-0.089
CNAG_01606	0.871	0.851	0.809	0.805	0.805	0.784	0.774	0.75	-0.019	-0.066	-0.021	-0.055
CNAG_01607	0.838	0.763	0.785	NA	0.824	0.789	0.69	NA	-0.075	NA	-0.035	NA
CNAG_01608	1	0.633	0.821	NA	0.934	0.664	0.799	NA	-0.367	NA	-0.27	NA
CNAG_01609	1	0.787	1	NA	0.934	0.794	0.93	NA	-0.213	NA	-0.14	NA
CNAG_01610	0.938	0.784	0.785	NA	0.87	0.766	0.759	NA	-0.154	NA	-0.105	NA
CNAG_01611	0.882	0.759	0.897	0.784	0.846	0.716	0.869	0.765	-0.122	-0.098	-0.13	-0.081
CNAG_01612	0.763	0.929	0.944	NA	0.74	0.82	0.906	NA	0.166	NA	0.08	NA
CNAG_01613	0.785	0.785	0.828	NA	0.802	0.724	0.738	NA	0.001	NA	-0.078	NA
CNAG_01614	0.99	0.757	0.757	NA	0.922	0.753	0.716	NA	-0.234	NA	-0.169	NA
CNAG_01615	0.904	0.88	0.807	NA	0.889	0.823	0.751	NA	-0.024	NA	-0.067	NA
CNAG_01616	0.772	0.882	0.845	0.73	0.771	0.806	0.763	0.675	0.11	-0.042	0.035	-0.096
CNAG_01619	0.766	0.75	0.73	0.821	0.742	0.762	0.706	0.791	-0.016	0.055	0.019	0.048
CNAG_01620	0.945	0.809	0.845	NA	0.854	0.825	0.812	NA	-0.136	NA	-0.03	NA
CNAG_01621	0.99	0.785	0.92	0.835	0.982	0.766	0.86	0.786	-0.205	-0.155	-0.216	-0.196
CNAG_01622	0.841	0.772	0.785	0.851	0.855	0.787	0.746	0.783	-0.068	0.011	-0.068	-0.071
CNAG_01623	0.92	0.893	0.805	NA	0.862	0.815	0.778	NA	-0.027	NA	-0.047	NA
CNAG_01624	0.844	0.691	0.799	0.835	0.739	0.677	0.735	0.834	-0.153	-0.008	-0.063	0.095
CNAG_01625	0.902	0.766	0.785	NA	0.86	0.714	0.691	NA	-0.137	NA	-0.146	NA
CNAG_01626	0.73	0.861	0.84	NA	0.766	0.744	0.802	NA	0.13	NA	-0.022	NA
CNAG_01627	0.845	0.953	0.846	NA	0.828	0.885	0.78	NA	0.108	NA	0.057	NA
CNAG_01628	0.978	0.844	NA	0.77	0.953	0.771	NA	0.774	-0.134	-0.207	-0.182	-0.179
CNAG_01629	0.975	0.92	0.84	0.757	0.936	0.9	0.8	0.666	-0.055	-0.219	-0.035	-0.269
CNAG_01630	0.929	0.856	0.907	NA	0.909	0.807	0.801	NA	-0.073	NA	-0.102	NA
CNAG_01631	0.878	0.868	0.821	0.907	0.787	0.848	0.756	0.905	-0.01	0.029	0.061	0.118
CNAG_01632	0.75	0.835	0.759	NA	0.752	0.821	0.735	NA	0.085	NA	0.069	NA
CNAG_01633	0.99	0.841	0.944	0.8	0.984	0.811	0.848	0.766	-0.15	-0.19	-0.173	-0.218
CNAG_01634	0.89	0.785	0.803	NA	0.882	0.79	0.776	NA	-0.104	NA	-0.092	NA
CNAG_01635	0.772	0.761	0.747	0.813	0.788	0.693	0.697	0.828	-0.012	0.041	-0.095	0.04
CNAG_01636	0.966	0.741	0.953	NA	0.935	0.748	0.887	NA	-0.225	NA	-0.187	NA
CNAG_01637	0.92	0.807	0.776	0.808	0.931	0.756	0.714	0.777	-0.114	-0.113	-0.175	-0.155
CNAG_01638	0.929	0.789	0.786	0.882	0.907	0.78	0.749	0.81	-0.14	-0.047	-0.127	-0.097
CNAG_01639	0.85	0.783	0.883	NA	0.819	0.777	0.784	NA	-0.067	NA	-0.041	NA
CNAG_01640	0.902	0.858	0.907	0.813	0.844	0.816	0.872	0.809	-0.044	-0.089	-0.028	-0.035
CNAG_01641	1	0.757	0.864	NA	0.965	0.704	0.816	NA	-0.243	NA	-0.261	NA
CNAG_01642	0.907	0.861	0.847	0.818	0.86	0.829	0.866	0.803	-0.046	-0.088	-0.031	-0.057
CNAG_01643	0.898	0.88	0.665	0.92	0.835	0.84	0.635	0.84	-0.018	0.022	0.005	0.006
CNAG_01644	0.966	0.968	0.847	NA	0.901	0.916	0.787	NA	0.002	NA	0.015	NA
CNAG_01645	0.873	0.99	0.849	0.757	0.873	0.96	0.808	0.751	0.118	-0.116	0.087	-0.122
CNAG_01646	0.813	0.874	0.858	0.759	0.785	0.819	0.824	0.761	0.06	-0.054	0.033	-0.024
CNAG_01647	0.966	0.897	0.944	NA	0.936	0.849	0.87	NA	-0.069	NA	-0.087	NA
CNAG_01648	0.92	0.721	NA	0.785	0.901	0.699	NA	0.758	-0.199	-0.135	-0.202	-0.143
CNAG_01649	0.838	0.854	0.811	0.753	0.796	0.84	0.779	0.718	0.016	-0.085	0.044	-0.078
CNAG_01650	0.857	0.895	0.919	NA	0.843	0.878	0.862	NA	0.038	NA	0.035	NA
CNAG_01651	0.857	0.896	0.906	0.861	0.832	0.86	0.844	0.791	0.039	0.004	0.029	-0.041
CNAG_01652	0.836	0.636	0.788	NA	0.79	0.624	0.749	NA	-0.2	NA	-0.165	NA
CNAG_01653	0.847	0.84	0.704	NA	0.828	0.83	0.719	NA	-0.008	NA	0.002	NA
CNAG_01654	0.922	0.662	0.765	NA	0.91	0.666	0.734	NA	-0.26	NA	-0.244	NA
CNAG_01655	1	0.809	0.907	NA	0.976	0.818	0.846	NA	-0.191	NA	-0.158	NA
CNAG_01656	0.825	0.757	0.904	NA	0.802	0.77	0.829	NA	-0.068	NA	-0.033	NA
CNAG_01657	0.858	0.844	0.92	NA	0.764	0.862	0.898	NA	-0.015	NA	0.098	NA
CNAG_01658	0.819	0.659	0.836	NA	0.802	0.63	0.81	NA	-0.159	NA	-0.172	NA
CNAG_01659	0.968	0.783	0.772	NA	0.916	0.757	0.727	NA	-0.186	NA	-0.16	NA
CNAG_01660	0.895	0.776	0.757	NA	0.788	0.736	0.694	NA	-0.119	NA	-0.052	NA
CNAG_01663	0.883	0.757	0.821	0.741	0.857	0.684	0.821	0.743	-0.126	-0.142	-0.174	-0.114
CNAG_01664	0.966	0.785	0.854	NA	0.955	0.73	0.78	NA	-0.181	NA	-0.225	NA
CNAG_01665	0.873	0.818	0.99	NA	0.833	0.814	0.869	NA	-0.054	NA	-0.019	NA
CNAG_01666	0.873	0.88	0.762	NA	0.857	0.803	0.758	NA	0.008	NA	-0.054	NA
CNAG_01667	0.835	0.99	0.968	NA	0.826	0.93	0.917	NA	0.155	NA	0.104	NA
CNAG_01668	0.874	0.728	0.849	0.786	0.839	0.69	0.756	0.766	-0.146	-0.088	-0.149	-0.073
CNAG_01669	0.966	0.975	0.739	NA	0.923	0.855	0.653	NA	0.01	NA	-0.068	NA
CNAG_01670	0.966	0.75	0.77	0.783	0.935	0.679	0.757	0.716	-0.216	-0.183	-0.256	-0.219
CNAG_01671	0.733	0.809	0.675	0.953	0.71	0.803	0.664	0.89	0.076	0.22	0.093	0.18
CNAG_01672	0.794	0.845	0.715	0.856	0.778	0.793	0.617	0.814	0.051	0.062	0.015	0.036
CNAG_01673	0.753	0.897	0.854	NA	0.766	0.815	0.825	NA	0.145	NA	0.049	NA
CNAG_01674	0.904	0.77	0.809	0.792	0.869	0.803	0.749	0.773	-0.135	-0.112	-0.065	-0.095
CNAG_01675	0.662	0.844	0.828	NA	0.646	0.827	0.779	NA	0.182	NA	0.181	NA
CNAG_01676	0.816	0.845	0.89	0.728	0.834	0.794	0.845	0.691	0.029	-0.088	-0.04	-0.143
CNAG_01677	0.724	0.99	0.856	NA	0.712	0.959	0.854	NA	0.267	NA	0.246	NA
CNAG_01678	0.929	0.809	0.752	0.704	0.907	0.775	0.764	0.669	-0.12	-0.225	-0.132	-0.237
CNAG_01679	0.99	0.819	0.868	NA	0.918	0.748	0.821	NA	-0.172	NA	-0.17	NA
CNAG_01680	0.902	0.724	0.739	NA	0.891	0.716	0.705	NA	-0.179	NA	-0.176	NA
CNAG_01681	0.975	0.701	0.874	NA	0.916	0.7	0.8	NA	-0.274	NA	-0.217	NA
CNAG_01682	1	0.819	0.978	NA	0.957	0.732	0.898	NA	-0.181	NA	-0.224	NA
CNAG_01683	1	0.739	0.805	NA	0.953	0.75	0.737	NA	-0.261	NA	-0.202	NA
CNAG_01686	0.809	0.841	0.847	0.922	0.811	0.829	0.829	0.896	0.032	0.113	0.018	0.085
CNAG_01687	0.874	0.662	0.812	NA	0.876	0.686	0.764	NA	-0.212	NA	-0.191	NA
CNAG_01688	0.922	0.89	0.776	NA	0.886	0.841	0.729	NA	-0.033	NA	-0.044	NA
CNAG_01689	0.89	0.938	0.868	0.725	0.804	0.855	0.84	0.749	0.049	-0.164	0.051	-0.055
CNAG_01690	0.801	0.763	0.922	0.817	0.758	0.748	0.878	0.816	-0.038	0.016	-0.01	0.058
CNAG_01691	0.966	0.774	0.785	NA	0.952	0.746	0.81	NA	-0.192	NA	-0.205	NA
CNAG_01692	0.966	0.831	0.688	0.975	0.919	0.791	0.591	0.892	-0.135	0.01	-0.128	-0.027
CNAG_01693	0.831	0.789	0.783	0.819	0.829	0.8	0.793	0.756	-0.043	-0.013	-0.029	-0.073
CNAG_01694	0.854	0.851	0.861	NA	0.789	0.832	0.859	NA	-0.003	NA	0.043	NA
CNAG_01695	0.978	0.809	0.795	0.766	0.916	0.745	0.756	0.768	-0.169	-0.212	-0.171	-0.148
CNAG_01696	0.99	0.874	0.801	NA	0.933	0.827	0.778	NA	-0.117	NA	-0.106	NA
CNAG_01697	0.847	0.873	0.75	0.772	0.793	0.779	0.757	0.72	0.026	-0.075	-0.014	-0.073
CNAG_01698	0.856	0.856	0.818	NA	0.837	0.845	0.777	NA	0	NA	0.008	NA
CNAG_01699	0.858	0.966	0.844	0.84	0.793	0.946	0.841	0.802	0.108	-0.019	0.153	0.009
CNAG_01701	0.831	0.841	0.817	0.8	0.812	0.835	0.768	0.763	0.009	-0.031	0.024	-0.048
CNAG_01702	0.92	0.636	0.893	0.845	0.865	0.599	0.844	0.752	-0.285	-0.075	-0.267	-0.113
CNAG_01703	0.904	0.817	0.776	0.883	0.849	0.782	0.67	0.746	-0.087	-0.021	-0.067	-0.103
CNAG_01704	0.911	0.785	0.807	NA	0.883	0.76	0.751	NA	-0.125	NA	-0.123	NA
CNAG_01706	0.938	0.88	0.826	NA	0.862	0.898	0.759	NA	-0.058	NA	0.035	NA
CNAG_01707	0.904	0.818	0.919	NA	0.742	0.836	0.861	NA	-0.086	NA	0.094	NA
CNAG_01708	0.786	0.741	0.865	NA	0.737	0.72	0.814	NA	-0.045	NA	-0.017	NA
CNAG_01709	1	0.867	0.938	0.738	0.939	0.858	0.863	0.719	-0.133	-0.262	-0.081	-0.221
CNAG_01710	0.841	0.733	0.929	NA	0.782	0.767	0.903	NA	-0.108	NA	-0.015	NA
CNAG_01711	1	0.871	0.794	0.873	0.983	0.8	0.772	0.849	-0.129	-0.127	-0.184	-0.134
CNAG_01712	0.811	0.858	0.846	NA	0.811	0.8	0.817	NA	0.047	NA	-0.011	NA
CNAG_01713	0.89	0.905	0.907	0.89	0.855	0.845	0.86	0.857	0.016	0	-0.009	0.003
CNAG_01714	0.938	0.88	0.819	NA	0.866	0.81	0.744	NA	-0.058	NA	-0.056	NA
CNAG_01715	0.858	0.916	0.868	NA	0.827	0.839	0.808	NA	0.058	NA	0.012	NA
CNAG_01716	0.825	0.841	0.809	NA	0.805	0.796	0.789	NA	0.016	NA	-0.009	NA
CNAG_01717	0.966	0.797	0.902	NA	0.87	0.783	0.868	NA	-0.169	NA	-0.086	NA
CNAG_01718	0.856	0.808	0.821	NA	0.844	0.811	0.803	NA	-0.048	NA	-0.033	NA
CNAG_01719	0.743	0.847	0.803	0.85	0.62	0.856	0.758	0.833	0.104	0.107	0.236	0.213
CNAG_01720	0.834	0.868	0.825	NA	0.784	0.858	0.722	NA	0.034	NA	0.074	NA
CNAG_01721	0.873	0.864	0.759	NA	0.852	0.832	0.754	NA	-0.008	NA	-0.02	NA
CNAG_01722	0.858	0.88	0.817	0.823	0.8	0.798	0.724	0.791	0.022	-0.035	-0.002	-0.009
CNAG_01723	0.966	0.845	0.854	NA	0.919	0.827	0.771	NA	-0.121	NA	-0.092	NA
CNAG_01725	0.818	0.929	0.767	0.801	0.814	0.91	0.736	0.775	0.11	-0.017	0.096	-0.039
CNAG_01726	1	0.803	0.809	NA	0.92	0.738	0.762	NA	-0.197	NA	-0.181	NA
CNAG_01727	1	1	0.895	NA	0.978	0.842	0.837	NA	0	NA	-0.136	NA
CNAG_01728	0.878	0.883	0.743	0.747	0.855	0.791	0.701	0.691	0.005	-0.131	-0.064	-0.164
