# scores_kozak_unusual_mito_cc.txt
# Scores of ATG context against Kozak and unusual tRS seq, and mito predictions
# Conserved in H99 and JEC21
#
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# aATG.scorekw.xx: score of annotated ATG against wide Kozak sequence (NNNNNNNNNNATG), strain xx
# d1.scorekw.xx: score of 1st downstream ATG against wide Kozak sequence, strain xx
# u1.scorekw.xx: score of 1st upstream ATG in 5' UTR against wide Kozak sequence, strain xx
# aATG.scoreUw.xx: score of annotated ATG against wide Unusual tRNA Synthetase sequence (NNNNATG), strain xx
# aATG.scoreUw.xx: score of annotated ATG against wide Unusual tRNA Synthetase sequence (NNNNATG), strain xx
# Prob_mito.xx: Probability of mitochondrial presequence from mitofates, strain xx
# Pred_mito.xx: Prediction from mitofates, strain xx
#
# Edward Wallace, Jan 2019
H99	JEC21	aATG.scorekw.H99	d1.scorekw.H99	u1.scorekw.H99	aATG.scorekw.JEC21	d1.scorekw.JEC21	u1.scorekw.JEC21	aATG.scoreUw.H99	aATG.scoreUw.JEC21	Prob_mito.H99	Pred_mito.H99	Prob_mito.JEC21	Pred_mito.JEC21
CNAG_03382	CNG02020	0.814	0.935	NA	0.819	0.672	0.765	0.558	0.589	0	No	0.004	No
CNAG_02334	CNE02135	0.838	0.744	0.775	0.807	0.733	0.786	0.703	0.672	0.007	No	0	No
CNAG_06874	CNE05330	0.778	0.76	0.717	0.773	0.753	0.707	0.585	0.585	0.013	No	0.013	No
CNAG_05284	CNH03450	0.926	0.703	NA	0.823	0.773	0.861	0.671	0.683	0.065	No	0.066	No
CNAG_03882	CNB03720	0.885	0.729	0.803	0.847	0.856	0.816	0.575	0.558	0	No	0	No
CNAG_00693	CNA06710	0.848	0.969	NA	0.817	0.968	0.737	0.579	0.591	0	No	0	No
CNAG_01562	CNC00760	0.953	0.7	NA	0.964	0.663	0.867	0.64	0.609	0	No	0	No
CNAG_00377	CNA03600	0.896	0.689	NA	0.892	0.68	NA	0.697	0.697	0	No	0	No
CNAG_05468	CNH01280	0.755	0.863	NA	0.711	0.883	NA	0.756	0.725	0.992	Yes	0.981	Yes
CNAG_03249	CNG03240	0.873	0.886	NA	0.889	0.86	NA	0.721	0.721	0	No	0	No
CNAG_02842	CNC04580	0.837	0.823	NA	0.974	0.727	NA	0.595	0.638	0.507	Yes	0.98	Yes
CNAG_00904	CND00440	0.866	0.85	NA	0.871	0.807	0.84	0.758	0.723	0	No	0	No
CNAG_06775	CNB00240	0.805	0.831	NA	0.829	0.824	NA	0.629	0.629	0.836	Yes	0.878	Yes
CNAG_07968	CNC00705	0.775	0.851	NA	0.757	0.864	NA	0.714	0.694	0.057	No	0.055	No
CNAG_04230	CNI03710	0.916	0.771	NA	0.884	0.867	0.66	0.585	0.709	0	No	0	No
CNAG_00666	CNA06440	0.839	0.928	NA	0.805	0.932	NA	0.546	0.659	0.009	No	0.01	No
CNAG_01324	CND04440	0.81	0.778	0.837	0.819	0.744	0.777	0.607	0.607	0	No	0	No
CNAG_00163	CNA01510	0.813	0.869	0.735	0.769	0.775	NA	0.617	0.709	0.055	No	0.013	No
CNAG_04484	CNI00720	0.948	0.702	0.733	0.952	0.713	0.756	0.74	0.74	0.097	No	0.093	No
CNAG_00554	CNA05370	0.918	0.842	NA	0.867	0.725	NA	0.641	0.634	0	No	0	No
CNAG_01948	CNK02870	0.827	0.854	0.765	0.871	0.876	0.792	0.58	0.599	0.009	No	0.004	No
CNAG_02188	CNE03490	0.803	0.839	NA	0.81	0.841	0.726	0.846	0.834	0	No	0.003	No
CNAG_01064	CND01950	0.892	0.712	0.709	0.884	0.723	0.753	0.546	0.546	0	No	0	No
CNAG_00832	CNA08110	0.977	0.789	0.785	0.901	0.787	0.824	0.669	0.736	0	No	0	No
CNAG_06112	CNM01170	0.889	0.835	0.741	0.896	0.861	NA	0.709	0.657	0.999	Yes	0.999	Yes
CNAG_04236	CNI03770	0.871	0.772	NA	0.884	0.769	NA	0.717	0.717	0	No	0	No
CNAG_00233	CNA02230	0.896	0.79	0.71	0.923	0.772	0.721	0.553	0.645	0.063	No	0.063	No
CNAG_00892	CND00310	0.885	0.799	0.861	0.891	0.822	0.775	0.534	0.534	0	No	0	No
CNAG_02037	CNE04980	0.915	0.849	NA	0.929	0.781	NA	0.536	0.628	0.573	Yes	0.684	Yes
CNAG_00266	CNA02555	0.822	0.717	0.678	0.766	0.776	NA	0.617	0.716	0	No	0	No
CNAG_06790	CNB00110	0.641	0.798	0.748	0.609	0.796	0.698	0.803	0.812	0	No	0	No
CNAG_00796	CNA07730	0.755	0.756	NA	0.819	0.774	NA	0.63	0.577	0	No	0	No
CNAG_01258	CND03750	0.696	0.757	NA	0.708	0.827	NA	0.676	0.676	0.007	No	0.013	No
CNAG_07847	CNJ02365	0.934	0.777	0.79	0.876	0.914	0.752	0.578	0.724	0.011	No	0.075	No
CNAG_01037	CND01680	0.849	0.711	0.861	0.843	0.723	0.859	0.557	0.557	0.004	No	0.015	No
CNAG_00783	CNA07605	0.887	0.868	0.872	0.939	0.767	0.634	0.524	0.604	0	No	0	No
CNAG_02738	CNC03630	0.842	0.781	0.78	0.798	0.775	0.787	0.525	0.648	0	No	0	No
CNAG_06431	CNN01550	0.946	0.739	0.774	0.951	0.813	0.673	0.677	0.677	1	Yes	1	Yes
CNAG_05925	CNF00500	0.945	0.803	NA	0.95	0.762	NA	0.553	0.636	0	No	0	No
CNAG_02973	CNC05820	0.849	0.887	NA	0.837	0.814	NA	0.625	0.625	0.126	No	0.211	No
CNAG_02564	CNK00570	0.877	0.87	NA	0.847	0.821	NA	0.767	0.816	0	No	0	No
CNAG_04523	CNI00320	0.967	0.802	0.841	0.834	0.752	0.762	0.617	0.553	0	No	0	No
CNAG_04467	CNI00900	0.923	0.741	0.68	0.952	0.732	0.709	0.665	0.653	0	No	0	No
CNAG_06699	CNF03160	0.921	0.785	NA	0.914	0.81	NA	0.665	0.665	0.011	No	0.012	No
CNAG_04888	CNJ03140	0.878	0.792	0.738	0.843	0.803	0.826	0.783	0.644	0.255	No	0.424	Yes
CNAG_00641	CNA06210	0.727	0.776	0.736	0.739	0.76	0.731	0.62	0.592	0	No	0	No
CNAG_00841	CNA08180	0.806	0.853	NA	0.86	0.919	NA	0.577	0.681	0	No	0.014	No
CNAG_06065	CNM00740	0.883	0.803	NA	0.861	0.754	NA	0.709	0.834	0.042	No	0.033	No
CNAG_00847	CNA08240	0.832	0.724	NA	0.806	0.744	NA	0.474	0.598	0	No	0	No
CNAG_04407	CNI01410	0.819	0.829	NA	0.811	0.824	NA	0.728	0.629	0	No	0	No
CNAG_04022	CNB05040	0.868	0.8	NA	0.87	0.804	NA	0.767	0.736	0	No	0	No
CNAG_04261	CNI03990	0.897	0.856	NA	0.9	0.853	NA	0.648	0.648	0	No	0	No
CNAG_03510	CNG00830	0.918	0.9	NA	0.91	0.842	0.774	0.423	0.475	0.032	No	0.009	No
CNAG_03974	CNB04620	0.903	0.7	0.749	0.956	0.738	NA	0.524	0.524	0.046	No	0.052	No
CNAG_00154	CNA01420	0.883	0.815	0.667	0.887	0.814	0.867	0.702	0.76	0.01	No	0.021	No
CNAG_01108	CND02340	0.857	0.825	NA	0.865	0.832	0.723	0.648	0.767	0	No	0	No
CNAG_03299	CNG02780	0.912	0.896	NA	0.91	0.847	NA	0.641	0.641	0.003	No	0.003	No
CNAG_04074	CNB05570	0.869	0.765	0.835	0.869	0.82	0.725	0.627	0.674	0.007	No	0.007	No
CNAG_03785	CNB02790	0.919	0.9	NA	0.961	0.911	NA	0.689	0.597	0	No	0	No
CNAG_05402	CNH00710	0.83	0.75	NA	0.834	0.72	NA	0.752	0.721	0	No	0	No
CNAG_04853	CNJ02765	0.883	0.798	0.886	0.794	0.793	0.791	0.636	0.657	0	No	0.003	No
CNAG_04938	CNL06780	0.817	0.916	NA	0.915	0.916	0.606	0.799	0.607	0.003	No	0	No
CNAG_03064	CNC00240	0.96	0.806	NA	0.958	0.789	NA	0.721	0.721	0.034	No	0.027	No
CNAG_05737	CNF02390	0.897	0.714	0.729	0.901	0.735	0.697	0.735	0.704	0	No	0	No
CNAG_03318	CNG02600	0.792	0.674	NA	0.856	0.682	NA	0.88	0.792	0.006	No	0.015	No
CNAG_02793	CNC04120	0.825	0.8	NA	0.88	0.819	0.691	0.767	0.761	0.003	No	0.003	No
CNAG_03954	CNB04420	0.768	0.832	0.719	0.82	0.81	0.802	0.65	0.629	0	No	0	No
CNAG_02398	CNE01570	0.789	0.859	0.877	0.825	0.857	0.861	0.651	0.793	0.007	No	0.014	No
CNAG_06610	CNF04090	0.821	0.799	NA	0.814	0.802	0.783	0.66	0.66	0	No	0	No
CNAG_06692	CNF03220	0.803	0.864	0.786	0.812	0.78	NA	0.693	0.693	0	No	0	No
CNAG_06004	CNM00130	0.934	0.935	0.782	0.747	0.878	0.934	0.558	0.521	0	No	0	No
CNAG_03103	CNG04610	0.926	0.819	NA	0.933	0.825	NA	0.767	0.683	0.006	No	0.006	No
CNAG_06795	CNB00065	0.962	0.754	NA	0.84	0.716	NA	0.546	0.717	0	No	0	No
CNAG_03303	CNG02740	0.972	0.812	0.645	0.97	0.814	0.648	0.573	0.573	0.02	No	0.02	No
CNAG_04943	CNL06730	0.864	0.888	NA	0.863	0.777	NA	0.69	0.69	0	No	0	No
CNAG_01642	CNC01550	0.86	0.829	0.803	0.843	0.811	0.839	0.521	0.454	0	No	0	No
CNAG_04206	CNI03450	0.807	0.787	0.792	0.928	0.857	0.714	0.781	0.665	0.005	No	0.02	No
CNAG_00867	CND00070	0.797	0.763	0.827	0.66	0.744	0.79	0.565	0.77	0	No	0	No
CNAG_00352	CNA03520	0.842	0.855	NA	0.838	0.809	NA	0.712	0.712	0	No	0	No
CNAG_03684	CNB01820	0.818	0.737	NA	0.817	0.741	NA	0.644	0.644	0.755	Yes	0.831	Yes
CNAG_04412	CNI01360	0.815	0.771	NA	0.876	0.773	NA	0.709	0.709	0	No	0	No
CNAG_02584	CNK00750	0.835	0.838	NA	0.801	0.857	NA	0.651	0.663	0	No	0	No
CNAG_01443	CND05570	0.866	0.797	NA	0.859	0.833	NA	0.801	0.801	0.974	Yes	0.993	Yes
CNAG_00509	CNA04920	0.939	0.816	NA	0.899	0.818	NA	0.8	0.809	0	No	0	No
CNAG_06467	CNN01875	0.842	0.803	NA	0.839	0.761	0.709	0.679	0.65	0.071	No	0.007	No
CNAG_03875	CNB03650	0.872	0.823	NA	0.904	0.837	0.703	0.632	0.577	0	No	0	No
CNAG_02681	CNK01690	0.905	0.82	0.836	0.906	0.856	0.759	0.728	0.728	0	No	0.003	No
CNAG_02838	CNC04540	0.755	0.797	NA	0.779	0.795	NA	0.607	0.576	0.151	No	0.141	No
CNAG_04671	CNJ01050	0.814	0.778	NA	0.815	0.839	NA	0.625	0.579	0	No	0	No
CNAG_01745	CNC02480	0.871	0.767	0.788	0.824	0.741	0.821	0.598	0.515	0	No	0	No
CNAG_07560	CNK01060	0.896	0.849	NA	0.891	0.803	NA	0.565	0.565	0	No	0	No
CNAG_01316	CND04360	0.886	0.687	NA	0.895	0.731	0.797	0.758	0.758	0	No	0	No
CNAG_00555	CNA05380	0.783	0.762	0.871	0.77	0.762	NA	0.713	0.877	0	No	0.003	No
CNAG_07028	CNA02100	0.814	0.622	NA	0.838	0.659	0.798	0.706	0.718	0.061	No	0.061	No
CNAG_00044	CNA00330	0.888	0.752	NA	0.832	0.79	NA	0.708	0.687	0.007	No	0.007	No
CNAG_00633	CNA06130	0.871	0.765	NA	0.873	0.792	NA	0.669	0.669	0.005	No	0.107	No
CNAG_00246	CNA02360	0.883	0.842	NA	0.857	0.862	0.748	0.759	0.748	0.025	No	0.006	No
CNAG_03452	CNG01350	0.715	0.822	0.776	0.753	0.844	0.72	0.683	0.652	0.236	No	0.288	No
CNAG_06487	CNN02110	0.808	0.74	NA	0.818	0.786	NA	0.789	0.789	0.047	No	0.006	No
CNAG_04880	CNJ03095	0.852	0.702	0.841	0.863	0.662	0.759	0.423	0.607	0.031	No	0.021	No
CNAG_04771	CNJ02000	0.917	0.843	0.686	0.838	0.779	0.917	0.622	0.447	0.058	No	0	No
CNAG_03373	CNG02095	0.885	0.754	NA	0.946	0.768	NA	0.473	0.462	0	No	0	No
CNAG_02522	CNE00440	0.951	0.768	NA	0.946	0.787	NA	0.493	0.613	0	No	0	No
CNAG_03104	CNG04600	0.902	0.813	0.723	0.87	0.814	NA	0.528	0.665	0	No	0	No
CNAG_00068	CNA00590	0.901	0.797	NA	0.897	0.68	NA	0.533	0.533	0	No	0	No
CNAG_01626	CNC01390	0.766	0.744	NA	0.751	0.741	NA	0.82	0.801	0	No	0	No
CNAG_02422	CNE01350	0.881	0.948	0.72	0.873	0.853	0.768	0.705	0.705	0	No	0	No
CNAG_04717	CNJ01480	0.701	0.797	0.815	0.693	0.821	0.92	0.586	0.647	0	No	0	No
CNAG_06751	CNB00520	0.61	0.899	0.802	0.594	0.882	0.806	0.631	0.631	0	No	0	No
CNAG_01925	CNK02660	0.872	0.659	NA	0.887	0.826	NA	0.747	0.585	0	No	0	No
CNAG_04136	CNI02750	0.963	0.801	0.947	0.971	0.836	NA	0.413	0.413	0.006	No	0.005	No
CNAG_03627	CNB01290	0.969	0.83	NA	0.971	0.845	NA	0.721	0.721	0	No	0	No
CNAG_06986	CNE05180	0.864	0.852	0.839	0.788	0.905	0.759	0.587	0.722	0.017	No	0.018	No
CNAG_00490	CNA04700	0.816	0.758	0.662	0.812	0.761	NA	0.688	0.688	0.043	No	0.053	No
CNAG_07694	CNF00320	0.796	0.856	NA	0.78	0.855	0.771	0.705	0.613	0	No	0	No
CNAG_00749	CNA07280	0.954	0.817	0.833	0.885	0.82	NA	0.466	0.518	0	No	0	No
CNAG_02001	CNK03360	0.831	0.802	NA	0.861	0.791	0.732	0.629	0.641	0.05	No	0.446	Yes
CNAG_06899	CNK00290	0.832	0.911	NA	0.837	0.841	0.736	0.678	0.678	0	No	0	No
CNAG_00675	CNA06530	0.782	0.865	0.758	0.748	0.855	0.837	0.757	0.708	0	No	0	No
CNAG_01104	CND02300	0.822	0.669	NA	0.816	0.667	NA	0.533	0.533	0.007	No	0	No
CNAG_07593	CNC01310	0.775	0.807	NA	0.773	0.819	NA	0.728	0.728	0	No	0	No
CNAG_02213	CNE03280	0.96	0.776	NA	0.926	0.775	NA	0.61	0.598	0.659	Yes	0.653	Yes
CNAG_02891	CNC05040	0.895	0.801	NA	0.815	0.814	NA	0.759	0.74	0.998	Yes	0.998	Yes
CNAG_05274	CNH03560	0.972	0.84	NA	0.927	0.846	NA	0.669	0.647	0	No	0	No
CNAG_00419	CNA04063	0.849	0.852	0.662	0.771	0.75	0.844	0.697	0.466	0.862	Yes	0.35	No
CNAG_02987	CNC05955	0.886	0.795	0.732	0.92	0.74	0.98	0.528	0.592	0	No	0	No
CNAG_00926	CND00660	0.932	0.663	NA	0.931	0.916	NA	0.586	0.586	0	No	0	No
CNAG_04296	CNI02530	0.805	0.773	NA	0.864	0.779	NA	0.631	0.65	0	No	0	No
CNAG_05381	CNH00990	0.819	0.775	0.837	0.867	0.804	0.81	0.663	0.656	0	No	0	No
CNAG_05620	CNH02610	0.835	0.792	NA	0.847	0.79	NA	0.721	0.721	0.39	Yes	0.011	No
CNAG_05695	CNF02770	0.822	0.813	NA	0.836	0.83	NA	0.749	0.749	0	No	0	No
CNAG_06376	CNN01020	0.814	0.837	NA	0.782	0.83	NA	0.702	0.702	0	No	0.004	No
CNAG_05030	CNL05865	0.916	0.792	0.714	0.923	0.788	0.753	0.595	0.595	0.003	No	0	No
CNAG_01723	CNC02270	0.919	0.827	NA	0.911	0.917	NA	0.745	0.764	0.004	No	0.007	No
CNAG_07880	CNH01350	NA	NA	NA	0.799	0.725	NA	NA	0.66	NA	NA	0	No
CNAG_04595	CNJ00340	0.904	0.733	0.731	0.904	0.738	0.669	0.7	0.577	0	No	0	No
CNAG_02857	CNC04740	0.894	0.902	NA	0.889	0.924	0.729	0.585	0.585	0.005	No	0.004	No
CNAG_06100	CNM01070	0.754	0.841	0.826	0.662	0.864	0.786	0.691	0.697	0	No	0	No
CNAG_04097	CNB05760	0.941	0.768	0.797	0.941	0.874	0.751	0.671	0.671	0.004	No	0	No
CNAG_01267	CND03870	0.788	0.785	0.821	0.854	0.806	0.771	0.628	0.656	0.011	No	0.013	No
CNAG_07679	CNF01160	0.868	0.756	0.791	0.889	0.783	NA	0.443	0.49	0	No	0	No
CNAG_00364	CNA03390	0.8	0.735	NA	0.779	0.736	0.728	0.755	0.629	0.017	No	0.01	No
CNAG_04303	CNI02470	0.954	0.804	NA	0.93	0.799	NA	0.54	0.5	0.004	No	0.004	No
CNAG_04340	CNI02100	0.877	0.831	NA	0.878	0.918	NA	0.817	0.675	0	No	0	No
CNAG_03728	CNB02260	0.867	0.745	NA	0.852	0.729	0.703	0.792	0.674	0	No	0	No
CNAG_04500	CNI00570	0.821	0.76	NA	0.834	0.776	0.829	0.721	0.714	0	No	0	No
CNAG_04876	CNJ03040	0.9	0.677	NA	0.936	0.673	NA	0.772	0.761	0	No	0	No
CNAG_04997	CNL06170	0.847	0.871	NA	0.907	0.866	NA	0.512	0.512	0.004	No	0	No
CNAG_04329	CNI02200	0.749	0.747	NA	0.777	0.786	NA	0.764	0.783	0	No	0	No
CNAG_05106	CNL05155	0.901	0.716	NA	0.917	0.739	NA	0.733	0.619	0.973	Yes	0.981	Yes
CNAG_01036	CND01670	0.894	0.721	NA	0.901	0.767	NA	0.619	0.539	0.004	No	0	No
CNAG_03390	CNG01950	0.934	0.869	NA	0.9	0.7	NA	0.761	0.788	0.03	No	0.006	No
CNAG_03232	CNG03400	0.934	0.741	NA	0.856	0.844	0.845	0.604	0.681	0	No	0	No
CNAG_01089	CND02160	0.847	0.913	NA	0.87	0.929	NA	0.761	0.761	0.629	Yes	0.604	Yes
CNAG_05416	CNH00830	0.895	0.786	0.881	0.896	0.793	NA	0.595	0.497	0	No	0.007	No
CNAG_01228	CND03475	0.869	0.757	0.83	0.892	0.721	0.72	0.65	0.644	0	No	0	No
CNAG_03857	CNB03470	0.887	0.826	NA	0.941	0.917	NA	0.601	0.594	0	No	0	No
CNAG_01795	CNC02860	0.799	0.769	NA	0.813	0.795	NA	0.709	0.717	0.009	No	0.007	No
CNAG_00756	CNA07350	0.978	0.84	NA	0.966	0.784	NA	0.629	0.656	0.063	No	0.146	No
CNAG_07481	CNB02730	0.885	0.779	0.767	0.896	0.772	0.734	0.533	0.724	0	No	0	No
CNAG_02698	CNK01860	0.877	0.897	NA	0.875	0.899	NA	0.721	0.721	0	No	0	No
CNAG_00840	CNA08170	0.81	0.828	NA	0.783	0.831	NA	0.692	0.692	0.941	Yes	0.813	Yes
CNAG_07936	CNN01220	0.823	0.789	NA	0.83	0.789	NA	0.801	0.801	0.103	No	0.095	No
CNAG_05577	CNH02240	0.808	0.828	0.735	0.803	0.822	NA	0.699	0.699	0	No	0	No
CNAG_03670	CNB01690	0.878	0.834	0.763	0.866	0.801	0.775	0.609	0.661	0	No	0	No
CNAG_04609	CNJ00490	0.926	0.706	NA	0.926	0.714	NA	0.512	0.512	0	No	0	No
CNAG_04050	CNB05340	0.951	0.834	NA	0.944	0.826	NA	0.533	0.533	0.022	No	0.022	No
CNAG_03444	CNG01430	0.86	0.693	NA	0.855	0.742	NA	0.66	0.672	0.005	No	0	No
CNAG_04310	CNI02390	0.841	0.703	0.718	0.793	0.753	0.871	0.622	0.732	0.03	No	0.021	No
CNAG_03241	CNG03320	0.885	0.815	0.722	0.876	0.824	0.803	0.786	0.694	0	No	0	No
CNAG_04541	CNI00130	0.851	0.863	NA	0.792	0.864	NA	0.683	0.714	0	No	0	No
CNAG_00471	CNA04520	0.928	0.701	NA	0.901	0.749	NA	0.656	0.564	0	No	0	No
CNAG_01880	CNK02210	0.866	0.658	NA	0.856	0.803	NA	0.657	0.626	0	No	0	No
CNAG_03233	CNG03390	0.932	0.733	0.834	0.923	0.732	0.845	0.642	0.55	0.146	No	0.148	No
CNAG_03267	CNG03090	0.892	0.84	NA	0.933	0.839	NA	0.473	0.473	0	No	0	No
CNAG_05009	CNL06070	0.854	0.771	NA	0.932	0.793	NA	0.526	0.745	0	No	0	No
CNAG_02924	CNC05330	0.83	0.732	NA	0.852	0.782	NA	0.658	0.75	0.016	No	0.015	No
CNAG_06342	CNN00720	0.911	0.754	NA	0.916	0.686	NA	0.485	0.485	0	No	0	No
CNAG_06685	CNF03310	0.853	0.776	0.846	0.936	0.777	0.835	0.771	0.771	0	No	0	No
CNAG_06627	CNF03910	0.761	0.876	NA	0.845	0.909	NA	0.662	0.65	0.021	No	0.021	No
CNAG_06337	CNN00670	0.899	0.743	0.967	0.849	0.672	NA	0.546	0.78	0	No	0	No
CNAG_04095	CNB05740	0.816	0.829	0.803	0.872	0.85	0.771	0.57	0.629	0.01	No	0.019	No
CNAG_05369	CNH00370	0.851	0.789	0.634	0.841	0.784	NA	0.736	0.69	0	No	0	No
CNAG_07382	CNA07040	0.845	0.757	NA	0.882	0.755	NA	0.616	0.604	0.695	Yes	0.706	Yes
CNAG_03410	CNG01740	0.914	0.661	NA	0.717	0.963	0.83	0.724	0.777	0.043	No	0.016	No
CNAG_02194	CNE03450	0.85	0.865	NA	0.849	0.858	NA	0.774	0.786	0.413	Yes	0.416	Yes
CNAG_01294	CND04140	0.799	0.864	NA	0.794	0.872	0.668	0.705	0.705	0	No	0	No
CNAG_02999	CNC06090	0.777	0.736	0.816	0.756	0.741	0.832	0.651	0.553	0.003	No	0	No
CNAG_01631	CNC01440	0.787	0.848	0.905	0.805	0.908	0.81	0.764	0.622	0.011	No	0	No
CNAG_05462	CNH01240	0.948	0.678	NA	0.957	0.687	NA	0.648	0.648	0.98	Yes	0.992	Yes
CNAG_04180	CNI03170	0.905	0.873	0.704	0.96	0.766	0.866	0.63	0.63	0.991	Yes	0.994	Yes
CNAG_00510	CNA04930	0.934	0.792	NA	0.941	0.747	NA	0.524	0.524	0.007	No	0.003	No
CNAG_00651	CNA06310	0.884	0.743	0.771	0.856	0.802	0.685	0.696	0.684	0	No	0.031	No
CNAG_01497	CNC06830	0.86	0.845	0.832	0.88	0.831	0.844	0.592	0.65	0.008	No	0	No
CNAG_01001	CND01290	0.739	0.835	0.81	0.816	0.836	0.773	0.773	0.82	0.12	No	0.037	No
CNAG_05033	CNL05840	0.894	0.798	NA	0.855	0.749	NA	0.772	0.781	0.008	No	0.011	No
CNAG_04576	CNJ00170	0.846	0.746	0.8	0.886	0.719	NA	0.814	0.774	0	No	0	No
CNAG_02319	CNE02260	0.919	0.92	NA	0.874	0.96	0.754	0.691	0.691	0	No	0.005	No
CNAG_02383	CNE01660	0.894	0.827	NA	0.945	0.876	0.762	0.613	0.613	0.593	Yes	0.307	No
CNAG_02435	CNE01220	0.772	0.777	NA	0.776	0.716	NA	0.681	0.681	0	No	0	No
CNAG_01654	CNC01670	0.91	0.666	NA	0.766	0.64	0.761	0.617	0.67	0.006	No	0	No
CNAG_02980	CNC05890	0.763	0.753	NA	0.772	0.771	NA	0.624	0.619	0.004	No	0.004	No
CNAG_00886	CND00240	0.945	0.779	NA	0.94	0.775	NA	0.486	0.486	0	No	0	No
CNAG_00534	CNA05160	0.94	NA	NA	0.961	NA	NA	0.524	0.642	0.014	No	0.013	No
CNAG_02291	CNE02525	0.871	0.797	0.771	0.872	0.803	NA	0.798	0.679	0.069	No	0.122	No
CNAG_04867	CNJ02950	0.851	0.827	NA	0.853	0.819	NA	0.573	0.573	0.003	No	0.003	No
CNAG_05810	CNF01690	0.891	0.861	NA	0.962	0.797	NA	0.61	0.558	0.013	No	0.018	No
CNAG_00992	CND01200	0.958	0.781	0.691	0.959	0.766	0.7	0.592	0.592	0	No	0	No
CNAG_06241	CNM02420	0.852	0.793	0.748	0.908	0.687	0.602	0.581	0.616	0.068	No	0.011	No
CNAG_07745	CNG00600	0.719	0.793	NA	0.709	0.794	NA	0.726	0.726	0.589	Yes	0.737	Yes
CNAG_02534	CNE00310	0.84	0.711	NA	0.849	0.784	NA	0.656	0.644	0.008	No	0.008	No
CNAG_06166	CNM01670	0.805	0.793	NA	0.802	0.804	NA	0.558	0.558	0	No	0	No
CNAG_05023	CNL05940	0.907	0.748	0.918	0.903	0.688	NA	0.709	0.709	0	No	0	No
CNAG_01276	CND03960	0.841	0.859	NA	0.852	0.903	NA	0.704	0.704	0.003	No	0	No
CNAG_06829	CND06110	0.883	0.728	NA	0.901	0.741	NA	0.481	0.573	0	No	0	No
CNAG_03325	CNG02530	0.881	0.771	NA	0.88	0.81	NA	0.73	0.761	0	No	0	No
CNAG_08026	CNB05780	0.803	0.713	0.755	0.838	0.692	0.669	0.72	0.804	0.056	No	0	No
CNAG_01371	CND04840	0.89	0.907	0.724	0.873	0.91	0.68	0.517	0.641	0.005	No	0.012	No
CNAG_01207	CND03310	0.778	0.775	0.891	0.724	0.761	0.797	0.709	0.622	0	No	0	No
CNAG_01716	CNC02200	0.805	0.796	NA	0.809	0.858	NA	0.629	0.629	0	No	0	No
CNAG_03716	CNB02130	0.879	0.735	0.886	0.925	0.73	0.787	0.626	0.665	0	No	0	No
CNAG_04270	CNI04090	0.851	0.685	NA	0.851	0.704	NA	0.617	0.595	0.032	No	0.017	No
CNAG_02261	CNE02850	0.892	0.882	NA	0.903	0.883	NA	0.545	0.545	0	No	0	No
CNAG_00672	CNA06500	0.976	0.807	NA	0.979	0.803	NA	0.512	0.512	0.082	No	0.082	No
CNAG_06678	CNF03420	0.878	0.802	0.751	0.875	0.755	NA	0.681	0.681	0	No	0	No
CNAG_05718	CNF02560	0.801	0.871	0.751	0.785	0.859	0.743	0.644	0.644	0	No	0	No
CNAG_04796	CNJ02230	0.85	0.737	NA	0.891	0.72	NA	0.648	0.629	0	No	0	No
CNAG_05517	CNH01690	0.837	0.84	NA	0.837	0.774	NA	0.74	0.74	0.028	No	0.024	No
CNAG_02875	CNC04880	0.859	0.688	NA	0.788	0.721	0.649	0.708	0.724	0.019	No	0.017	No
CNAG_06109	CNM01150	0.904	0.695	0.897	0.96	0.701	0.736	0.705	0.665	0	No	0	No
CNAG_03959	CNB04470	0.935	0.936	NA	0.96	0.942	NA	0.644	0.656	0	No	0	No
CNAG_00658	CNA06370	0.791	0.85	NA	0.79	0.8	NA	0.613	0.709	0.008	No	0.006	No
CNAG_03520	CNG00730	0.885	0.896	0.73	0.915	0.899	NA	0.703	0.691	0.006	No	0.007	No
CNAG_06201	CNM02000	0.897	0.837	0.864	0.9	0.648	0.85	0.486	0.486	0.004	No	0.004	No
CNAG_00993	CND01210	0.912	0.794	0.657	0.903	0.8	0.779	0.58	0.58	0.575	Yes	0.735	Yes
CNAG_00086	CNA00760	0.729	0.898	0.711	0.744	0.935	0.884	0.826	0.826	0.541	Yes	0.546	Yes
CNAG_02363	CNE01860	0.772	0.706	0.732	0.764	0.713	0.724	0.719	0.719	0.004	No	0.011	No
CNAG_03769	CNB02660	0.925	0.811	NA	0.879	0.822	NA	0.76	0.767	0	No	0	No
CNAG_05878	CNF00940	0.936	0.748	0.73	0.935	0.75	NA	0.625	0.625	0	No	0	No
CNAG_01127	CND02500	0.793	0.799	NA	0.778	0.717	0.86	0.575	0.613	0.036	No	0	No
CNAG_06711	CNB00920	0.825	0.722	NA	0.834	0.743	NA	0.733	0.721	0	No	0	No
CNAG_02378	CNE01710	0.96	0.759	NA	0.97	0.662	NA	0.578	0.594	0	No	0	No
CNAG_03519	CNH00230	0.875	0.92	NA	0.819	0.739	0.855	0.564	0.58	0.132	No	0	No
CNAG_02598	CNK00840	0.845	0.807	0.765	0.831	0.787	0.798	0.558	0.656	0	No	0.01	No
