# scores_kozak_Nc.txt
# Scores of ATG context against Kozak sequence, N. crassa 
# Kozak sequence derived from 400 highest-translated genes by RPF
#
# Gene: Nc systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
NCU02117	0.974	0.675	0.819	0.96	0.685	0.746	-0.299	-0.155	-0.275	-0.215
NCU02118	0.974	1	0.792	0.916	0.917	0.752	0.026	-0.182	0.002	-0.163
NCU02119	0.866	0.717	0.804	0.744	0.662	NA	-0.15	-0.063	-0.082	NA
NCU02120	0.931	0.898	0.822	0.864	0.788	0.701	-0.033	-0.108	-0.076	-0.163
NCU02121	0.867	0.928	0.778	0.744	0.833	0.761	0.061	-0.089	0.089	0.017
NCU02122	0.853	0.855	0.898	0.757	0.754	0.815	0.002	0.045	-0.003	0.058
NCU02123	0.875	0.825	0.771	0.803	0.73	0.776	-0.05	-0.104	-0.073	-0.027
NCU02124	0.845	1	0.886	0.739	0.989	0.721	0.155	0.041	0.25	-0.018
NCU02125	0.948	0.859	0.931	0.85	0.836	0.791	-0.089	-0.018	-0.014	-0.058
NCU02126	0.871	0.911	NA	0.853	0.888	NA	0.041	NA	0.034	NA
NCU02127	0.652	0.975	NA	0.642	0.928	NA	0.322	NA	0.286	NA
NCU02128	0.948	0.907	NA	0.899	0.74	NA	-0.041	NA	-0.159	NA
NCU02129	0.838	0.802	NA	0.777	0.701	NA	-0.036	NA	-0.076	NA
NCU02130	0.859	0.802	0.765	0.802	0.721	0.725	-0.057	-0.094	-0.08	-0.077
NCU02131	0.903	0.836	0.875	0.802	0.802	0.838	-0.067	-0.028	-0	0.036
NCU02132	0.974	0.845	0.903	0.946	0.724	0.845	-0.129	-0.071	-0.222	-0.101
NCU02133	1	0.828	0.768	0.991	0.759	0.756	-0.172	-0.232	-0.232	-0.235
NCU02134	0.859	0.706	NA	0.859	0.687	NA	-0.153	NA	-0.171	NA
NCU02136	1	0.903	NA	0.945	0.879	NA	-0.097	NA	-0.066	NA
NCU02137	0.822	0.892	0.858	0.732	0.834	0.813	0.07	0.035	0.102	0.081
NCU02138	0.974	0.836	0.892	0.856	0.858	0.775	-0.138	-0.082	0.003	-0.081
NCU02139	0.855	0.664	0.93	0.737	0.639	0.839	-0.19	0.076	-0.099	0.101
NCU02142	0.983	0.824	0.706	0.941	0.835	0.698	-0.159	-0.277	-0.105	-0.243
NCU02143	0.974	0.884	NA	0.879	0.869	NA	-0.09	NA	-0.01	NA
NCU02144	0.992	0.774	NA	0.89	0.665	NA	-0.218	NA	-0.226	NA
NCU02145	0.918	0.793	NA	0.847	0.721	NA	-0.125	NA	-0.126	NA
NCU02146	0.983	0.898	NA	0.911	0.801	NA	-0.085	NA	-0.11	NA
NCU02147	0.925	0.818	NA	0.892	0.761	NA	-0.106	NA	-0.131	NA
NCU02148	1	0.849	0.743	0.967	0.743	0.658	-0.151	-0.257	-0.224	-0.308
NCU02149	0.975	0.773	0.842	0.927	0.748	0.837	-0.202	-0.133	-0.179	-0.09
NCU02150	0.866	0.859	0.931	0.816	0.824	0.821	-0.007	0.064	0.008	0.004
NCU02151	0.931	0.795	0.81	0.848	0.671	0.767	-0.136	-0.121	-0.178	-0.082
NCU02152	0.983	0.717	0.836	0.97	0.719	0.703	-0.266	-0.147	-0.251	-0.267
NCU02153	0.992	0.828	0.832	0.902	0.761	0.72	-0.163	-0.16	-0.141	-0.182
NCU02155	0.832	0.797	NA	0.766	0.687	NA	-0.035	NA	-0.08	NA
NCU02156	0.93	0.729	NA	0.867	0.648	NA	-0.201	NA	-0.219	NA
NCU02157	0.901	0.907	NA	0.797	0.887	NA	0.006	NA	0.09	NA
NCU02158	0.853	0.768	0.778	0.825	0.794	0.676	-0.085	-0.075	-0.031	-0.149
NCU02159	0.992	0.8	NA	0.95	0.692	NA	-0.192	NA	-0.257	NA
NCU02160	0.983	0.876	NA	0.899	0.753	NA	-0.107	NA	-0.146	NA
NCU02161	1	0.716	0.79	0.94	0.674	0.726	-0.284	-0.21	-0.266	-0.214
NCU02162	0.901	0.804	1	0.769	0.778	NA	-0.097	0.099	0.009	NA
NCU02163	0.974	0.838	0.799	0.918	0.717	0.77	-0.137	-0.175	-0.201	-0.147
NCU02164	0.975	0.898	NA	0.843	0.8	NA	-0.077	NA	-0.042	NA
NCU02165	0.848	1	0.751	0.818	0.9	0.724	0.152	-0.097	0.082	-0.094
NCU02167	0.892	0.923	0.805	0.831	0.823	0.72	0.03	-0.087	-0.009	-0.111
NCU02168	0.822	0.816	0.866	0.768	0.731	0.802	-0.007	0.044	-0.036	0.034
NCU02169	0.824	0.928	NA	0.751	0.858	NA	0.104	NA	0.107	NA
NCU02170	0.957	0.859	NA	0.91	0.738	NA	-0.098	NA	-0.173	NA
NCU02171	0.862	0.892	NA	0.808	0.863	NA	0.03	NA	0.055	NA
NCU02172	0.869	0.918	0.829	0.806	0.845	0.759	0.049	-0.04	0.04	-0.047
NCU02173	0.931	0.892	NA	0.856	0.899	NA	-0.038	NA	0.043	NA
NCU02174	0.792	0.784	0.791	0.778	0.781	0.718	-0.008	-0.001	0.003	-0.06
NCU02175	0.939	0.683	0.702	0.871	0.681	0.729	-0.256	-0.237	-0.19	-0.142
NCU02176	1	0.799	0.725	0.891	0.76	NA	-0.201	-0.275	-0.131	NA
NCU02177	0.974	0.854	0.708	0.889	0.764	0.621	-0.121	-0.266	-0.125	-0.269
NCU02178	0.975	0.899	NA	0.914	0.745	NA	-0.076	NA	-0.168	NA
NCU02179	0.827	0.855	0.75	0.74	0.847	0.727	0.027	-0.078	0.107	-0.012
NCU02181	1	0.717	NA	1	0.652	NA	-0.283	NA	-0.348	NA
NCU02182	0.957	0.706	0.898	0.911	0.636	0.781	-0.252	-0.06	-0.274	-0.129
NCU02183	0.797	0.883	NA	0.786	0.792	NA	0.086	NA	0.006	NA
NCU02184	0.824	0.755	0.8	0.747	0.671	0.732	-0.069	-0.025	-0.076	-0.015
NCU02187	0.877	0.793	0.754	0.812	0.75	0.727	-0.084	-0.123	-0.062	-0.085
NCU02188	0.882	0.912	0.899	0.9	0.857	0.81	0.03	0.017	-0.043	-0.09
NCU02189	1	0.807	NA	0.914	0.779	NA	-0.193	NA	-0.135	NA
NCU02190	0.903	0.731	NA	0.869	0.674	NA	-0.172	NA	-0.195	NA
NCU02191	0.844	0.882	0.866	0.819	0.773	0.802	0.038	0.023	-0.046	-0.017
NCU02192	1	0.866	NA	0.832	0.826	NA	-0.134	NA	-0.007	NA
NCU02193	0.94	0.754	0.714	0.798	0.684	0.64	-0.186	-0.226	-0.113	-0.158
NCU02194	0.788	0.838	0.869	0.751	0.768	0.757	0.05	0.081	0.017	0.005
NCU02195	0.898	0.804	NA	0.877	0.71	NA	-0.094	NA	-0.167	NA
NCU02196	0.992	0.771	0.822	0.826	0.671	0.691	-0.221	-0.169	-0.155	-0.135
NCU02197	1	0.793	NA	0.926	0.782	NA	-0.207	NA	-0.144	NA
NCU02198	0.94	0.838	NA	0.902	0.757	NA	-0.102	NA	-0.145	NA
NCU02199	0.948	0.858	NA	0.88	NA	NA	-0.09	NA	NA	NA
NCU02200	0.957	0.889	0.866	0.926	0.8	0.79	-0.068	-0.091	-0.126	-0.136
NCU02201	0.81	0.866	0.717	0.745	0.804	0.635	0.056	-0.094	0.059	-0.11
NCU02202	0.974	0.84	0.948	0.876	0.783	0.86	-0.134	-0.027	-0.093	-0.016
NCU02203	0.896	0.769	0.848	0.836	0.703	0.808	-0.127	-0.048	-0.133	-0.028
NCU02204	0.992	0.805	0.84	0.93	0.748	0.777	-0.186	-0.151	-0.182	-0.153
NCU02205	0.901	0.844	NA	0.849	0.824	NA	-0.057	NA	-0.025	NA
NCU02206	0.94	0.842	NA	0.882	0.787	NA	-0.098	NA	-0.094	NA
NCU02207	0.94	0.825	NA	0.869	0.757	NA	-0.115	NA	-0.112	NA
NCU02208	0.899	0.8	NA	0.831	0.767	NA	-0.099	NA	-0.064	NA
NCU02209	0.974	0.755	NA	0.864	0.688	NA	-0.219	NA	-0.176	NA
NCU02211	0.93	0.841	NA	0.835	0.764	NA	-0.09	NA	-0.071	NA
NCU02212	0.956	0.747	NA	0.92	0.698	NA	-0.209	NA	-0.222	NA
NCU02213	0.931	0.892	0.778	0.85	0.899	0.738	-0.038	-0.153	0.049	-0.112
NCU02214	0.739	0.805	0.831	0.724	0.759	0.79	0.066	0.092	0.035	0.065
NCU02215	0.94	0.838	NA	0.847	0.75	NA	-0.102	NA	-0.097	NA
NCU02216	0.903	0.872	0.875	0.85	0.794	0.827	-0.031	-0.028	-0.056	-0.022
NCU02217	0.974	0.859	NA	0.972	0.791	NA	-0.115	NA	-0.181	NA
NCU02218	0.939	0.717	0.694	0.922	0.661	0.678	-0.222	-0.245	-0.261	-0.243
NCU02219	0.974	0.815	NA	0.907	0.798	NA	-0.16	NA	-0.108	NA
NCU02220	0.992	0.903	NA	0.952	0.828	NA	-0.089	NA	-0.125	NA
NCU02221	0.859	0.868	NA	0.756	0.789	NA	0.009	NA	0.032	NA
NCU02222	0.903	0.824	NA	0.792	0.78	NA	-0.079	NA	-0.011	NA
NCU02223	0.983	0.844	NA	0.927	0.787	NA	-0.139	NA	-0.14	NA
NCU02224	0.92	0.928	0.652	0.797	0.819	0.622	0.008	-0.268	0.022	-0.174
NCU02225	0.832	0.957	0.92	0.741	0.883	0.825	0.126	0.088	0.141	0.084
NCU02226	0.992	0.855	NA	0.91	0.809	NA	-0.137	NA	-0.101	NA
NCU02227	0.913	0.767	0.814	0.889	0.765	0.702	-0.146	-0.1	-0.124	-0.187
NCU02228	0.907	0.792	0.862	0.87	0.741	0.806	-0.116	-0.045	-0.129	-0.065
NCU02229	0.975	0.781	NA	0.972	0.677	NA	-0.194	NA	-0.295	NA
NCU02230	1	0.909	NA	0.92	0.84	NA	-0.091	NA	-0.08	NA
NCU02231	0.925	0.859	NA	0.852	0.843	NA	-0.066	NA	-0.008	NA
NCU02232	0.983	0.845	0.795	0.922	0.776	0.666	-0.138	-0.188	-0.145	-0.256
NCU02233	0.992	0.831	0.641	0.958	0.762	0.575	-0.161	-0.35	-0.196	-0.382
NCU02234	0.821	1	0.906	0.755	0.893	0.867	0.179	0.086	0.138	0.111
NCU02235	0.903	0.903	NA	0.857	0.807	NA	0	NA	-0.05	NA
NCU02236	0.889	0.909	NA	0.824	0.815	NA	0.02	NA	-0.009	NA
NCU02238	0.992	0.689	NA	0.938	0.65	NA	-0.303	NA	-0.288	NA
NCU02239	0.805	0.855	0.797	0.706	0.732	0.799	0.05	-0.008	0.026	0.093
NCU02240	0.974	0.886	0.756	0.898	0.801	0.738	-0.088	-0.218	-0.097	-0.16
NCU02241	0.931	0.923	0.857	0.767	0.833	0.757	-0.008	-0.073	0.066	-0.01
NCU02242	0.822	0.93	0.784	0.711	0.783	0.777	0.108	-0.038	0.072	0.067
NCU02243	0.939	0.992	0.818	0.857	0.897	NA	0.053	-0.121	0.039	NA
NCU02244	0.948	0.702	NA	0.898	0.7	NA	-0.245	NA	-0.198	NA
NCU02245	0.807	0.854	0.691	0.706	0.841	0.601	0.046	-0.116	0.135	-0.105
NCU02246	0.928	0.783	0.957	0.891	0.717	0.842	-0.145	0.029	-0.174	-0.048
NCU02247	0.859	0.745	0.805	0.775	0.696	0.743	-0.114	-0.054	-0.079	-0.032
NCU02248	0.794	0.818	NA	0.693	NA	NA	0.025	NA	NA	NA
NCU02249	0.907	0.828	0.771	0.846	0.824	0.722	-0.079	-0.137	-0.023	-0.124
NCU02250	1	0.889	0.907	0.936	0.826	0.845	-0.111	-0.093	-0.11	-0.09
NCU02251	1	0.752	NA	0.884	0.628	NA	-0.248	NA	-0.256	NA
NCU02252	0.983	0.771	NA	0.879	0.713	NA	-0.212	NA	-0.167	NA
NCU02253	1	0.832	NA	0.865	0.758	NA	-0.168	NA	-0.107	NA
NCU02254	0.956	0.79	0.866	0.903	0.72	0.815	-0.166	-0.09	-0.183	-0.088
NCU02255	0.797	0.8	0.743	0.739	0.736	0.694	0.002	-0.055	-0.004	-0.046
NCU02256	0.925	0.892	0.906	0.888	0.824	NA	-0.032	-0.018	-0.064	NA
NCU02257	0.975	0.801	0.818	0.886	0.798	0.754	-0.173	-0.156	-0.088	-0.132
NCU02258	0.875	0.702	NA	0.778	0.655	NA	-0.173	NA	-0.123	NA
NCU02259	0.829	0.974	NA	0.759	0.886	NA	0.145	NA	0.127	NA
NCU02260	0.974	0.804	0.706	0.969	0.723	0.734	-0.171	-0.269	-0.246	-0.235
NCU02261	0.903	0.868	0.784	0.83	0.85	NA	-0.035	-0.119	0.02	NA
NCU02262	0.886	0.846	NA	0.804	0.785	NA	-0.04	NA	-0.019	NA
NCU02263	0.992	0.825	0.818	0.99	0.786	0.737	-0.166	-0.174	-0.205	-0.254
NCU02264	0.822	0.92	NA	0.724	0.857	NA	0.098	NA	0.133	NA
NCU02265	0.869	0.79	0.702	0.762	0.745	0.618	-0.079	-0.166	-0.017	-0.144
NCU02267	0.975	0.889	0.855	0.929	0.802	0.754	-0.085	-0.12	-0.127	-0.175
NCU02268	0.948	0.793	0.886	0.886	0.724	0.856	-0.155	-0.062	-0.162	-0.03
NCU02269	0.939	0.79	0.702	0.834	0.736	0.66	-0.149	-0.236	-0.098	-0.174
NCU02270	0.975	0.901	0.872	0.907	0.86	0.767	-0.074	-0.102	-0.048	-0.14
NCU02271	0.94	0.755	0.702	0.93	0.676	0.627	-0.185	-0.238	-0.254	-0.303
NCU02272	0.838	0.875	0.802	0.819	0.812	0.754	0.037	-0.036	-0.007	-0.065
NCU02273	0.957	0.792	0.889	0.858	0.767	0.828	-0.166	-0.068	-0.09	-0.029
NCU02274	0.975	0.821	NA	0.964	0.754	NA	-0.154	NA	-0.21	NA
NCU02275	0.869	0.899	NA	0.86	0.797	NA	0.03	NA	-0.062	NA
NCU02276	0.918	0.899	0.828	0.785	0.889	0.76	-0.019	-0.09	0.104	-0.025
NCU02277	0.899	0.702	0.799	0.821	0.63	0.714	-0.196	-0.1	-0.191	-0.107
NCU02278	0.974	0.809	NA	0.921	0.775	NA	-0.166	NA	-0.147	NA
NCU02280	0.974	0.815	0.774	0.965	0.708	0.734	-0.16	-0.201	-0.257	-0.231
NCU02281	1	0.868	0.866	0.846	0.835	0.849	-0.132	-0.134	-0.011	0.003
NCU02282	0.907	0.866	0.797	0.813	0.734	0.74	-0.041	-0.11	-0.079	-0.073
NCU02283	0.892	0.792	0.791	0.877	0.678	0.74	-0.101	-0.102	-0.199	-0.137
NCU02284	0.975	0.911	NA	0.911	0.88	NA	-0.063	NA	-0.031	NA
NCU02285	0.983	0.882	0.784	0.88	0.822	0.678	-0.101	-0.199	-0.058	-0.202
NCU02286	0.815	0.903	0.896	0.819	0.829	NA	0.088	0.081	0.01	NA
NCU02287	0.94	0.771	0.75	0.89	0.738	0.691	-0.169	-0.19	-0.151	-0.199
NCU02289	0.983	0.873	NA	0.881	0.817	NA	-0.11	NA	-0.064	NA
NCU02291	0.745	0.821	NA	0.747	0.718	NA	0.076	NA	-0.029	NA
NCU02292	0.903	0.863	NA	0.889	0.848	NA	-0.04	NA	-0.041	NA
NCU02293	0.983	0.774	0.839	0.864	0.697	0.826	-0.209	-0.144	-0.167	-0.038
NCU02294	0.983	0.773	0.957	0.949	0.739	0.835	-0.21	-0.026	-0.21	-0.114
NCU02295	0.903	0.767	0.728	0.845	0.679	0.671	-0.136	-0.175	-0.165	-0.174
NCU02296	0.939	0.795	0.957	0.879	0.734	0.924	-0.144	0.019	-0.144	0.045
NCU02297	0.822	0.755	0.875	0.684	0.708	0.826	-0.067	0.052	0.023	0.142
NCU02298	0.983	0.892	NA	0.886	NA	NA	-0.091	NA	NA	NA
NCU02299	0.925	0.903	NA	0.939	0.84	NA	-0.021	NA	-0.099	NA
NCU02300	0.93	0.652	NA	0.878	0.613	NA	-0.278	NA	-0.265	NA
NCU02301	0.957	0.93	NA	0.93	0.89	NA	-0.027	NA	-0.04	NA
NCU02302	0.992	0.817	0.702	0.922	0.76	NA	-0.175	-0.289	-0.163	NA
NCU02303	0.901	0.795	NA	0.826	0.812	NA	-0.106	NA	-0.014	NA
NCU02304	0.869	0.889	0.838	0.846	0.805	0.708	0.02	-0.031	-0.041	-0.138
NCU02305	0.948	0.903	0.8	0.863	0.902	0.7	-0.045	-0.148	0.039	-0.163
NCU02306	0.912	0.907	NA	0.855	0.862	NA	-0.004	NA	0.007	NA
NCU02307	0.719	0.899	0.752	0.602	0.796	0.642	0.18	0.033	0.194	0.039
NCU02308	0.866	0.824	NA	0.822	0.708	NA	-0.042	NA	-0.114	NA
NCU02309	0.92	0.816	NA	0.854	0.764	NA	-0.105	NA	-0.089	NA
NCU02310	0.94	0.931	0.72	0.921	0.9	0.678	-0.009	-0.22	-0.021	-0.243
NCU02311	1	0.854	NA	0.933	0.736	NA	-0.146	NA	-0.198	NA
NCU02314	0.892	0.769	NA	0.878	0.766	NA	-0.123	NA	-0.112	NA
NCU02315	0.93	0.886	0.892	0.847	0.812	0.804	-0.044	-0.038	-0.035	-0.043
NCU02316	0.899	0.833	0.814	0.842	0.774	0.751	-0.066	-0.085	-0.068	-0.091
NCU02317	0.948	1	0.871	0.887	0.902	0.839	0.052	-0.077	0.015	-0.048
NCU02318	0.896	0.832	NA	0.848	0.781	NA	-0.064	NA	-0.066	NA
NCU02319	0.974	0.854	0.793	0.822	0.769	0.688	-0.121	-0.182	-0.053	-0.134
NCU02320	0.931	0.807	NA	0.878	0.785	NA	-0.123	NA	-0.094	NA
NCU02321	0.94	0.892	0.868	0.913	0.822	0.866	-0.048	-0.072	-0.092	-0.047
NCU02322	0.931	0.863	0.854	0.811	0.786	0.746	-0.067	-0.077	-0.025	-0.065
NCU02323	0.903	0.859	NA	0.818	0.781	NA	-0.044	NA	-0.036	NA
NCU02324	0.818	0.78	NA	0.721	0.725	NA	-0.038	NA	0.004	NA
NCU02325	0.975	0.675	NA	0.908	0.659	NA	-0.299	NA	-0.248	NA
NCU02326	1	0.892	0.725	0.925	0.839	0.667	-0.108	-0.275	-0.086	-0.257
NCU02327	0.828	0.76	0.855	0.701	0.722	0.838	-0.067	0.027	0.021	0.136
NCU02328	0.899	0.807	NA	0.885	0.705	NA	-0.092	NA	-0.181	NA
NCU02329	0.983	0.81	NA	0.91	0.808	NA	-0.173	NA	-0.102	NA
NCU02331	0.84	0.93	NA	0.778	0.935	NA	0.09	NA	0.157	NA
NCU02333	0.846	0.854	NA	0.699	0.825	NA	0.007	NA	0.126	NA
NCU02334	0.931	0.691	0.794	0.85	0.721	0.736	-0.239	-0.137	-0.13	-0.115
NCU02335	0.983	0.892	NA	0.969	0.817	NA	-0.091	NA	-0.152	NA
NCU02336	0.948	0.836	NA	0.914	0.75	NA	-0.112	NA	-0.164	NA
NCU02337	0.931	0.818	NA	0.826	0.803	NA	-0.112	NA	-0.023	NA
NCU02338	0.903	0.992	0.909	0.833	0.944	0.81	0.088	0.006	0.11	-0.023
NCU02339	0.975	0.784	NA	0.937	0.762	NA	-0.19	NA	-0.175	NA
NCU02340	0.833	0.77	NA	0.8	0.72	NA	-0.063	NA	-0.079	NA
NCU02341	0.983	0.975	NA	0.911	0.894	NA	-0.008	NA	-0.016	NA
NCU02342	0.992	0.975	0.866	0.932	0.961	0.787	-0.017	-0.125	0.029	-0.145
NCU02343	0.899	0.931	0.74	0.887	0.869	0.693	0.032	-0.159	-0.018	-0.194
NCU02344	0.975	0.842	0.761	0.948	0.781	NA	-0.132	-0.214	-0.167	NA
NCU02345	0.975	0.822	0.838	0.854	0.731	0.838	-0.152	-0.137	-0.123	-0.016
NCU02346	0.94	0.863	NA	0.849	0.826	NA	-0.077	NA	-0.024	NA
NCU02347	0.983	0.74	0.691	0.896	0.719	0.612	-0.243	-0.292	-0.177	-0.284
NCU02348	0.892	0.822	NA	0.88	0.807	NA	-0.07	NA	-0.073	NA
NCU02349	0.931	0.92	0.866	0.834	0.821	0.781	-0.01	-0.064	-0.013	-0.053
NCU02350	0.929	0.796	NA	0.794	0.796	NA	-0.133	NA	0.002	NA
NCU02351	0.928	0.754	0.724	0.892	0.703	0.696	-0.175	-0.205	-0.189	-0.196
NCU02352	0.903	0.94	0.853	0.774	0.901	0.772	0.037	-0.05	0.127	-0.002
NCU02353	0.854	0.88	0.863	0.737	0.719	0.84	0.027	0.009	-0.018	0.103
NCU02354	0.886	0.802	0.641	0.835	0.729	0.629	-0.084	-0.245	-0.106	-0.206
NCU02355	0.896	0.911	0.766	0.789	0.842	0.723	0.016	-0.129	0.053	-0.065
NCU02356	0.975	0.844	0.866	0.914	0.73	0.81	-0.131	-0.108	-0.184	-0.104
NCU02357	0.94	0.79	0.766	0.917	0.765	0.722	-0.15	-0.174	-0.152	-0.195
NCU02358	0.778	0.867	0.793	0.725	0.771	0.7	0.089	0.014	0.045	-0.025
NCU02359	0.939	0.751	0.732	0.772	0.746	0.677	-0.188	-0.206	-0.026	-0.095
NCU02360	0.903	0.92	NA	0.866	0.859	NA	0.017	NA	-0.006	NA
NCU02361	0.851	0.925	0.904	0.774	0.877	0.864	0.073	0.053	0.103	0.09
NCU02362	0.94	0.755	0.708	0.823	0.707	0.558	-0.185	-0.232	-0.116	-0.265
NCU02363	0.975	0.728	NA	0.901	0.74	NA	-0.246	NA	-0.161	NA
NCU02364	1	0.859	0.724	0.954	0.757	0.734	-0.141	-0.276	-0.197	-0.22
NCU02365	0.992	0.859	NA	0.794	0.696	NA	-0.133	NA	-0.097	NA
NCU02366	0.925	0.708	0.784	0.872	0.614	0.689	-0.216	-0.14	-0.258	-0.183
NCU02367	0.845	0.731	0.716	0.773	0.676	0.617	-0.114	-0.129	-0.097	-0.155
NCU02368	0.974	0.907	0.849	0.907	0.847	0.72	-0.067	-0.125	-0.06	-0.187
NCU02369	0.931	0.815	0.846	0.874	0.683	0.776	-0.116	-0.084	-0.191	-0.099
NCU02370	0.992	0.833	NA	0.965	0.763	NA	-0.159	NA	-0.202	NA
NCU02371	0.948	0.849	0.724	0.842	0.743	0.614	-0.099	-0.225	-0.099	-0.227
NCU02372	1	0.766	NA	0.825	0.747	NA	-0.234	NA	-0.078	NA
NCU02373	0.974	0.886	NA	0.909	0.84	NA	-0.089	NA	-0.069	NA
NCU02374	0.859	0.907	0.983	0.855	0.803	0.925	0.049	0.124	-0.052	0.07
NCU02375	0.975	0.816	NA	0.894	0.711	NA	-0.159	NA	-0.183	NA
NCU02376	0.774	0.975	NA	0.692	0.87	NA	0.201	NA	0.178	NA
NCU02377	1	0.838	NA	0.838	0.801	NA	-0.162	NA	-0.038	NA
NCU02378	0.889	0.804	NA	0.779	0.797	NA	-0.086	NA	0.018	NA
NCU02379	0.903	0.872	0.819	0.761	0.793	0.769	-0.031	-0.084	0.031	0.008
NCU02380	0.992	0.804	NA	0.906	0.739	NA	-0.188	NA	-0.167	NA
NCU02381	0.931	0.792	NA	0.908	0.666	NA	-0.139	NA	-0.242	NA
NCU02382	0.93	0.809	NA	0.811	0.797	NA	-0.121	NA	-0.015	NA
NCU02383	0.836	0.804	NA	0.755	0.741	NA	-0.033	NA	-0.014	NA
NCU02385	0.992	0.769	0.743	0.904	0.753	0.707	-0.223	-0.248	-0.151	-0.197
NCU02386	0.892	0.827	0.778	0.831	0.783	0.709	-0.066	-0.114	-0.047	-0.122
NCU02387	0.92	0.842	0.822	0.771	0.812	0.814	-0.078	-0.098	0.041	0.043
NCU02388	0.918	0.793	0.811	0.876	0.716	0.74	-0.125	-0.107	-0.16	-0.136
NCU02389	0.915	0.818	0.918	0.851	0.728	0.806	-0.097	0.003	-0.123	-0.045
NCU02390	0.918	0.731	0.836	0.794	0.655	0.763	-0.186	-0.081	-0.139	-0.032
NCU02391	0.975	0.913	0.838	0.897	0.851	0.68	-0.061	-0.137	-0.046	-0.217
NCU02393	0.928	0.882	0.992	0.901	0.842	NA	-0.047	0.063	-0.059	NA
NCU02394	0.859	0.957	0.845	0.828	0.892	0.728	0.098	-0.014	0.064	-0.1
NCU02395	0.992	0.752	NA	0.917	0.666	NA	-0.239	NA	-0.25	NA
NCU02396	0.871	0.767	NA	0.77	0.672	NA	-0.104	NA	-0.098	NA
NCU02397	0.948	0.857	0.822	0.903	0.751	0.804	-0.09	-0.125	-0.152	-0.098
NCU02398	0.899	0.842	0.903	0.786	0.708	0.8	-0.057	0.004	-0.078	0.013
NCU02399	0.94	0.974	0.836	0.892	0.886	0.808	0.034	-0.104	-0.006	-0.084
NCU02400	0.858	0.912	NA	0.775	0.792	NA	0.054	NA	0.018	NA
NCU02401	0.93	0.854	NA	0.854	0.772	NA	-0.077	NA	-0.081	NA
NCU02402	0.832	0.842	0.732	0.823	0.762	0.68	0.01	-0.099	-0.061	-0.143
NCU02403	0.877	0.879	0.883	0.842	0.871	NA	0.002	0.007	0.029	NA
NCU02404	0.797	0.822	NA	0.811	0.756	NA	0.025	NA	-0.056	NA
NCU02405	0.869	0.957	NA	0.807	0.873	NA	0.089	NA	0.066	NA
NCU02406	0.992	0.866	NA	0.894	0.793	NA	-0.125	NA	-0.101	NA
NCU02407	0.975	0.778	0.842	0.912	0.688	0.733	-0.196	-0.133	-0.224	-0.179
NCU02408	0.939	0.925	0.867	0.873	0.847	NA	-0.014	-0.072	-0.026	NA
NCU02409	0.859	0.875	0.664	0.787	0.814	0.623	0.016	-0.195	0.027	-0.164
NCU02410	0.892	0.832	0.751	0.856	0.755	NA	-0.061	-0.142	-0.101	NA
NCU02411	0.948	0.93	0.903	0.902	0.86	NA	-0.018	-0.045	-0.041	NA
NCU02412	0.708	0.858	0.794	0.698	0.757	0.669	0.149	0.085	0.059	-0.029
NCU02413	0.896	0.903	0.832	0.875	0.803	0.764	0.007	-0.064	-0.072	-0.111
NCU02414	0.829	0.892	NA	0.747	0.834	NA	0.063	NA	0.087	NA
NCU02415	0.939	0.867	0.906	0.848	0.755	0.866	-0.072	-0.032	-0.093	0.018
NCU02416	0.884	0.751	0.818	0.834	0.698	0.731	-0.133	-0.066	-0.135	-0.102
NCU02417	0.92	0.814	0.784	0.854	0.72	0.745	-0.106	-0.136	-0.134	-0.109
NCU02418	0.909	0.858	0.74	0.812	0.83	0.756	-0.052	-0.169	0.018	-0.056
NCU02419	0.956	0.892	0.691	0.91	0.818	NA	-0.064	-0.265	-0.092	NA
NCU02420	0.886	0.795	0.804	0.825	0.726	0.774	-0.091	-0.083	-0.099	-0.051
NCU02421	0.896	0.675	NA	0.774	0.649	NA	-0.22	NA	-0.125	NA
NCU02422	0.773	0.773	0.883	0.752	0.703	0.821	0	0.111	-0.049	0.069
NCU02423	1	0.805	0.849	0.888	0.79	0.745	-0.195	-0.151	-0.098	-0.143
NCU02424	0.903	0.807	NA	0.886	0.725	NA	-0.096	NA	-0.161	NA
NCU02425	0.975	0.923	0.725	0.91	0.882	0.682	-0.052	-0.249	-0.028	-0.228
NCU02428	0.74	0.892	0.975	0.65	0.846	0.921	0.152	0.234	0.195	0.271
NCU02429	0.915	0.974	0.81	0.743	0.963	0.721	0.06	-0.105	0.221	-0.021
NCU02430	0.903	0.773	0.694	0.836	0.698	0.655	-0.131	-0.21	-0.138	-0.181
NCU02431	0.912	0.754	0.812	0.854	0.735	0.81	-0.158	-0.1	-0.119	-0.043
NCU02432	0.839	0.876	0.845	0.773	0.793	0.843	0.037	0.006	0.02	0.07
NCU02433	0.788	0.911	0.744	0.741	0.783	0.675	0.124	-0.044	0.042	-0.066
