# scores_kozak_Sc.txt
# Scores of ATG context against Kozak sequence, Scerevisiae S288C
# Kozak sequence derived from 330 highest-translated genes by RPF
#
# Gene: Sc systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG agains narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
YDR308C	0.964	0.876	0.781	0.878	0.834	0.79	-0.088	-0.182	-0.044	-0.088
YDR309C	0.861	0.911	0.745	0.849	0.873	0.719	0.05	-0.116	0.024	-0.13
YDR310C	0.74	0.857	NA	0.677	0.86	NA	0.117	NA	0.183	NA
YDR311W	0.946	0.884	NA	0.89	0.82	NA	-0.061	NA	-0.07	NA
YDR312W	0.857	0.762	NA	0.798	0.761	NA	-0.095	NA	-0.037	NA
YDR313C	0.684	0.807	NA	0.71	0.722	NA	0.123	NA	0.012	NA
YDR314C	0.901	0.982	NA	0.889	0.928	NA	0.081	NA	0.04	NA
YDR315C	0.806	0.824	NA	0.776	0.785	NA	0.018	NA	0.009	NA
YDR316W	0.802	0.806	NA	0.761	0.735	NA	0.004	NA	-0.026	NA
YDR317W	0.937	1	NA	0.886	0.965	NA	0.063	NA	0.079	NA
YDR318W	0.824	0.806	NA	0.709	0.772	NA	-0.017	NA	0.063	NA
YDR319C	0.824	0.885	NA	0.814	0.878	NA	0.06	NA	0.064	NA
YDR320C-A	0.906	0.786	NA	0.875	0.743	NA	-0.12	NA	-0.133	NA
YDR320C	0.848	0.774	NA	0.787	0.696	NA	-0.074	NA	-0.091	NA
YDR320W-B	0.718	0.777	NA	0.661	0.713	NA	0.059	NA	0.051	NA
YDR321W	0.87	0.833	NA	0.768	0.78	NA	-0.037	NA	0.012	NA
YDR322C-A	0.88	0.77	NA	0.798	0.734	NA	-0.109	NA	-0.064	NA
YDR322W	0.902	0.838	NA	0.763	0.849	NA	-0.063	NA	0.086	NA
YDR323C	0.861	0.923	NA	0.827	0.827	NA	0.062	NA	0.001	NA
YDR324C	0.814	0.881	NA	0.797	0.804	NA	0.067	NA	0.007	NA
YDR325W	0.893	0.797	NA	0.768	0.779	NA	-0.096	NA	0.011	NA
YDR326C	0.857	0.817	NA	0.789	NA	NA	-0.039	NA	NA	NA
YDR327W	0.832	0.762	NA	0.823	0.72	NA	-0.07	NA	-0.103	NA
YDR328C	0.876	0.815	NA	0.794	0.736	NA	-0.06	NA	-0.058	NA
YDR329C	0.88	0.896	NA	0.831	0.81	NA	0.016	NA	-0.021	NA
YDR330W	0.781	0.786	NA	0.746	0.734	NA	0.005	NA	-0.011	NA
YDR331W	0.982	0.86	NA	0.86	0.756	NA	-0.122	NA	-0.104	NA
YDR332W	0.938	0.94	0.849	0.937	0.879	0.779	0.002	-0.09	-0.059	-0.158
YDR333C	0.87	0.94	NA	0.789	0.887	NA	0.07	NA	0.098	NA
YDR334W	0.822	0.72	NA	0.82	0.698	NA	-0.102	NA	-0.122	NA
YDR335W	0.901	0.825	NA	0.889	0.746	NA	-0.077	NA	-0.143	NA
YDR336W	0.824	0.922	NA	0.806	0.898	NA	0.098	NA	0.092	NA
YDR337W	0.946	0.859	NA	0.943	0.762	NA	-0.087	NA	-0.181	NA
YDR338C	1	0.893	NA	0.853	0.797	NA	-0.107	NA	-0.056	NA
YDR339C	0.902	0.859	NA	0.862	0.765	NA	-0.043	NA	-0.097	NA
YDR340W	0.838	0.861	NA	0.813	0.817	NA	0.022	NA	0.005	NA
YDR341C	0.903	0.938	NA	0.843	0.877	NA	0.035	NA	0.034	NA
YDR342C	1	0.896	NA	0.946	0.799	NA	-0.104	NA	-0.147	NA
YDR343C	1	0.896	NA	0.946	0.799	NA	-0.104	NA	-0.147	NA
YDR344C	0.74	0.764	NA	0.734	0.686	NA	0.025	NA	-0.048	NA
YDR345C	0.911	0.773	NA	0.9	0.735	NA	-0.138	NA	-0.165	NA
YDR346C	0.923	0.756	NA	0.901	0.702	NA	-0.167	NA	-0.199	NA
YDR347W	0.893	0.797	NA	0.797	0.764	NA	-0.096	NA	-0.033	NA
YDR348C	0.827	0.937	NA	0.823	0.839	NA	0.11	NA	0.016	NA
YDR349C	0.798	0.844	NA	0.743	0.78	NA	0.046	NA	0.037	NA
YDR350C	0.765	0.959	NA	0.734	NA	NA	0.194	NA	NA	NA
YDR351W	0.702	0.729	NA	0.708	0.737	NA	0.026	NA	0.029	NA
YDR352W	0.754	0.729	NA	0.709	0.736	NA	-0.025	NA	0.027	NA
YDR353W	0.964	0.804	NA	0.932	0.79	NA	-0.159	NA	-0.141	NA
YDR354C-A	0.947	0.729	NA	0.869	0.648	NA	-0.218	NA	-0.221	NA
YDR354W	0.87	0.904	NA	0.785	0.811	NA	0.034	NA	0.026	NA
YDR355C	0.841	0.848	NA	0.785	0.803	NA	0.007	NA	0.018	NA
YDR356W	0.804	0.875	NA	0.825	0.811	NA	0.071	NA	-0.014	NA
YDR357C	0.88	0.959	0.79	0.844	0.901	0.725	0.079	-0.09	0.057	-0.119
YDR358W	0.959	0.802	NA	0.85	0.78	NA	-0.157	NA	-0.07	NA
YDR359C	0.958	0.774	NA	0.83	0.726	NA	-0.185	NA	-0.104	NA
YDR360W	0.798	0.726	NA	0.754	0.647	NA	-0.073	NA	-0.107	NA
YDR361C	0.938	0.843	0.718	0.864	0.838	0.727	-0.095	-0.22	-0.026	-0.137
YDR362C	0.782	0.777	0.754	0.722	0.738	0.655	-0.006	-0.028	0.016	-0.067
YDR363W-A	0.938	1	0.798	0.856	1	0.759	0.062	-0.14	0.144	-0.097
YDR363W	0.851	0.774	NA	0.787	0.732	NA	-0.077	NA	-0.055	NA
YDR364C	0.896	0.762	0.788	0.835	0.713	0.789	-0.134	-0.108	-0.122	-0.046
YDR365C	0.881	0.765	NA	0.899	0.713	NA	-0.116	NA	-0.186	NA
YDR366C	0.77	0.817	NA	0.747	0.769	NA	0.047	NA	0.022	NA
YDR367W	0.839	0.709	NA	0.801	0.65	NA	-0.131	NA	-0.151	NA
YDR368W	0.87	0.806	NA	0.876	0.76	NA	-0.064	NA	-0.115	NA
YDR369C	0.786	0.881	NA	0.77	0.826	NA	0.095	NA	0.056	NA
YDR370C	0.839	0.94	NA	0.825	0.882	NA	0.101	NA	0.057	NA
YDR371C-A	0.781	0.754	NA	0.697	NA	NA	-0.027	NA	NA	NA
YDR371W	0.79	0.896	NA	0.711	0.86	NA	0.106	NA	0.149	NA
YDR372C	0.911	0.74	NA	0.865	0.678	NA	-0.171	NA	-0.187	NA
YDR373W	1	0.958	NA	0.976	0.861	NA	-0.042	NA	-0.116	NA
YDR374C	1	0.787	NA	0.875	0.775	NA	-0.213	NA	-0.1	NA
YDR374W-A	0.754	0.802	NA	0.749	0.766	NA	0.047	NA	0.017	NA
YDR375C	0.87	0.92	NA	0.856	0.863	NA	0.05	NA	0.007	NA
YDR376W	0.923	0.843	NA	0.85	0.787	NA	-0.079	NA	-0.064	NA
YDR377W	0.964	0.875	NA	0.954	0.785	NA	-0.089	NA	-0.168	NA
YDR378C	0.86	0.806	NA	0.852	0.748	NA	-0.053	NA	-0.104	NA
YDR379C-A	0.791	0.795	0.886	0.761	0.79	0.885	0.004	0.095	0.029	0.124
YDR379W	0.938	0.848	0.765	0.902	0.743	0.691	-0.09	-0.173	-0.159	-0.211
YDR380W	0.869	0.917	NA	0.793	0.807	NA	0.049	NA	0.014	NA
YDR381C-A	0.923	0.786	NA	0.897	0.678	NA	-0.136	NA	-0.219	NA
YDR381W	0.866	0.862	NA	0.781	0.829	NA	-0.004	NA	0.048	NA
YDR382W	0.937	0.729	NA	0.917	0.667	NA	-0.209	NA	-0.25	NA
YDR383C	0.917	0.923	NA	0.861	0.897	NA	0.005	NA	0.037	NA
YDR384C	0.959	0.83	NA	0.873	0.743	NA	-0.129	NA	-0.13	NA
YDR385W	0.94	0.875	NA	0.886	0.791	NA	-0.066	NA	-0.094	NA
YDR386W	0.869	0.764	0.827	0.784	0.785	0.77	-0.104	-0.041	0	-0.015
YDR387C	0.797	0.851	0.781	0.734	0.787	0.778	0.055	-0.016	0.053	0.044
YDR388W	0.763	0.94	NA	0.777	0.915	NA	0.178	NA	0.138	NA
YDR389W	0.923	0.923	NA	0.865	0.932	NA	0	NA	0.067	NA
YDR390C	0.923	0.94	NA	0.899	0.784	NA	0.018	NA	-0.115	NA
YDR391C	0.893	0.922	0.885	0.837	0.884	0.838	0.029	-0.008	0.047	0.001
YDR392W	0.859	0.922	NA	0.789	0.777	NA	0.063	NA	-0.012	NA
YDR393W	0.842	0.861	NA	0.817	0.817	NA	0.019	NA	-0	NA
YDR394W	0.921	0.83	NA	0.881	0.739	NA	-0.091	NA	-0.142	NA
YDR395W	0.86	0.824	NA	0.889	0.761	NA	-0.036	NA	-0.128	NA
YDR396W	0.832	0.753	NA	0.807	NA	NA	-0.079	NA	NA	NA
YDR397C	0.806	0.886	NA	0.811	0.785	NA	0.08	NA	-0.026	NA
YDR398W	0.815	0.717	0.822	0.799	0.667	0.746	-0.098	0.007	-0.132	-0.054
YDR399W	0.946	0.902	0.881	0.823	0.878	0.801	-0.044	-0.065	0.055	-0.023
YDR400W	0.958	0.813	NA	0.9	0.82	NA	-0.146	NA	-0.081	NA
YDR401W	0.813	0.806	NA	0.823	0.725	NA	-0.007	NA	-0.098	NA
YDR402C	1	0.754	NA	0.928	0.719	NA	-0.246	NA	-0.209	NA
YDR403W	1	0.946	NA	0.962	0.86	NA	-0.054	NA	-0.102	NA
YDR404C	0.844	0.773	NA	0.796	0.672	NA	-0.071	NA	-0.124	NA
YDR405W	0.861	0.861	NA	0.845	0.834	NA	0	NA	-0.011	NA
YDR406W-A	0.86	NA	NA	0.826	NA	NA	NA	NA	NA	NA
YDR406W	0.795	0.675	NA	0.806	0.648	NA	-0.119	NA	-0.158	NA
YDR407C	0.911	0.839	NA	0.857	0.767	NA	-0.072	NA	-0.09	NA
YDR408C	0.839	0.806	NA	0.816	0.695	NA	-0.033	NA	-0.121	NA
YDR409W	0.807	0.881	NA	0.752	0.797	NA	0.074	NA	0.046	NA
YDR410C	0.929	0.791	NA	0.875	0.749	NA	-0.138	NA	-0.126	NA
YDR411C	0.964	0.859	NA	0.859	0.717	NA	-0.105	NA	-0.142	NA
YDR412W	0.798	0.902	NA	0.743	0.81	NA	0.104	NA	0.067	NA
YDR413C	0.886	0.786	NA	0.8	0.669	NA	-0.1	NA	-0.131	NA
YDR414C	0.938	0.843	NA	0.806	0.857	NA	-0.095	NA	0.051	NA
YDR415C	0.92	0.807	NA	0.864	0.743	NA	-0.113	NA	-0.121	NA
YDR416W	0.754	0.883	NA	0.762	0.85	NA	0.129	NA	0.088	NA
YDR417C	0.723	0.821	NA	0.704	0.759	NA	0.098	NA	0.055	NA
YDR418W	0.92	0.875	NA	0.896	0.824	NA	-0.045	NA	-0.071	NA
YDR419W	0.869	0.827	NA	0.843	0.735	NA	-0.041	NA	-0.108	NA
YDR420W	0.958	0.843	NA	0.891	0.786	NA	-0.115	NA	-0.104	NA
YDR421W	0.768	0.896	NA	0.767	0.782	NA	0.128	NA	0.015	NA
YDR422C	0.83	0.791	NA	0.766	0.804	NA	-0.039	NA	0.038	NA
YDR423C	0.884	0.844	NA	0.8	0.762	NA	-0.041	NA	-0.037	NA
YDR424C	0.982	0.86	NA	0.968	0.856	NA	-0.122	NA	-0.112	NA
YDR425W	1	0.754	NA	0.947	0.643	NA	-0.246	NA	-0.304	NA
YDR426C	0.781	0.822	NA	0.749	0.817	NA	0.041	NA	0.068	NA
YDR427W	0.94	0.911	NA	0.847	0.884	NA	-0.029	NA	0.037	NA
YDR428C	0.861	0.795	NA	0.76	0.793	NA	-0.065	NA	0.033	NA
YDR429C	0.964	0.844	NA	0.875	0.837	NA	-0.12	NA	-0.037	NA
YDR430C	0.822	0.711	NA	0.731	0.617	NA	-0.111	NA	-0.114	NA
YDR431W	0.911	0.77	NA	0.831	0.756	NA	-0.141	NA	-0.075	NA
YDR432W	0.886	0.729	NA	0.837	0.698	NA	-0.157	NA	-0.139	NA
YDR433W	0.896	0.798	NA	0.809	0.744	NA	-0.098	NA	-0.065	NA
YDR434W	0.964	0.815	NA	0.812	0.809	NA	-0.148	NA	-0.003	NA
YDR435C	0.83	0.824	NA	0.821	0.779	NA	-0.006	NA	-0.042	NA
YDR436W	0.87	0.88	NA	0.801	0.809	NA	0.01	NA	0.008	NA
YDR437W	0.92	0.822	NA	0.919	0.793	NA	-0.098	NA	-0.126	NA
YDR438W	0.844	0.79	NA	0.773	0.735	NA	-0.054	NA	-0.038	NA
YDR439W	0.743	0.923	NA	0.69	0.874	NA	0.179	NA	0.184	NA
YDR440W	0.901	0.884	NA	0.834	0.839	NA	-0.017	NA	0.006	NA
YDR441C	0.884	0.834	NA	0.763	0.842	NA	-0.05	NA	0.079	NA
YDR442W	0.851	0.806	NA	0.753	0.806	NA	-0.045	NA	0.053	NA
YDR443C	0.818	0.802	NA	0.734	0.758	NA	-0.016	NA	0.023	NA
YDR444W	0.83	0.796	NA	0.75	0.782	NA	-0.034	NA	0.032	NA
YDR445C	0.947	0.807	NA	0.876	NA	NA	-0.141	NA	NA	NA
YDR446W	0.852	0.958	NA	0.808	0.922	NA	0.107	NA	0.114	NA
YDR447C	1	0.818	NA	0.894	0.771	NA	-0.182	NA	-0.123	NA
YDR448W	0.921	0.754	NA	0.873	0.676	NA	-0.167	NA	-0.196	NA
YDR449C	0.964	0.964	NA	0.891	0.867	NA	0	NA	-0.024	NA
YDR450W	0.958	0.738	0.813	0.869	0.728	0.784	-0.221	-0.145	-0.141	-0.085
YDR451C	0.906	0.86	NA	0.897	0.777	NA	-0.047	NA	-0.12	NA
YDR452W	0.765	0.883	0.745	0.699	0.797	0.719	0.118	-0.02	0.098	0.02
YDR453C	0.911	0.774	NA	0.902	0.687	NA	-0.137	NA	-0.216	NA
YDR454C	0.821	0.765	NA	0.737	0.677	NA	-0.056	NA	-0.06	NA
YDR455C	0.946	0.964	NA	0.837	NA	NA	0.018	NA	NA	NA
YDR456W	1	0.845	0.813	0.926	0.748	0.816	-0.155	-0.187	-0.178	-0.11
YDR457W	0.795	0.896	NA	0.795	0.802	NA	0.101	NA	0.007	NA
YDR458C	0.886	0.923	NA	0.865	0.851	NA	0.036	NA	-0.014	NA
YDR459C	0.805	0.87	NA	0.76	0.766	NA	0.064	NA	0.006	NA
YDR460W	1	0.717	NA	0.919	NA	NA	-0.283	NA	NA	NA
YDR461C-A	0.881	0.869	0.745	0.847	0.878	0.76	-0.012	-0.136	0.031	-0.087
YDR461W	0.937	0.851	NA	0.88	0.734	NA	-0.087	NA	-0.145	NA
YDR462W	0.84	0.818	NA	0.839	0.717	NA	-0.022	NA	-0.122	NA
YDR463W	1	0.923	NA	0.901	0.841	NA	-0.077	NA	-0.06	NA
YDR464C-A	0.901	0.807	NA	0.822	0.768	NA	-0.094	NA	-0.054	NA
YDR464W	0.807	0.717	NA	0.801	NA	NA	-0.09	NA	NA	NA
YDR465C	0.859	0.79	NA	0.842	0.772	NA	-0.069	NA	-0.071	NA
YDR466W	0.831	0.771	0.756	0.729	0.7	0.675	-0.06	-0.075	-0.029	-0.054
YDR467C	0.798	0.781	NA	0.688	NA	NA	-0.017	NA	NA	NA
YDR468C	0.893	0.782	NA	0.839	0.731	NA	-0.111	NA	-0.108	NA
YDR469W	0.923	0.805	NA	0.873	0.799	NA	-0.117	NA	-0.074	NA
YDR470C	0.838	0.964	NA	0.782	0.938	NA	0.125	NA	0.156	NA
YDR471W	0.911	0.904	0.807	0.875	0.832	0.793	-0.007	-0.104	-0.043	-0.083
YDR472W	0.884	0.774	NA	0.803	0.717	NA	-0.11	NA	-0.086	NA
YDR473C	1	0.795	NA	0.87	0.792	NA	-0.205	NA	-0.078	NA
YDR475C	0.86	0.94	NA	0.797	0.853	NA	0.08	NA	0.056	NA
YDR476C	0.859	0.869	NA	0.829	0.761	NA	0.009	NA	-0.068	NA
YDR477W	0.929	0.779	NA	0.911	0.692	NA	-0.15	NA	-0.22	NA
YDR478W	1	0.813	NA	0.868	0.787	NA	-0.187	NA	-0.082	NA
YDR479C	0.825	0.818	NA	0.787	0.782	NA	-0.007	NA	-0.005	NA
YDR480W	0.902	0.923	NA	0.818	0.791	NA	0.021	NA	-0.028	NA
YDR481C	0.851	NA	NA	0.784	NA	NA	NA	NA	NA	NA
YDR482C	0.849	0.982	0.921	0.749	0.905	0.817	0.133	0.073	0.156	0.068
YDR483W	0.869	0.923	0.745	0.799	0.827	0.751	0.054	-0.124	0.027	-0.048
YDR484W	0.902	0.764	NA	0.844	NA	NA	-0.138	NA	NA	NA
YDR485C	0.904	0.86	NA	0.838	NA	NA	-0.044	NA	NA	NA
YDR486C	0.902	0.798	NA	0.842	0.776	NA	-0.104	NA	-0.066	NA
YDR487C	0.923	0.798	NA	0.873	0.767	NA	-0.124	NA	-0.106	NA
YDR488C	0.917	0.845	NA	0.89	0.74	NA	-0.073	NA	-0.15	NA
YDR489W	0.782	0.896	NA	0.73	0.823	NA	0.114	NA	0.093	NA
YDR490C	0.897	0.765	NA	0.846	0.716	NA	-0.132	NA	-0.13	NA
YDR491C	0.83	0.814	NA	0.771	0.828	NA	-0.016	NA	0.057	NA
YDR492W	1	0.765	NA	0.967	0.76	NA	-0.235	NA	-0.207	NA
YDR493W	0.884	0.787	NA	0.866	0.74	NA	-0.096	NA	-0.126	NA
YDR494W	0.923	0.777	NA	0.819	0.673	NA	-0.145	NA	-0.147	NA
YDR495C	0.911	0.964	NA	0.851	0.92	NA	0.053	NA	0.069	NA
YDR496C	0.886	0.774	NA	0.863	0.681	NA	-0.112	NA	-0.182	NA
YDR497C	0.959	0.852	NA	0.799	0.778	NA	-0.107	NA	-0.021	NA
YDR498C	0.824	0.94	NA	0.831	0.818	NA	0.116	NA	-0.013	NA
YDR499W	0.843	0.81	NA	0.819	0.76	NA	-0.032	NA	-0.059	NA
YDR500C	0.958	0.851	0.861	0.931	0.783	0.81	-0.107	-0.098	-0.149	-0.122
YDR501W	0.762	0.843	NA	0.762	0.782	NA	0.081	NA	0.02	NA
YDR502C	0.911	0.774	NA	0.885	0.76	NA	-0.137	NA	-0.125	NA
YDR503C	0.88	0.807	NA	0.828	0.734	NA	-0.072	NA	-0.093	NA
YDR504C	0.843	0.745	NA	0.801	0.731	NA	-0.098	NA	-0.07	NA
YDR505C	0.982	0.886	NA	0.871	0.827	NA	-0.096	NA	-0.044	NA
YDR506C	0.88	0.779	NA	0.813	0.755	NA	-0.101	NA	-0.058	NA
YDR507C	0.982	0.848	NA	0.953	0.783	NA	-0.134	NA	-0.17	NA
YDR508C	0.884	0.83	NA	0.827	0.831	NA	-0.053	NA	0.003	NA
YDR509W	0.753	NA	NA	0.716	NA	NA	NA	NA	NA	NA
YDR510C-A	0.861	0.897	NA	0.837	0.84	NA	0.036	NA	0.002	NA
YDR510W	0.86	0.774	NA	0.803	0.724	NA	-0.086	NA	-0.079	NA
YDR511W	0.893	0.818	NA	0.861	0.779	NA	-0.074	NA	-0.081	NA
YDR512C	0.886	0.777	NA	0.824	0.739	NA	-0.109	NA	-0.085	NA
YDR513W	0.754	1	NA	0.736	0.913	NA	0.246	NA	0.177	NA
YDR514C	0.702	0.982	NA	0.691	0.858	NA	0.279	NA	0.167	NA
YDR515W	1	0.83	NA	0.919	0.834	NA	-0.17	NA	-0.085	NA
YDR516C	0.901	0.77	NA	0.862	0.777	NA	-0.131	NA	-0.085	NA
YDR517W	0.902	0.765	NA	0.858	0.716	NA	-0.137	NA	-0.142	NA
YDR518W	0.87	0.777	NA	0.86	0.726	NA	-0.093	NA	-0.134	NA
YDR519W	0.788	0.845	NA	0.754	0.771	NA	0.056	NA	0.017	NA
YDR520C	1	0.852	NA	0.896	0.863	NA	-0.148	NA	-0.033	NA
YDR521W	0.815	0.866	NA	0.8	0.823	NA	0.051	NA	0.023	NA
YDR522C	0.923	0.827	NA	0.926	0.815	NA	-0.095	NA	-0.111	NA
YDR523C	0.982	0.911	NA	0.923	0.831	NA	-0.071	NA	-0.091	NA
YDR524C-A	0.876	NA	NA	0.834	NA	NA	NA	NA	NA	NA
YDR524C-B	0.964	0.857	NA	0.908	0.759	NA	-0.107	NA	-0.149	NA
YDR524C	0.964	1	NA	0.905	0.954	NA	0.036	NA	0.05	NA
YDR524W-C	0.87	NA	NA	0.797	NA	NA	NA	NA	NA	NA
YDR525W-A	0.884	0.795	NA	0.835	0.661	NA	-0.088	NA	-0.173	NA
YDR525W	0.881	0.822	NA	0.798	0.766	NA	-0.059	NA	-0.032	NA
YDR526C	0.745	0.964	NA	0.746	0.871	NA	0.219	NA	0.124	NA
YDR527W	0.883	0.901	NA	0.814	0.813	NA	0.018	NA	-0	NA
YDR528W	0.896	0.795	NA	0.815	0.755	NA	-0.102	NA	-0.06	NA
YDR529C	0.982	0.839	NA	0.955	0.764	NA	-0.143	NA	-0.19	NA
YDR530C	0.958	0.921	NA	0.881	0.843	NA	-0.037	NA	-0.038	NA
YDR531W	0.883	0.824	0.675	0.869	0.793	0.683	-0.059	-0.208	-0.076	-0.185
YDR532C	0.937	0.824	NA	0.865	0.818	NA	-0.113	NA	-0.048	NA
YDR533C	0.923	0.922	0.729	0.908	0.876	0.713	-0	-0.194	-0.032	-0.195
YDR534C	0.923	1	NA	0.86	0.885	NA	0.077	NA	0.025	NA
YDR535C	0.875	0.875	NA	0.781	NA	NA	0	NA	NA	NA
YDR536W	0.834	0.786	NA	0.765	0.739	NA	-0.048	NA	-0.026	NA
YDR537C	0.929	0.94	NA	0.917	0.853	NA	0.011	NA	-0.063	NA
YDR538W	0.876	0.982	NA	0.823	0.904	NA	0.106	NA	0.081	NA
YDR539W	0.843	0.958	NA	0.833	0.856	NA	0.115	NA	0.023	NA
YDR540C	0.87	0.938	NA	0.889	0.904	NA	0.068	NA	0.015	NA
YDR541C	0.893	0.763	NA	0.793	0.702	NA	-0.13	NA	-0.091	NA
YDR542W	0.923	0.813	NA	0.913	0.805	NA	-0.109	NA	-0.108	NA
YDR543C	0.777	0.893	NA	0.725	0.854	NA	0.116	NA	0.129	NA
YDR544C	0.804	0.851	NA	0.77	0.825	NA	0.046	NA	0.055	NA
YDR545C-A	0.845	0.83	NA	0.797	0.745	NA	-0.014	NA	-0.052	NA
YDR545W	0.959	0.86	NA	0.944	0.79	NA	-0.099	NA	-0.154	NA
YEL001C	0.902	0.745	NA	0.779	0.68	NA	-0.157	NA	-0.099	NA
YEL002C	0.839	0.702	NA	0.835	0.635	NA	-0.136	NA	-0.2	NA
YEL003W	0.839	0.923	NA	0.813	0.869	NA	0.083	NA	0.057	NA
YEL004W	1	0.815	NA	0.941	0.737	NA	-0.185	NA	-0.205	NA
YEL005C	0.827	0.896	0.782	0.748	0.826	0.763	0.069	-0.046	0.078	0.016
YEL006W	0.923	0.964	NA	0.801	0.926	NA	0.041	NA	0.125	NA
YEL007W	0.866	0.881	NA	0.862	0.864	NA	0.015	NA	0.002	NA
YEL008C-A	0.813	0.788	NA	0.707	0.709	NA	-0.025	NA	0.002	NA
YEL008W	0.744	0.726	NA	0.719	NA	NA	-0.017	NA	NA	NA
YEL009C-A	0.746	0.821	NA	0.709	0.82	NA	0.075	NA	0.111	NA
YEL009C	0.959	0.815	1	0.932	0.814	0.91	-0.143	0.041	-0.118	-0.022
YEL010W	0.938	0.893	NA	0.847	0.89	NA	-0.045	NA	0.044	NA
YEL011W	0.959	0.886	NA	0.913	0.821	NA	-0.073	NA	-0.092	NA
YEL012W	0.958	0.851	NA	0.898	0.782	NA	-0.107	NA	-0.116	NA
YEL013W	0.902	0.718	NA	0.842	NA	NA	-0.184	NA	NA	NA
YEL014C	0.946	0.964	NA	0.88	0.891	NA	0.018	NA	0.01	NA
YEL015W	0.946	0.958	NA	0.909	0.846	NA	0.013	NA	-0.063	NA
YEL016C	0.858	0.964	0.729	0.786	0.924	0.666	0.106	-0.129	0.138	-0.12
YEL017C-A	0.958	0.729	NA	0.912	0.749	NA	-0.23	NA	-0.163	NA
YEL017W	0.92	0.902	NA	0.923	0.808	NA	-0.018	NA	-0.115	NA
YEL018C-A	0.83	0.712	NA	0.784	0.67	NA	-0.119	NA	-0.113	NA
YEL018W	0.843	0.921	NA	0.764	0.873	NA	0.079	NA	0.109	NA
YEL019C	1	0.79	NA	0.943	0.787	NA	-0.21	NA	-0.155	NA
YEL020C-B	0.777	NA	NA	0.724	NA	NA	NA	NA	NA	NA
YEL020C	0.92	0.938	NA	0.854	0.89	NA	0.018	NA	0.036	NA
YEL020W-A	0.958	0.815	NA	0.847	0.832	NA	-0.143	NA	-0.015	NA
YEL021W	0.911	0.87	NA	0.895	0.842	NA	-0.041	NA	-0.053	NA
YEL022W	0.958	0.921	NA	0.806	0.884	NA	-0.037	NA	0.078	NA
YEL023C	0.802	0.795	NA	0.757	0.79	NA	-0.006	NA	0.033	NA
YEL024W	0.947	0.779	NA	0.933	0.732	NA	-0.168	NA	-0.2	NA
YEL025C	0.959	0.94	NA	0.822	0.866	NA	-0.018	NA	0.044	NA
YEL026W	1	0.738	NA	0.965	0.72	NA	-0.262	NA	-0.245	NA
YEL027W	0.923	0.861	NA	0.892	0.784	NA	-0.062	NA	-0.107	NA
YEL028W	1	0.807	NA	0.975	0.758	NA	-0.193	NA	-0.217	NA
YEL029C	1	0.763	NA	0.921	0.687	NA	-0.237	NA	-0.235	NA
YEL030C-A	0.709	0.861	NA	0.68	0.81	NA	0.152	NA	0.13	NA
YEL030W	0.906	0.893	NA	0.847	0.815	NA	-0.013	NA	-0.032	NA
YEL031W	0.807	0.92	NA	0.724	0.819	NA	0.113	NA	0.094	NA
YEL032C-A	0.807	0.845	NA	0.788	0.733	NA	0.038	NA	-0.055	NA
YEL032W	0.902	0.765	NA	0.857	0.71	NA	-0.137	NA	-0.146	NA
YEL033W	0.884	0.893	NA	0.789	0.825	NA	0.009	NA	0.036	NA
YEL034C-A	0.818	0.763	NA	0.792	0.771	NA	-0.056	NA	-0.021	NA
YEL034W	0.923	0.838	NA	0.896	0.783	NA	-0.084	NA	-0.113	NA
YEL035C	0.815	0.876	NA	0.744	0.812	NA	0.06	NA	0.067	NA
YEL036C	0.946	0.777	0.754	0.882	0.745	0.682	-0.169	-0.191	-0.137	-0.2
YEL037C	1	0.841	NA	0.92	0.764	NA	-0.159	NA	-0.156	NA
YEL038W	1	0.88	NA	0.945	0.754	NA	-0.12	NA	-0.191	NA
YEL039C	0.947	0.79	NA	0.929	0.765	NA	-0.157	NA	-0.164	NA
YEL040W	0.964	0.86	NA	0.952	0.835	NA	-0.104	NA	-0.117	NA
YEL041W	0.861	0.885	NA	0.872	0.75	NA	0.024	NA	-0.123	NA
YEL042W	0.947	0.861	NA	0.909	0.753	NA	-0.087	NA	-0.157	NA
YEL043W	0.764	0.827	NA	0.741	0.735	NA	0.064	NA	-0.006	NA
YEL044W	0.964	0.964	0.861	0.857	0.94	0.789	0	-0.103	0.083	-0.068
YEL045C	0.821	0.896	NA	0.745	NA	NA	0.075	NA	NA	NA
YEL046C	0.946	0.896	NA	0.915	0.842	NA	-0.05	NA	-0.073	NA
YEL047C	0.807	0.779	NA	0.781	0.682	NA	-0.028	NA	-0.099	NA
YEL048C	0.902	0.843	NA	0.832	0.786	NA	-0.059	NA	-0.046	NA
YEL049W	0.959	0.893	NA	0.942	0.814	NA	-0.066	NA	-0.128	NA
YEL050C	0.958	0.958	0.709	0.894	0.882	0.724	0	-0.25	-0.012	-0.17
