# scores_kozak_Ca.txt
# Scores of ATG context against Kozak sequence, Candida albicans
# Kozak sequence derived from 400 highest-translated genes by RPF
#
# Gene: Ca systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, Oct 2018
Gene	aATG.scorekn	d1.scorekn	aATG.scorekw	d1.scorekw	d1vsan	d1vsaw
C1_10830W_A	0.954	0.886	0.867	0.871	-0.068	0.004
C1_10840C_A	0.991	0.88	0.96	0.799	-0.111	-0.162
C1_10850W_A	0.968	0.914	0.935	0.821	-0.055	-0.114
C1_10860C_A	0.88	0.806	0.823	0.788	-0.074	-0.035
C1_10870W_A	0.95	0.796	0.931	0.746	-0.153	-0.185
C1_10880W_A	0.936	1	0.912	0.913	0.064	0.002
C1_10890C_A	0.918	0.7	0.919	0.692	-0.219	-0.226
C1_10910C_A	0.831	0.733	0.787	0.744	-0.098	-0.044
C1_10920W_A	0.94	0.835	0.925	0.819	-0.105	-0.106
C1_10930C_A	0.88	0.914	0.863	0.851	0.034	-0.012
C1_10940C_A	0.913	0.793	0.898	0.781	-0.121	-0.117
C1_10950C_A	0.991	0.855	0.981	0.793	-0.136	-0.188
C1_10960W_A	0.783	0.821	0.791	0.779	0.039	-0.012
C1_10970W_A	0.991	0.843	0.913	0.811	-0.148	-0.103
C1_10980W_A	0.871	0.921	0.83	0.811	0.05	-0.019
C1_10990C_A	0.942	0.76	0.932	0.777	-0.182	-0.155
C1_11000C_A	0.926	0.784	0.85	0.771	-0.143	-0.078
C1_11010C_A	0.977	0.801	0.94	0.787	-0.175	-0.153
C1_11020W_A	0.977	0.735	0.952	0.713	-0.242	-0.239
C1_11030W_A	0.998	0.833	0.967	0.764	-0.165	-0.203
C1_11040W_A	0.998	0.733	0.924	0.72	-0.265	-0.204
C1_11050W_A	0.945	0.781	0.943	0.693	-0.164	-0.25
C1_11060C_A	0.998	0.846	0.93	0.791	-0.152	-0.139
C1_11070W_A	0.888	0.88	0.87	0.835	-0.008	-0.034
C1_11080W_A	0.846	0.843	0.844	0.793	-0.003	-0.05
C1_11090C_A	0.94	0.879	0.915	0.834	-0.061	-0.081
C1_11100W_A	0.914	0.792	0.916	0.815	-0.121	-0.101
C1_11110C_A	0.856	0.793	0.846	0.757	-0.064	-0.088
C1_11120C_A	0.991	0.839	0.977	0.844	-0.152	-0.133
C1_11130W_A	0.878	0.903	0.83	0.858	0.024	0.028
C1_11140W_A	0.945	0.843	0.902	0.795	-0.102	-0.107
C1_11150W_A	0.913	0.742	0.863	0.741	-0.171	-0.122
C1_11160C_A	1	0.889	0.824	0.811	-0.111	-0.013
C1_11170W_A	0.913	0.791	0.905	0.806	-0.122	-0.099
C1_11190W_A	0.833	0.912	0.79	0.77	0.079	-0.02
C1_11200W_A	0.932	1	0.885	0.903	0.068	0.019
C1_11210C_A	0.945	0.905	0.882	0.888	-0.041	0.006
C1_11220C_A	0.918	0.747	0.88	0.726	-0.171	-0.154
C1_11230W_A	1	0.833	0.949	0.802	-0.167	-0.147
C1_11240C_A	0.838	0.775	0.805	0.75	-0.063	-0.055
C1_11250W_A	0.918	0.998	0.882	0.881	0.08	-0.001
C1_11260C_A	1	0.877	0.93	0.837	-0.123	-0.093
C1_11270W_A	0.991	0.709	0.956	0.717	-0.281	-0.24
C1_11280W_A	0.948	0.887	0.961	0.84	-0.061	-0.121
C1_11290W_A	0.857	0.887	0.826	0.831	0.031	0.006
C1_11300C_A	0.806	0.863	0.81	0.84	0.057	0.03
C1_11310C_A	0.909	0.864	0.808	NA	-0.045	NA
C1_11320C_A	0.998	0.968	0.938	0.811	-0.03	-0.127
C1_11330C_A	1	0.879	0.951	0.846	-0.121	-0.105
C1_11340W_A	0.784	0.942	0.741	0.895	0.157	0.154
C1_11350C_A	0.913	0.895	0.889	NA	-0.018	NA
C1_11360W_A	0.998	0.798	0.999	0.784	-0.2	-0.214
C1_11370C_A	0.921	0.774	0.899	0.707	-0.147	-0.193
C1_11380W_A	0.998	1	0.977	0.931	0.002	-0.046
C1_11390W_A	0.831	0.843	0.778	0.866	0.012	0.088
C1_11400C_A	0.991	0.846	0.975	0.818	-0.145	-0.157
C1_11410C_A	0.921	0.991	0.878	0.889	0.07	0.011
C1_11420W_A	0.998	0.967	0.958	0.873	-0.032	-0.085
C1_11430W_A	0.998	0.791	0.847	0.766	-0.207	-0.082
C1_11440C_A	0.828	0.783	0.782	0.729	-0.045	-0.053
C1_11450C_A	0.959	0.791	0.919	0.783	-0.169	-0.136
C1_11470C_A	0.854	0.839	0.825	0.733	-0.015	-0.092
C1_11480W_A	0.88	0.75	NA	0.81	-0.129	NA
C1_11490C_A	0.894	0.811	0.836	0.739	-0.082	-0.098
C1_11500C_A	0.878	0.765	0.865	NA	-0.113	NA
C1_11510C_A	0.798	0.909	0.776	0.863	0.111	0.087
C1_11520C_A	0.926	0.912	0.925	0.838	-0.015	-0.087
C1_11530C_A	0.991	0.774	0.946	0.779	-0.217	-0.167
C1_11540C_A	0.846	0.805	0.831	0.739	-0.041	-0.092
C1_11550W_A	0.977	0.861	0.952	0.783	-0.115	-0.17
C1_11560C_A	0.877	0.833	0.864	0.794	-0.044	-0.07
C1_11570W_A	0.918	0.725	0.814	0.732	-0.193	-0.082
C1_11580W_A	0.882	0.784	0.868	0.769	-0.098	-0.099
C1_11590W_A	0.95	0.783	0.877	0.754	-0.167	-0.123
C1_11600W_A	0.812	0.886	0.849	0.857	0.074	0.008
C1_11610C_A	0.94	1	0.901	0.823	0.06	-0.078
C1_11620W_A	0.866	0.651	0.775	0.658	-0.214	-0.118
C1_11630C_A	0.991	0.861	0.966	0.823	-0.13	-0.143
C1_11640C_A	0.832	0.796	0.805	0.806	-0.036	0.001
C1_11650W_A	0.922	0.926	0.872	0.853	0.004	-0.019
C1_11660W_A	0.977	0.82	0.962	0.824	-0.157	-0.137
C1_11670W_A	1	0.811	0.993	0.826	-0.189	-0.167
C1_11680C_A	0.968	0.975	0.902	0.932	0.006	0.029
C1_11690W_A	0.825	0.825	0.827	0.821	0	-0.006
C1_11700C_A	0.975	0.856	0.954	0.82	-0.118	-0.134
C1_11710C_A	0.998	0.773	0.953	0.708	-0.225	-0.245
C1_11720W_A	0.914	0.719	0.909	0.706	-0.194	-0.203
C1_11730W_A	0.829	0.764	0.819	NA	-0.064	NA
C1_11740W_A	0.968	0.829	0.945	0.717	-0.14	-0.228
C1_11750W_A	0.88	0.775	0.798	0.747	-0.105	-0.051
C1_11760C_A	0.975	0.765	0.904	0.701	-0.209	-0.203
C1_11770C_A	0.886	0.936	0.879	0.812	0.05	-0.068
C1_11790W_A	0.954	0.877	0.831	0.895	-0.077	0.063
C1_11800C_A	0.775	0.843	0.775	0.76	0.068	-0.015
C1_11810W_A	0.913	0.998	0.835	0.952	0.085	0.117
C1_11850W_A	0.871	0.81	0.806	0.724	-0.061	-0.082
C1_11860W_A	0.909	0.75	0.871	0.734	-0.159	-0.136
C1_11870W_A	0.926	0.873	0.89	0.835	-0.053	-0.055
C1_11880W_A	0.95	0.912	0.898	0.867	-0.038	-0.031
C1_11890W_A	0.871	0.806	0.843	0.799	-0.065	-0.044
C1_11900C_A	0.821	0.913	0.78	0.861	0.092	0.081
C1_11910W_A	0.948	0.87	0.888	0.827	-0.078	-0.061
C1_11920W_A	0.991	0.783	0.948	0.753	-0.208	-0.195
C1_11930W_A	0.913	0.824	0.875	NA	-0.09	NA
C1_11940C_A	0.83	0.798	0.799	0.819	-0.032	0.02
C1_11950W_A	1	0.838	0.953	0.838	-0.162	-0.116
C1_11960C_A	0.959	0.811	0.922	0.752	-0.148	-0.171
C1_11970C_A	0.975	0.942	0.935	0.93	-0.033	-0.005
C1_11980W_A	0.879	0.803	0.811	0.774	-0.076	-0.037
C1_11990W_A	0.968	0.75	0.893	0.721	-0.217	-0.172
C1_12000C_A	0.932	0.838	0.928	0.799	-0.094	-0.128
C1_12010C_A	0.932	0.774	0.849	0.797	-0.159	-0.051
C1_12020W_A	0.775	0.968	0.758	0.853	0.193	0.095
C1_12030W_A	0.998	0.866	0.957	0.757	-0.133	-0.2
C1_12040W_A	0.945	0.783	0.861	0.796	-0.162	-0.064
C1_12050W_A	0.94	0.701	0.882	0.766	-0.238	-0.116
C1_12060C_A	0.734	0.807	0.681	0.799	0.073	0.118
C1_12070C_A	0.772	0.815	0.742	0.803	0.043	0.062
C1_12080W_A	0.975	0.803	0.919	0.734	-0.172	-0.185
C1_12090C_A	0.943	0.926	0.926	0.812	-0.017	-0.115
C1_12100C_A	0.967	0.926	0.908	0.843	-0.04	-0.064
C1_12110C_A	0.855	0.998	0.811	0.981	0.143	0.17
C1_12120W_A	0.959	0.959	0.91	NA	0	NA
C1_12130C_A	0.871	0.954	0.714	0.858	0.083	0.144
C1_12140W_A	0.918	0.732	0.875	NA	-0.186	NA
C1_12150C_A	0.916	0.879	0.811	0.893	-0.037	0.082
C1_12160W_A	0.932	0.805	0.921	0.646	-0.127	-0.275
C1_12170C_A	0.998	0.877	0.966	0.781	-0.121	-0.185
C1_12180C_A	0.841	0.846	0.877	0.682	0.005	-0.195
C1_12190W_A	0.805	0.796	0.862	NA	-0.009	NA
C1_12200W_A	0.968	0.811	0.944	0.84	-0.156	-0.104
C1_12210W_A	0.878	0.857	0.818	0.807	-0.022	-0.012
C1_12220W_A	0.968	0.815	0.932	0.746	-0.153	-0.187
C1_12230W_A	0.895	0.846	0.88	0.832	-0.049	-0.048
C1_12240C_A	0.913	0.839	0.835	0.743	-0.074	-0.092
C1_12250C_A	0.998	0.861	0.965	0.81	-0.137	-0.155
C1_12260W_A	0.968	0.879	0.906	0.838	-0.089	-0.068
C1_12270W_A	0.791	0.824	0.781	0.817	0.033	0.036
C1_12280C_A	0.945	0.913	0.885	0.885	-0.032	0.001
C1_12290C_A	0.918	0.791	0.881	0.839	-0.127	-0.042
C1_12300W_A	0.651	0.738	0.633	NA	0.086	NA
C1_12310C_A	0.959	0.833	0.938	0.798	-0.126	-0.141
C1_12320C_A	0.952	0.967	0.958	0.894	0.015	-0.064
C1_12330W_A	0.991	0.954	0.958	0.893	-0.037	-0.065
C1_12340C_A	0.864	0.854	0.882	0.833	-0.01	-0.049
C1_12350W_A	0.859	0.912	0.829	0.805	0.053	-0.024
C1_12360C_A	0.886	0.835	0.895	NA	-0.051	NA
C1_12370W_A	0.954	0.856	0.895	0.855	-0.097	-0.04
C1_12380C_A	0.87	0.822	0.865	0.832	-0.048	-0.033
C1_12390C_A	1	0.834	0.923	0.769	-0.166	-0.155
C1_12400C_A	0.942	0.954	0.822	NA	0.012	NA
C1_12410C_A	0.917	0.91	0.838	0.902	-0.007	0.065
C1_12420C_A	0.758	0.831	0.764	0.687	0.073	-0.077
C1_12430W_A	0.977	0.75	0.935	0.723	-0.227	-0.211
C1_12440W_A	0.942	0.917	0.896	0.88	-0.025	-0.016
C1_12450C_A	0.889	0.968	0.875	0.898	0.079	0.023
C1_12460C_A	0.743	0.843	0.771	0.85	0.1	0.079
C1_12470W_A	0.833	0.942	0.848	0.925	0.109	0.077
C1_12480W_A	0.998	0.967	0.945	NA	-0.032	NA
C1_12490W_A	0.765	0.831	0.724	0.777	0.065	0.053
C1_12510W_A	0.952	0.94	0.895	0.935	-0.012	0.04
C1_12520W_A	0.877	0.968	0.88	0.881	0.09	0
C1_12530C_A	0.866	0.825	0.85	0.778	-0.041	-0.072
C1_12540W_A	0.752	0.793	0.768	0.801	0.04	0.033
C1_12550C_A	0.967	0.912	0.902	0.867	-0.055	-0.035
C1_12560C_A	0.835	0.87	0.816	0.752	0.035	-0.063
C1_12570C_A	0.968	0.905	0.949	0.863	-0.064	-0.086
C1_12580W_A	1	0.774	0.977	0.806	-0.226	-0.171
C1_12590W_A	0.991	1	0.938	0.918	0.009	-0.019
C1_12600C_A	0.889	0.912	0.821	0.868	0.023	0.046
C1_12610W_A	0.852	0.942	0.857	0.845	0.089	-0.012
C1_12620W_A	0.945	0.709	0.913	0.707	-0.235	-0.206
C1_12630C_A	0.945	0.945	0.873	0.916	0	0.043
C1_12640W_A	0.991	0.879	0.966	0.84	-0.112	-0.125
C1_12650C_A	0.945	0.844	0.884	0.861	-0.101	-0.023
C1_12660W_A	0.912	0.856	0.891	0.807	-0.056	-0.085
C1_12670C_A	0.821	0.767	0.852	0.72	-0.055	-0.132
C1_12680W_A	0.95	0.863	0.928	0.805	-0.086	-0.123
C1_12690C_A	0.945	0.879	0.925	0.83	-0.066	-0.095
C1_12700W_A	0.783	0.889	0.833	0.895	0.106	0.063
C1_12710C_A	0.991	0.863	0.853	0.834	-0.128	-0.019
C1_12720C_A	0.945	0.87	0.9	0.785	-0.075	-0.115
C1_12730W_A	0.857	0.825	0.866	NA	-0.032	NA
C1_12740W_A	0.991	0.87	0.959	0.873	-0.121	-0.086
C1_12750C_A	0.952	0.852	0.852	0.733	-0.1	-0.119
C1_12760W_A	0.904	0.742	0.813	0.708	-0.161	-0.105
C1_12770W_A	0.932	0.775	0.828	0.749	-0.158	-0.08
C1_12780W_A	0.821	0.932	0.839	0.908	0.112	0.069
C1_12790C_A	0.913	0.932	0.861	0.892	0.019	0.031
C1_12800W_A	0.88	0.889	0.839	0.859	0.009	0.02
C1_12810W_A	0.968	0.998	0.959	0.93	0.03	-0.029
C1_12820C_A	1	0.746	0.974	NA	-0.254	NA
C1_12830C_A	0.967	0.998	0.948	0.976	0.032	0.028
C1_12840W_A	0.851	0.991	0.805	0.876	0.139	0.071
C1_12850W_A	0.926	0.742	0.928	0.717	-0.184	-0.211
C1_12870C_A	0.885	0.743	0.828	0.796	-0.142	-0.033
C1_12880C_A	0.991	0.87	0.909	0.906	-0.121	-0.004
C1_12890W_A	0.945	0.841	0.901	0.835	-0.104	-0.066
C1_12900W_A	0.885	0.743	0.828	0.796	-0.142	-0.033
C1_12910W_A	0.954	0.991	0.913	0.942	0.037	0.029
C1_12920C_A	0.895	0.815	0.895	0.808	-0.08	-0.087
C1_12930C_A	0.877	0.775	0.804	0.732	-0.103	-0.073
C1_12940C_A	0.909	0.886	0.908	0.877	-0.023	-0.031
C1_12950W_A	0.954	0.914	0.845	0.876	-0.04	0.031
C1_12960C_A	0.917	0.857	0.912	0.774	-0.06	-0.138
C1_12970C_A	0.95	0.846	0.895	0.798	-0.104	-0.097
C1_13010W_A	0.918	0.914	0.824	0.867	-0.005	0.043
C1_13020C_A	0.998	0.912	0.903	0.903	-0.086	-0.001
C1_13030C_A	0.775	0.894	0.8	0.851	0.119	0.051
C1_13050W_A	0.95	0.82	0.964	0.757	-0.13	-0.207
C1_13060C_A	0.921	0.866	0.888	0.793	-0.055	-0.094
C1_13070C_A	0.843	0.841	0.858	0.785	-0.002	-0.073
C1_13080W_A	0.952	0.967	0.966	0.864	0.015	-0.102
C1_13090W_A	0.846	0.991	0.773	0.949	0.145	0.176
C1_13100W_A	0.904	0.775	0.89	NA	-0.129	NA
C1_13110C_A	0.916	0.917	0.918	0.892	0.001	-0.026
C1_13120C_A	0.815	0.834	0.837	NA	0.019	NA
C1_13130C_A	0.825	0.783	0.857	0.763	-0.041	-0.095
C1_13140C_A	0.932	0.998	0.93	0.963	0.066	0.033
C1_13150W_A	0.889	0.832	0.903	0.83	-0.057	-0.073
C1_13160W_A	0.844	0.8	0.856	0.789	-0.044	-0.067
C1_13170C_A	0.859	0.866	0.866	0.837	0.007	-0.029
C1_13180W_A	0.852	0.909	0.858	0.894	0.057	0.037
C1_13190W_A	0.894	0.811	0.808	0.774	-0.082	-0.034
C1_13200C_A	0.959	0.783	0.889	0.744	-0.177	-0.145
C1_13210C_A	0.742	0.912	0.784	0.871	0.169	0.087
C1_13220C_A	0.918	0.914	0.89	0.926	-0.005	0.036
C1_13240W_A	0.895	0.863	0.825	0.826	-0.032	0.002
C1_13250W_A	0.991	0.905	0.968	0.836	-0.086	-0.132
C1_13260W_A	0.932	0.815	0.913	0.762	-0.117	-0.151
C1_13270W_A	0.991	0.651	0.978	0.699	-0.34	-0.279
C1_13280C_A	0.991	0.821	0.962	0.671	-0.17	-0.291
C1_13290W_A	0.945	0.942	0.872	0.891	-0.004	0.019
C1_13300C_A	1	0.95	0.981	0.916	-0.05	-0.065
C1_13310W_A	0.834	0.945	0.71	0.949	0.111	0.24
C1_13320C_A	1	0.863	0.932	0.845	-0.137	-0.086
C1_13330C_A	0.918	0.759	0.905	0.755	-0.159	-0.15
C1_13350W_A	0.967	0.991	0.937	0.896	0.024	-0.041
C1_13360C_A	0.968	0.88	0.886	0.876	-0.088	-0.01
C1_13370W_A	0.902	0.793	0.893	NA	-0.109	NA
C1_13380W_A	0.952	0.991	0.937	0.959	0.039	0.022
C1_13390W_A	0.991	0.886	0.867	0.775	-0.105	-0.092
C1_13400C_A	0.932	0.803	0.933	0.719	-0.13	-0.214
C1_13410W_A	0.909	0.873	0.919	0.852	-0.036	-0.067
C1_13420C_A	0.913	0.861	0.858	0.784	-0.052	-0.073
C1_13430C_A	0.905	0.903	0.85	0.845	-0.002	-0.005
C1_13440C_A	0.912	0.834	0.859	0.803	-0.078	-0.056
C1_13450W_A	0.945	0.8	0.925	0.747	-0.145	-0.179
C1_13460W_A	0.945	NA	0.911	NA	NA	NA
C1_13470W_A	0.975	0.83	0.928	0.831	-0.145	-0.097
C1_13480W_A	0.932	0.801	0.934	0.815	-0.132	-0.118
C1_13490C_A	0.894	0.773	0.83	0.8	-0.121	-0.03
C1_13510C_A	0.886	0.752	0.865	0.713	-0.134	-0.152
C1_13520C_A	0.887	0.991	0.901	0.91	0.104	0.009
C1_13530W_A	0.87	0.913	0.839	0.871	0.043	0.032
C1_13540W_A	0.905	0.926	0.871	0.892	0.022	0.021
C1_13550C_A	0.877	0.724	0.87	0.784	-0.153	-0.086
C1_13560W_A	0.832	0.824	0.817	0.77	-0.008	-0.047
C1_13570W_A	0.913	0.88	0.853	0.807	-0.033	-0.046
C1_13580W_A	0.788	0.873	0.781	NA	0.085	NA
C1_13590W_A	0.991	0.796	0.92	NA	-0.195	NA
C1_13600W_A	0.864	0.796	0.833	0.734	-0.068	-0.099
C1_13610C_A	0.991	1	0.984	0.907	0.009	-0.077
C1_13620W_A	0.943	0.815	0.827	0.764	-0.128	-0.062
C1_13630W_A	0.879	0.95	0.853	0.896	0.071	0.044
C1_13640W_A	0.861	0.95	0.767	0.843	0.088	0.076
C1_13650C_A	0.921	0.767	0.891	0.713	-0.154	-0.178
C1_13660W_A	0.815	0.932	0.818	0.86	0.117	0.042
C1_13670W_A	0.998	0.793	0.958	0.673	-0.205	-0.286
C1_13680C_A	0.959	0.775	0.915	0.816	-0.185	-0.099
C1_13690C_A	1	0.807	0.939	0.759	-0.193	-0.179
C1_13700W_A	0.977	0.724	0.96	0.664	-0.253	-0.296
C1_13710C_A	1	1	0.981	0.923	0	-0.058
C1_13720W_A	0.991	0.75	0.949	0.638	-0.24	-0.311
C1_13730C_A	0.998	0.825	0.952	0.733	-0.173	-0.22
C1_13740W_A	0.968	0.903	0.872	0.875	-0.066	0.002
C1_13750C_A	1	0.991	0.961	0.952	-0.009	-0.01
C1_13760W_A	0.94	0.821	0.829	0.841	-0.118	0.012
C1_13770C_A	0.854	0.775	0.836	0.792	-0.079	-0.044
C1_13780W_A	0.959	0.902	0.937	0.886	-0.058	-0.051
C1_13790C_A	0.846	0.894	0.814	0.838	0.047	0.024
C1_13800C_A	0.975	0.684	0.971	0.618	-0.291	-0.352
C1_13810W_A	0.998	0.796	0.912	NA	-0.202	NA
C1_13820C_A	0.894	0.825	0.846	0.806	-0.068	-0.04
C1_13830C_A	0.895	0.792	0.896	0.684	-0.103	-0.212
C1_13840W_A	0.847	0.793	0.873	0.677	-0.054	-0.196
C1_13850C_A	0.95	0.75	0.923	0.736	-0.2	-0.187
C1_13860C_A	0.998	0.821	0.957	0.816	-0.178	-0.141
C1_13870W_A	0.968	0.825	0.865	0.8	-0.144	-0.066
C1_13880C_A	0.926	0.855	0.899	NA	-0.071	NA
C1_13900C_A	0.977	0.94	0.92	0.877	-0.037	-0.043
C1_13910C_A	0.959	1	0.838	0.943	0.041	0.105
C1_13920W_A	0.998	0.832	0.965	0.724	-0.166	-0.242
C1_13930W_A	0.848	0.894	0.887	0.873	0.045	-0.014
C1_13940W_A	0.909	0.936	0.874	0.864	0.027	-0.01
C1_13950C_A	0.943	0.863	0.884	0.823	-0.08	-0.061
C1_13960W_A	0.844	0.841	0.804	0.863	-0.003	0.059
C1_13970C_A	0.83	0.991	0.851	0.915	0.161	0.064
C1_13980C_A	0.959	0.765	0.831	0.65	-0.194	-0.181
C1_13990W_A	0.998	0.811	0.925	0.712	-0.187	-0.213
C1_14000C_A	0.863	0.959	0.864	0.913	0.096	0.05
C1_14010W_A	0.912	0.885	0.88	0.858	-0.026	-0.022
C1_14020W_A	0.879	0.774	0.837	0.728	-0.105	-0.109
C1_14030W_A	0.977	0.863	0.898	0.743	-0.113	-0.155
C1_14040W_A	0.833	0.95	0.819	0.867	0.117	0.048
C1_14050C_A	0.885	0.863	0.779	0.828	-0.022	0.05
C1_14060W_A	0.998	1	0.929	0.918	0.002	-0.011
C1_14080W_A	0.943	0.877	0.918	0.803	-0.066	-0.115
C1_14090W_A	0.977	NA	0.949	NA	NA	NA
C1_14100W_A	0.792	0.774	0.821	0.785	-0.019	-0.036
C1_14110C_A	0.952	0.914	0.939	0.795	-0.039	-0.143
C1_14120C_A	0.94	0.847	0.905	0.844	-0.093	-0.061
C1_14130W_A	0.998	0.819	0.973	0.787	-0.179	-0.186
C1_14140C_A	0.824	0.733	0.794	0.755	-0.091	-0.039
C1_14150C_A	0.843	0.91	0.833	0.826	0.067	-0.007
C1_14160W_A	0.831	0.798	0.811	0.765	-0.033	-0.047
C1_14170W_A	1	0.793	0.94	0.646	-0.207	-0.294
C1_14180W_A	0.863	0.861	0.868	0.805	-0.002	-0.063
C1_14190C_A	0.871	0.732	0.847	0.703	-0.139	-0.144
C1_14200W_A	0.909	0.853	0.891	0.832	-0.056	-0.059
C1_14210C_A	0.828	0.732	0.845	0.648	-0.096	-0.197
C1_14220C_A	0.95	0.831	0.848	0.783	-0.118	-0.065
C1_14230C_A	0.968	0.863	0.903	0.775	-0.105	-0.128
C1_14240W_A	0.998	0.839	0.944	0.814	-0.16	-0.13
C1_14250C_A	0.968	1	0.864	0.915	0.032	0.051
C1_14260C_A	0.945	0.848	0.892	0.782	-0.097	-0.11
C1_14270W_A	0.95	0.942	0.856	0.849	-0.008	-0.008
C1_14280C_A	1	0.746	0.937	NA	-0.254	NA
C1_14290C_A	0.967	0.833	0.849	0.836	-0.134	-0.013
C1_14300C_A	0.765	0.851	0.73	0.828	0.086	0.097
C1_14310W_A	0.948	0.792	0.899	0.72	-0.156	-0.179
C1_14320C_A	0.866	0.932	0.815	0.753	0.067	-0.063
C1_14330W_A	0.856	NA	0.828	NA	NA	NA
C1_14340C_A	0.912	0.833	0.906	0.839	-0.079	-0.067
C1_14350W_A	0.952	0.793	0.891	0.775	-0.16	-0.117
C1_14360C_A	0.903	0.91	0.74	0.87	0.007	0.129
C1_14370W_A	0.852	0.821	0.887	0.754	-0.032	-0.133
C1_14380C_A	0.854	0.912	0.839	0.868	0.058	0.029
C1_14390W_A	0.967	0.811	0.933	0.829	-0.155	-0.105
C1_14400C_A	0.834	0.943	0.807	0.843	0.109	0.036
C1_14410W_A	0.959	0.733	0.888	0.633	-0.226	-0.254
C1_14420W_A	0.998	0.824	0.96	0.766	-0.174	-0.193
C1_14430C_A	0.943	0.77	0.89	0.779	-0.173	-0.11
C1_14440C_A	0.967	0.782	0.912	0.707	-0.184	-0.205
C1_14450C_A	0.887	0.878	0.867	0.772	-0.009	-0.095
C1_14460W_A	0.94	0.852	0.869	0.783	-0.088	-0.086
C1_14470W_A	0.943	0.853	0.933	0.779	-0.09	-0.154
C1_14480W_A	0.733	0.859	0.645	0.836	0.125	0.191
C1_14490C_A	0.998	0.796	0.973	NA	-0.202	NA
C1_14500C_A	0.943	0.95	0.886	0.819	0.006	-0.067
C1_14520W_A	0.793	0.817	0.729	0.754	0.025	0.025
C1_14530W_A	0.864	0.75	0.825	0.7	-0.114	-0.125
C1_14550C_A	0.968	0.968	0.939	0.948	0.001	0.009
C1_14560C_A	0.851	0.75	0.802	NA	-0.102	NA
C1_14570C_A	0.903	0.942	0.889	0.865	0.039	-0.024
C1_14580C_A	0.725	0.752	0.714	0.746	0.027	0.032
C1_14590C_A	0.88	0.945	0.75	0.855	0.065	0.105
C2_00010W_A	0.943	0.91	0.851	0.882	-0.033	0.032
C2_00030W_A	0.878	0.921	0.836	0.905	0.042	0.069
C2_00050C_A	0.91	0.773	0.883	0.739	-0.137	-0.144
C2_00060C_A	0.735	0.764	0.759	NA	0.029	NA
C2_00070C_A	0.879	0.959	0.895	0.932	0.08	0.036
C2_00080C_A	0.91	0.793	0.845	0.717	-0.116	-0.128
C2_00090W_A	0.95	0.894	0.9	0.85	-0.056	-0.05
C2_00100C_A	0.967	0.752	0.915	0.738	-0.215	-0.177
C2_00110W_A	0.977	0.936	0.914	0.859	-0.041	-0.055
C2_00120C_A	0.825	0.913	0.8	0.847	0.088	0.047
C2_00130W_A	0.761	NA	0.822	NA	NA	NA
C2_00140W_A	0.828	0.752	0.839	0.76	-0.076	-0.079
C2_00150W_A	0.859	0.91	0.767	0.887	0.051	0.12
C2_00160C_A	0.948	0.959	0.934	0.908	0.011	-0.026
C2_00170C_A	0.783	0.805	0.784	0.787	0.023	0.003
C2_00180C_A	0.959	0.816	0.925	0.731	-0.143	-0.194
C2_00190C_A	0.821	0.856	0.839	0.839	0.035	-0
C2_00200W_A	0.765	0.803	0.744	0.739	0.037	-0.004
C2_00210W_A	0.967	0.791	0.917	0.702	-0.176	-0.216
C2_00220C_A	0.936	0.864	0.846	0.818	-0.072	-0.028
C2_00230W_A	0.853	0.775	0.772	0.811	-0.078	0.04
C2_00240C_A	0.926	0.968	0.807	0.837	0.042	0.03
C2_00250W_A	0.936	0.889	0.932	0.828	-0.047	-0.104
C2_00260C_A	0.991	0.82	0.929	0.753	-0.171	-0.176
C2_00270C_A	0.857	0.767	0.855	0.753	-0.09	-0.102
C2_00280C_A	0.822	0.879	0.761	0.734	0.057	-0.027
C2_00290W_A	1	0.773	0.884	0.723	-0.227	-0.16
C2_00300C_A	0.952	0.863	0.933	0.887	-0.089	-0.046
C2_00310W_A	0.917	0.833	0.817	0.749	-0.084	-0.068
C2_00320W_A	0.991	0.691	0.932	0.721	-0.299	-0.211
C2_00330C_A	0.878	0.921	0.884	0.919	0.042	0.034
C2_00340C_A	0.968	0.843	0.894	0.819	-0.125	-0.075
C2_00350W_A	0.913	0.793	0.852	0.742	-0.121	-0.11
C2_00360C_A	0.945	0.975	0.892	0.86	0.03	-0.032
C2_00370W_A	0.856	0.793	0.792	NA	-0.064	NA
C2_00380C_A	0.926	0.785	0.874	0.735	-0.142	-0.139
C2_00390C_A	0.945	0.952	0.887	0.839	0.007	-0.047
C2_00400C_A	0.921	0.714	0.915	0.636	-0.207	-0.278
C2_00410C_A	0.775	0.824	0.803	0.778	0.049	-0.025
C2_00420W_A	0.873	0.83	0.828	0.853	-0.043	0.024
C2_00430C_A	0.952	1	0.898	0.837	0.048	-0.061
C2_00440W_A	0.764	0.894	0.773	0.878	0.129	0.104
C2_00450C_A	0.968	0.912	0.901	0.844	-0.057	-0.057
C2_00460W_A	0.914	0.791	0.912	0.807	-0.123	-0.106
C2_00470W_A	0.871	0.811	0.84	0.734	-0.059	-0.106
C2_00480C_A	0.846	0.718	0.841	0.673	-0.127	-0.168
