# scores_kozak_Sp.txt
# Scores of ATG context against Kozak sequence, S. pombe 972h-
# Kozak sequence derived from 256 highest-translated genes by RPF
#
# Gene: Sp systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	d1vsan
SPAC24C9.14	0.847	0.811	-0.036
SPAC24C9.15c	0.924	0.828	-0.096
SPAC16A10.01	0.763	0.874	0.11
SPAC16A10.03c	0.713	0.795	0.082
SPAC18B11.04	0.96	0.956	-0.005
SPAC16A10.02	0.939	0.842	-0.097
SPAC16A10.04	0.949	0.821	-0.128
SPAC16A10.05c	0.884	0.939	0.055
SPAC16A10.06c	0.805	0.95	0.145
SPAC16A10.07c	0.706	0.932	0.226
SPAC18B11.03c	0.89	0.841	-0.05
SPAC16A10.08c	0.941	0.845	-0.096
SPAC589.02c	0.771	0.939	0.168
SPAC589.03c	0.899	0.867	-0.032
SPAC589.04	0.867	0.932	0.065
SPAC589.05c	0.891	0.96	0.069
SPAC589.06c	0.932	0.769	-0.164
SPAC589.07c	1	0.748	-0.252
SPAC589.09	0.806	0.839	0.032
SPAC589.08c	0.958	0.932	-0.026
SPAC589.10c	1	0.874	-0.126
SPAC589.11	0.932	0.753	-0.18
SPAC589.12	0.829	0.828	-0.001
SPAC688.02c	0.772	0.821	0.049
SPAC688.03c	0.862	0.795	-0.067
SPAC688.04c	0.868	0.688	-0.18
SPAC688.06c	0.74	0.859	0.119
SPAC688.07c	0.771	0.86	0.089
SPAC18B11.02c	0.738	0.84	0.102
SPAC688.08	0.763	0.763	0.001
SPAC688.09	0.739	0.829	0.09
SPAC688.10	0.739	0.702	-0.037
SPAC688.11	0.926	0.797	-0.129
SPAC688.12c	0.916	0.748	-0.167
SPAC688.13	0.89	0.771	-0.119
SPAC688.14	0.82	0.777	-0.043
SPAC12G12.16c	0.764	0.714	-0.05
SPAC688.16	0.949	0.79	-0.159
SPAC3G9.16c	0.84	0.753	-0.088
SPAC3G9.15c	0.956	0.859	-0.097
SPAC3G9.14	0.823	0.868	0.045
SPAC3G9.13c	0.907	0.884	-0.022
SPAC3G9.12	0.764	0.867	0.103
SPAC12G12.15	0.748	0.885	0.136
SPAC3G9.11c	0.859	0.802	-0.057
SPAC3G9.17	0.928	0.789	-0.139
SPAC3G9.10c	0.778	0.928	0.15
SPAC3G9.09c	0.99	0.917	-0.073
SPAC3G9.08	0.931	0.772	-0.159
SPAC3G9.07c	0.859	0.769	-0.09
SPAC3G9.06	0.91	0.99	0.08
SPAC3G9.05	0.905	0.777	-0.128
SPAC3G9.04	0.931	0.856	-0.076
SPAC3G9.03	0.926	0.877	-0.049
SPAC3G9.02	0.788	0.828	0.04
SPAC3G9.01	0.874	0.82	-0.053
SPAC1486.01	0.916	0.769	-0.147
SPAC12G12.14c	0.91	0.932	0.023
SPAC1486.02c	0.9	0.958	0.059
SPAC1486.03c	0.827	1	0.173
SPAC1486.04c	0.932	0.893	-0.04
SPAC1486.05	0.82	0.795	-0.025
SPAC1486.11	0.916	0.889	-0.027
SPAC1486.06	0.876	0.934	0.058
SPAC1486.07c	0.769	0.763	-0.006
SPAC977.07c	0.89	0.732	-0.159
SPAC12G12.13c	0.879	0.99	0.111
SPAC1486.08	0.95	0.77	-0.18
SPAC1486.09	1	0.759	-0.241
SPAC1486.10	0.879	0.779	-0.1
SPAC6G10.02c	0.831	0.877	0.047
SPAC6G10.03c	0.865	0.763	-0.101
SPAC6G10.04c	0.949	0.949	0
SPAC6G10.05c	0.793	0.82	0.027
SPAC6G10.06	0.939	0.917	-0.022
SPAC6G10.07	1	0.88	-0.12
SPAC6G10.08	0.949	0.732	-0.217
SPAC6G10.09	0.916	0.887	-0.03
SPAC6G10.10c	0.924	0.795	-0.129
SPAC6G10.11c	0.859	0.898	0.04
SPAC6G10.12c	0.898	0.823	-0.076
SPAC6G9.01c	0.951	0.811	-0.139
SPAC6G9.02c	1	0.916	-0.084
SPAC6G9.03c	0.77	0.916	0.146
SPAC6G9.04	0.867	0.844	-0.022
SPAC12G12.12	1	0.84	-0.16
SPAC6G9.05	0.88	0.934	0.054
SPAC6G9.06c	0.819	0.951	0.132
SPAC6G9.07c	0.88	0.87	-0.011
SPAC6G9.08	0.753	0.852	0.099
SPAC6G9.09c	0.926	0.695	-0.232
SPAC6G9.10c	0.869	0.78	-0.089
SPAC6G9.11	0.866	0.828	-0.038
SPAC6G9.12	0.95	0.74	-0.21
SPAC6G9.13c	1	0.738	-0.262
SPAC12G12.11c	0.853	0.874	0.021
SPAC6G9.14	0.835	0.763	-0.072
SPAC6G9.15c	0.805	0.878	0.074
SPAC6G9.16c	0.779	0.699	-0.079
SPAPB1E7.01c	0.835	0.689	-0.146
SPAC652.01	1	0.793	-0.207
SPAPB1E7.02c	0.84	0.868	0.027
SPAPB1E7.03	0.842	0.866	0.024
SPAPB1E7.04c	1	0.932	-0.068
SPAPB1E7.05	0.928	0.88	-0.048
SPAC12G12.10	0.751	0.82	0.068
SPAPB1E7.06c	0.739	0.713	-0.026
SPAPB1E7.07	0.99	0.755	-0.235
SPAPB1E7.08c	0.99	0.771	-0.219
SPAPB1E7.09	0.95	0.744	-0.206
SPAPB1E7.11c	0.915	0.783	-0.132
SPAPB1E7.10	1	0.796	-0.204
SPAPB1E7.12	0.926	0.753	-0.174
SPAPB1E7.14	0.746	0.81	0.064
SPAC12G12.09	0.899	0.804	-0.095
SPAC2E1P5.01c	0.931	0.84	-0.091
SPAC2E1P5.02c	0.781	NA	NA
SPAC2E1P5.03	0.861	0.713	-0.148
SPAC2E1P5.04c	0.795	0.872	0.077
SPAC2E1P5.05	0.875	0.835	-0.04
SPAC26A3.01	0.899	0.949	0.05
SPAC26A3.02	0.783	0.907	0.124
SPAC26A3.03c	0.84	0.86	0.02
SPAC26A3.04	0.932	0.901	-0.032
SPAC26A3.05	0.99	0.811	-0.179
SPAC12G12.17	0.893	0.872	-0.021
SPAC26A3.06	0.893	0.916	0.023
SPAC26A3.07c	0.96	0.744	-0.217
SPAC26A3.08	1	0.99	-0.01
SPAC26A3.09c	0.829	0.951	0.122
SPAC26A3.10	0.827	0.706	-0.12
SPAC26A3.12c	0.99	0.84	-0.15
SPAC26A3.11	0.771	0.91	0.138
SPAC26A3.13c	0.916	0.771	-0.145
SPAC26A3.14c	0.874	0.721	-0.152
SPAC26A3.15c	0.828	0.869	0.041
SPAC12G12.08	0.88	0.744	-0.136
SPAC26A3.16	0.968	0.811	-0.157
SPAC26A3.17c	0.95	0.721	-0.228
SPAC8E11.10	0.941	0.737	-0.204
SPAC8E11.12	0.727	0.96	0.234
SPAC8E11.08c	0.95	0.81	-0.139
SPAC8E11.07c	0.884	0.81	-0.074
SPAC8E11.06	0.72	0.875	0.155
SPAC8E11.05c	0.784	0.893	0.109
SPAC12G12.07c	0.924	0.838	-0.086
SPAC8E11.04c	0.89	0.782	-0.108
SPAC8E11.03c	0.844	0.778	-0.067
SPAC8E11.02c	0.99	0.893	-0.097
SPAC8E11.01c	0.789	0.866	0.078
SPAC959.02	0.756	0.804	0.047
SPAC959.03c	0.89	0.81	-0.081
SPAC959.04c	0.839	0.86	0.021
SPAC959.11	0.918	0.84	-0.078
SPAC12G12.06c	0.83	0.867	0.037
SPAC959.10	0.837	0.916	0.079
SPAC959.05c	0.861	0.966	0.105
SPAC959.06c	0.737	0.748	0.011
SPAC959.07	0.884	0.759	-0.124
SPAC959.08	0.884	0.817	-0.067
SPAC959.09c	0.924	0.855	-0.069
SPAP32A8.02	1	0.869	-0.131
SPAP32A8.03c	0.849	0.746	-0.103
SPAC977.08	0.865	0.907	0.042
SPAC12G12.05c	0.9	0.82	-0.079
SPAC3H5.12c	1	0.916	-0.084
SPAC3H5.11	0.772	0.748	-0.023
SPAC3H5.13	0.788	0.789	0.001
SPAC3H5.10	0.918	0.9	-0.019
SPAC3H5.09c	0.774	0.916	0.142
SPAC3H5.08c	0.732	0.779	0.047
SPAC3H5.07	0.932	0.702	-0.231
SPAC3H5.06c	0.859	0.932	0.073
SPAC3H5.04	0.891	0.706	-0.185
SPAC3H5.05c	1	0.744	-0.256
SPAC12G12.04	0.941	0.818	-0.123
SPAC3A11.14c	0.823	0.893	0.07
SPAC3A11.13	0.918	0.759	-0.159
SPAC3A11.12c	0.837	0.931	0.094
SPAC3A11.11c	0.915	0.79	-0.124
SPAC3A11.10c	0.96	0.811	-0.149
SPAC3A11.09	0.849	0.763	-0.086
SPAC3A11.08	0.784	0.865	0.081
SPAC3A11.07	0.816	0.835	0.02
SPAC3A11.06	0.753	0.874	0.121
SPAC3A11.05c	1	0.872	-0.128
SPAC3A11.04	0.875	0.816	-0.059
SPAC3A11.03	0.798	0.747	-0.051
SPAC3A11.02	0.99	0.99	0
SPAC328.01c	0.724	0.74	0.016
SPAC328.02	0.91	0.859	-0.052
SPAC12G12.03	0.877	0.783	-0.095
SPAC328.03	0.949	0.706	-0.243
SPAC328.04	0.99	0.778	-0.212
SPAC328.05	0.805	0.867	0.062
SPAC328.06	0.835	0.749	-0.086
SPAC328.07c	0.763	0.859	0.096
SPAC328.08c	0.99	0.878	-0.112
SPAC328.09	0.932	0.789	-0.144
SPAC328.10c	0.918	0.699	-0.219
SPAC12G12.02	0.835	0.898	0.063
SPAC16E8.01	0.863	0.809	-0.054
SPAC16E8.02	0.918	0.862	-0.056
SPAC16E8.03	0.861	0.91	0.049
SPAC16E8.04c	0.924	0.746	-0.178
SPAC16E8.05c	0.918	0.806	-0.112
SPAC16E8.06c	0.838	0.874	0.036
SPAC16E8.07c	0.949	0.84	-0.109
SPAC16E8.08	0.855	0.877	0.023
SPAC16E8.09	0.809	0.951	0.142
SPAC16E8.10c	0.795	0.748	-0.046
SPAC16E8.11c	0.731	0.95	0.219
SPAC16E8.18	0.746	0.814	0.068
SPAC16E8.12c	0.853	0.932	0.08
SPAC16E8.13	0.747	0.739	-0.008
SPAC16E8.14c	0.907	0.845	-0.062
SPAC12G12.01c	0.849	0.835	-0.014
SPAC16E8.15	0.924	0.724	-0.2
SPAC16E8.16	0.924	0.817	-0.107
SPAC16E8.17c	0.951	0.763	-0.188
SPAC16E8.18c	0.77	0.835	0.065
SPAC1B1.01	0.72	0.884	0.165
SPAC1B1.02c	0.753	0.81	0.057
SPAC1B1.03c	0.951	0.781	-0.17
SPAC1B1.04c	0.99	0.74	-0.251
SPAC630.04c	0.99	0.78	-0.21
SPAC17A2.01	0.9	0.968	0.069
SPAC17A2.02c	0.934	0.837	-0.097
SPAC17A2.03c	0.844	0.74	-0.105
SPAC17A2.04c	0.939	0.99	0.051
SPAC17A2.05	0.99	0.805	-0.185
SPAC17A2.06c	0.9	0.856	-0.044
SPAC17A2.07c	0.838	0.84	0.002
SPAC630.03	0.884	0.763	-0.121
SPAC17A2.08c	0.968	0.898	-0.07
SPAC17A2.09c	0.822	0.932	0.11
SPAC17A2.10c	0.721	0.746	0.025
SPAC17A2.11	0.845	0.728	-0.117
SPAC17A2.12	0.91	1	0.09
SPAC17A2.13c	0.939	0.918	-0.021
SPAC630.06c	0.842	0.879	0.037
SPAC17A2.14	0.88	1	0.12
SPAC17G6.02c	0.884	0.932	0.048
SPAC17G6.03	0.84	0.847	0.006
SPAC17G6.04c	0.951	0.74	-0.211
SPAC17G6.05c	0.867	0.811	-0.056
SPAC17G6.06	0.949	0.695	-0.254
SPAC17G6.07c	0.95	0.83	-0.12
SPAC212.08c	0.958	0.713	-0.246
SPAC977.09c	0.844	0.728	-0.116
SPAC630.05	0.82	0.81	-0.01
SPAC17G6.08	0.865	1	0.135
SPAC17G6.09	0.726	0.77	0.044
SPAC17G6.10	0.966	0.958	-0.008
SPAC17G6.11c	0.859	0.891	0.032
SPAC17G6.12	0.746	0.939	0.193
SPAC17G6.13	0.941	0.823	-0.118
SPAC17G6.14c	0.968	0.719	-0.249
SPAC17G6.15c	0.966	0.856	-0.11
SPAC630.07c	0.835	0.731	-0.104
SPAC17G6.16c	0.951	0.724	-0.227
SPAC17G6.17	0.95	0.789	-0.161
SPAC1142.01	0.739	0.731	-0.008
SPAC1142.02c	0.932	0.838	-0.094
SPAC1142.03c	0.769	0.779	0.01
SPAC1142.04	0.837	0.753	-0.085
SPAC1142.05	1	0.91	-0.09
SPAC1142.06	0.95	0.95	0
SPAC1142.07c	0.95	0.91	-0.04
SPAC1142.08	0.803	0.99	0.187
SPAC1142.09	0.727	0.788	0.061
SPAC8C9.03	0.887	0.754	-0.133
SPAC8C9.04	0.881	0.99	0.109
SPAC8C9.05	0.958	0.822	-0.136
SPAC8C9.06c	0.79	0.811	0.021
SPAC630.08c	0.89	0.829	-0.061
SPAC8C9.07	0.867	0.817	-0.049
SPAC8C9.08	0.96	0.774	-0.186
SPAC8C9.09c	0.78	0.793	0.013
SPAC8C9.10c	0.951	0.804	-0.147
SPAC8C9.11	0.958	0.805	-0.154
SPAC8C9.19	1	0.797	-0.203
SPAC8C9.12c	0.89	0.759	-0.131
SPAC8C9.14	0.893	0.968	0.075
SPAC8C9.15c	0.928	0.789	-0.139
SPAC8C9.16c	0.878	0.83	-0.049
SPAC15A10.01	0.99	0.916	-0.074
SPAC8C9.17c	0.862	0.779	-0.084
SPAC15A10.02	0.932	0.779	-0.153
SPAC15A10.03c	0.763	0.849	0.086
SPAC15A10.04c	0.817	0.827	0.009
SPAC15A10.05c	0.932	0.699	-0.233
SPAC15A10.17	0.77	0.774	0.004
SPAC15A10.06	0.771	0.862	0.091
SPAC630.15	0.861	0.69	-0.171
SPAC15A10.07	0.875	0.754	-0.121
SPAC15A10.08	0.724	0.828	0.104
SPAC15A10.09c	1	0.778	-0.222
SPAC15A10.10	0.822	0.738	-0.084
SPAC15A10.11	0.732	0.875	0.143
SPAC630.09c	0.881	0.803	-0.078
SPAC15A10.12c	0.829	0.804	-0.025
SPAC15A10.13	0.931	0.828	-0.103
SPAC15A10.15	0.891	0.932	0.041
SPAC15A10.16	0.835	0.899	0.064
SPAC15E1.02c	0.918	0.797	-0.121
SPAC15E1.03	0.99	0.819	-0.171
SPAC15E1.04	0.949	0.707	-0.242
SPAC15E1.05c	0.918	0.69	-0.228
SPAC15E1.06	0.769	0.778	0.009
SPAC15E1.07c	0.753	0.931	0.179
SPAC15E1.08	0.96	0.755	-0.205
SPAC15E1.09	0.878	0.702	-0.177
SPAC15E1.10	0.842	0.99	0.148
SPAP7G5.02c	0.91	0.67	-0.239
SPAC630.10	0.739	0.874	0.135
SPAP7G5.03	0.82	0.89	0.071
SPAP7G5.04c	1	0.916	-0.084
SPAP7G5.05	0.966	0.756	-0.21
SPAP7G5.06	0.856	0.867	0.011
SPAC630.11	0.939	0.753	-0.186
SPAC630.12	0.893	0.713	-0.18
SPAP4C9.02	0.878	0.862	-0.016
SPAC1556.01c	0.95	0.917	-0.033
SPAC1556.02c	0.891	0.99	0.099
SPAC1556.03	0.838	0.779	-0.059
SPAC630.13c	0.823	0.724	-0.099
SPAC1556.04c	0.99	0.69	-0.3
SPAC1556.05c	0.966	0.746	-0.22
old_SPAC1556.06.2%2CSPAC1556.06	0.939	0.731	-0.208
SPAC1556.07	1	0.706	-0.294
SPAC1556.08c	0.77	0.876	0.106
SPAC1F12.02c	0.934	0.879	-0.055
SPAC1F12.03c	0.81	0.939	0.13
SPAC1F12.04c	0.939	0.771	-0.168
SPAC1F12.05	0.96	0.885	-0.075
SPAC630.14c	0.786	0.772	-0.014
SPAC1F12.06c	0.84	0.931	0.091
SPAC1F12.07	1	0.843	-0.157
SPAC1F12.08	0.931	0.822	-0.109
SPAC1F12.09	0.839	0.866	0.028
SPAC1F12.10c	0.931	0.884	-0.047
SPAC4H3.01	0.956	0.865	-0.091
SPAC4H3.17	0.878	0.771	-0.107
SPAC4H3.02c	0.879	0.814	-0.065
SPAC1751.01c	0.732	0.731	-0.001
SPAC4H3.03c	0.95	0.719	-0.231
SPAC4H3.04c	0.739	0.779	0.04
SPAC4H3.05	0.88	0.789	-0.091
SPAC4H3.16	0.833	0.951	0.117
SPAC4H3.06	0.814	0.868	0.054
SPAC4H3.07c	0.941	0.781	-0.16
SPAC4H3.08	0.95	0.99	0.04
SPAC1751.04	0.932	0.867	-0.065
SPAC4H3.09	0.95	0.781	-0.169
SPAC4H3.10c	0.951	0.884	-0.066
SPAC4H3.11c	0.699	0.795	0.096
SPAC4H3.12c	0.799	0.763	-0.035
SPAC4H3.13	0.95	0.918	-0.031
SPAC4H3.14c	0.99	0.901	-0.089
SPAC1751.02c	0.789	0.884	0.096
SPAC1071.01c	0.744	0.99	0.246
SPAC1071.02	0.893	0.877	-0.016
SPAC1071.03c	0.788	0.949	0.161
SPAC1071.04c	0.99	0.99	0
SPAC1071.05	0.939	0.753	-0.186
SPAC1071.06	0.916	0.796	-0.121
SPAC1071.07c	0.934	0.756	-0.178
SPAC1071.09c	0.746	0.777	0.032
SPAC1751.03	0.879	0.776	-0.103
SPAC1071.08	0.99	0.774	-0.216
SPAC1071.10c	0.905	0.884	-0.021
SPAC1071.13	0.918	0.688	-0.231
SPAC1071.11	0.724	0.763	0.039
SPAC1071.12c	0.905	0.688	-0.217
SPAC31A2.02	0.907	0.99	0.083
SPAC926.02	0.868	0.765	-0.102
SPAC926.10	0.756	0.84	0.084
SPAC926.03	0.916	0.951	0.034
SPAC926.04c	1	0.706	-0.294
SPAC926.05c	0.789	0.951	0.162
SPAC926.06c	1	0.797	-0.203
SPAC926.07c	0.764	0.877	0.113
SPAC926.08c	0.916	0.99	0.074
SPAC926.09c	0.9	0.719	-0.18
SPAC323.01c	0.77	0.811	0.041
SPAC323.02c	0.99	0.695	-0.295
SPAC323.03c	0.88	0.744	-0.136
SPAC323.04	0.885	0.783	-0.102
SPAC323.05c	0.786	0.96	0.175
SPAC323.06c	0.816	0.932	0.117
SPAC323.07c	0.88	0.849	-0.031
SPAC31A2.03	1	0.839	-0.161
SPAC323.08	0.877	0.876	-0.001
SPAC2F3.01	0.9	0.861	-0.039
SPAC2F3.17c	0.874	0.82	-0.053
SPAC2F3.02	0.748	0.706	-0.042
SPAC2F3.03c	0.795	0.763	-0.032
SPAC2F3.04c	0.958	0.811	-0.147
SPAC2F3.05c	0.89	0.956	0.066
SPAC2F3.06c	0.91	0.835	-0.075
SPAC2F3.08	0.939	0.765	-0.174
SPAC2F3.07c	0.822	0.829	0.007
SPAC31A2.04c	0.853	0.859	0.006
SPAC2F3.09	0.931	0.695	-0.237
SPAC2F3.18c	0.799	0.764	-0.035
SPAC2F3.10	0.783	0.782	-0.001
SPAC2F3.11	0.916	0.822	-0.094
old_SPAC2F3.13c%2CSPAC2F3	0.764	0.898	0.134
SPAC2F3.14c	0.99	0.884	-0.106
SPAC31A2.05c	0.724	0.889	0.165
SPAC2F3.15	0.822	0.869	0.047
SPAC2F3.16	0.731	0.81	0.079
SPAC11G7.01	0.932	0.787	-0.145
SPAC11G7.02	0.794	0.713	-0.081
SPAC11G7.03	0.941	0.856	-0.085
SPAC11G7.04	0.9	0.898	-0.001
SPAC11G7.05c	0.849	0.958	0.109
SPAC11G7.06c	0.881	0.821	-0.06
SPAC31A2.06	0.99	0.905	-0.085
SPAPB18E9.01	0.837	0.949	0.112
SPAPB18E9.02c	0.746	0.802	0.056
SPAPB18E9.04c	0.829	0.753	-0.076
SPAPB18E9.05c	0.81	0.779	-0.03
SPAPB15E9.01c	0.916	0.689	-0.227
SPAPB15E9.02c	0.754	0.835	0.081
SPAPB15E9.06	0.878	0.806	-0.072
SPAC31A2.07c	0.822	0.932	0.11
SPAPB15E9.03c	0.916	0.771	-0.145
SPAC27E2.01	0.778	0.777	-0.001
SPAC27E2.02	0.84	0.931	0.091
SPAC27E2.03c	0.9	0.795	-0.105
SPAC27E2.11c	1	0.934	-0.066
SPAC27E2.13	0.804	0.756	-0.047
SPAC27E2.04c	0.738	0.877	0.139
SPAC27E2.12	0.83	0.788	-0.042
SPAC31A2.09c	0.756	0.813	0.057
SPAC27E2.14	0.918	NA	NA
SPAC27E2.05	0.9	0.99	0.09
SPAC27E2.06c	0.96	0.737	-0.223
SPAC27E2.07	0.99	0.884	-0.106
SPAC27E2.08	0.916	0.771	-0.145
SPAC27E2.09	0.838	0.823	-0.015
SPAC27E2.10c	0.885	0.844	-0.041
SPAPJ698.02c	1	0.771	-0.229
SPAPJ698.03c	0.879	0.88	0.001
SPAC19G12.01c	0.879	0.739	-0.14
SPAC31A2.08	0.939	0.819	-0.12
SPAC19G12.02c	0.816	0.939	0.123
SPAC19G12.03	0.931	0.728	-0.203
SPAC19G12.04	0.958	0.811	-0.147
SPAC19G12.05	0.874	0.867	-0.007
SPAC19G12.06c	0.875	0.88	0.005
SPAC19G12.07c	0.872	0.732	-0.141
SPAC19G12.08	1	0.876	-0.124
SPAC19G12.09	0.968	0.793	-0.175
SPAC31A2.10	0.958	0.818	-0.14
SPAC19G12.10c	0.96	0.746	-0.214
SPAC19G12.17	0.87	0.754	-0.116
SPAC19G12.11	0.79	0.862	0.072
SPAC19G12.12	0.867	0.99	0.123
SPAC19G12.13c	0.95	0.779	-0.171
SPAC19G12.14	0.81	0.695	-0.116
SPAC19G12.15c	0.828	0.817	-0.011
SPAC19G12.16c	0.918	0.763	-0.155
SPAC23A1.02c	0.931	0.84	-0.091
SPAC23A1.03	0.95	0.891	-0.059
SPAC31A2.11c	1	0.95	-0.05
SPAC23A1.04c	0.822	0.865	0.043
SPAC23A1.05	0.89	0.823	-0.068
SPAC23A1.06c	0.968	0.746	-0.223
SPAC23A1.07	0.966	0.774	-0.192
SPAC23A1.08c	0.99	0.702	-0.288
SPAC23A1.09	0.931	0.751	-0.18
SPAC23A1.10	1	0.916	-0.084
SPAC23A1.11	0.966	0.744	-0.222
SPAC23A1.12c	0.861	0.724	-0.137
SPAC31A2.12	0.879	0.932	0.053
SPAC23A1.14c	0.835	0.81	-0.024
SPAC23A1.15c	0.748	0.789	0.041
SPAC23A1.16c	0.868	0.99	0.123
SPAC23A1.17	0.926	0.755	-0.171
SPAC23A1.18c	0.939	0.827	-0.112
SPAC23A1.19c	0.802	0.77	-0.032
SPAC26H5.02c	0.917	0.842	-0.075
SPAC26H5.03	0.901	0.876	-0.024
SPAC31A2.13c	0.891	0.779	-0.112
SPAC26H5.04	0.779	0.867	0.088
SPAC26H5.05	0.96	0.721	-0.239
SPAC26H5.06	0.875	0.739	-0.136
SPAC26H5.07c	1	0.771	-0.229
SPAC26H5.08c	0.99	0.793	-0.197
SPAC977.10	0.865	0.789	-0.076
SPAC31A2.14	0.739	0.759	0.021
SPAC26H5.09c	0.838	0.763	-0.075
SPAC26H5.10c	0.99	0.813	-0.177
SPAC26H5.11	0.878	0.779	-0.099
SPAC26H5.12	0.788	0.823	0.035
SPAC26H5.13c	0.89	0.778	-0.112
SPAC25B8.01	0.934	0.907	-0.027
SPAC31A2.15c	0.822	0.728	-0.094
SPAC25B8.02	0.838	0.898	0.06
SPAC25B8.03	0.958	0.872	-0.086
SPAC25B8.04c	0.759	0.779	0.019
SPAC25B8.05	0.746	0.939	0.193
SPAC25B8.06c	0.731	0.861	0.13
SPAC25B8.07c	0.748	0.856	0.107
SPAC25B8.20	0.907	0.862	-0.044
SPAC25B8.08	0.755	0.844	0.089
SPAC31A2.16	0.884	0.926	0.042
SPAC25B8.09	0.82	0.845	0.026
SPAC25B8.10	0.951	0.771	-0.18
SPAC25B8.11	0.804	0.956	0.152
SPAC25B8.12c	0.951	0.829	-0.122
SPAC25B8.13c	0.941	0.866	-0.076
SPAC25B8.14	0.812	0.859	0.046
SPAC25B8.15c	0.739	0.823	0.084
SPAC25B8.16	0.878	0.713	-0.165
SPAC13C5.01c	0.89	0.881	-0.009
SPAC25B8.17	0.951	0.928	-0.022
SPAC25B8.18	0.95	0.754	-0.196
SPAC25B8.19c	0.82	0.918	0.098
SPAC683.03	0.799	0.99	0.191
SPAC683.02c	0.99	0.958	-0.032
SPAC694.02	0.88	0.789	-0.092
SPAC694.03	0.939	0.939	0
SPAC13C5.02	0.814	0.749	-0.064
SPAC694.04c	0.918	0.732	-0.187
SPAC694.05c	1	0.918	-0.082
SPAC694.06c	0.777	0.713	-0.064
SPAC1F7.01c	0.835	0.835	-0
SPAC1F7.02c	0.96	0.802	-0.158
SPAC1F7.03	1	0.732	-0.268
SPAC1F7.14c	0.748	NA	NA
SPAC1F7.04	0.796	0.821	0.026
SPAC1F7.05	0.926	0.769	-0.158
SPAC13C5.03	0.753	0.746	-0.007
SPAC1F7.06	0.99	0.74	-0.251
SPAC1F7.07c	0.884	0.774	-0.11
SPAC1F7.08	0.891	0.79	-0.101
SPAC1F7.09c	0.932	0.713	-0.219
SPAC1F7.10	0.795	0.879	0.084
SPAC1F7.11c	0.822	0.849	0.027
SPAC1F7.12	0.918	0.707	-0.211
SPAC1F7.13c	0.918	0.795	-0.123
SPAC21E11.03c	0.91	0.706	-0.204
SPAC21E11.04	0.968	0.806	-0.162
SPAC21E11.05c	0.835	0.69	-0.146
SPAC21E11.06	0.731	0.867	0.136
SPAC21E11.07	0.827	0.706	-0.12
SPAC21E11.08	0.99	0.764	-0.226
SPAC2C4.03c	0.77	0.881	0.111
SPAC13C5.04	0.932	0.835	-0.097
SPAC2C4.04c	0.867	0.789	-0.079
SPAC2C4.05	1	0.769	-0.231
SPAC2C4.06c	0.877	0.9	0.022
SPAC2C4.07c	0.856	1	0.144
SPAC2C4.08	0.839	0.805	-0.034
SPAC2C4.09	0.795	0.814	0.019
SPAC2C4.10c	0.875	0.781	-0.094
SPAC2C4.11c	0.861	0.805	-0.056
SPAC2C4.12c	0.78	0.939	0.159
SPAC2C4.13	1	0.763	-0.237
SPAC2C4.14c	0.899	0.96	0.062
SPAC2C4.15c	0.99	0.74	-0.251
SPAC2C4.16c	0.968	0.764	-0.204
SPAC2C4.17c	0.84	0.96	0.12
SPAC25G10.01	0.918	0.951	0.032
SPAC13C5.05c	0.966	0.778	-0.188
SPAC25G10.02	0.917	0.867	-0.049
SPAC25G10.03	0.869	0.748	-0.121
SPAC25G10.04c	0.939	0.789	-0.15
SPAC25G10.05c	0.867	0.721	-0.145
SPAC25G10.06	0.874	0.753	-0.121
SPAC25G10.07c	0.796	0.842	0.046
SPAC25G10.08	0.918	0.789	-0.13
SPAC25G10.09c	0.816	0.789	-0.026
SPAC27F1.02c	0.932	0.804	-0.129
SPAC27F1.03c	0.916	0.96	0.045
SPAC977.11	0.99	0.891	-0.099
SPAC13C5.06c	0.759	0.88	0.121
SPAC27F1.04c	0.884	0.867	-0.017
SPAC27F1.05c	0.859	0.869	0.01
SPAC27F1.10	0.827	0.803	-0.024
SPAC27F1.06c	1	0.748	-0.252
SPAC27F1.07	0.918	0.784	-0.134
SPAC27F1.08	0.763	0.771	0.008
SPAC27F1.09c	0.968	0.893	-0.075
SPAC23D3.01	0.916	0.834	-0.082
SPAC23D3.02	0.99	0.797	-0.193
SPAC23D3.03c	0.737	0.706	-0.031
SPAC23D3.04c	0.924	0.939	0.015
SPAC23D3.06c	0.958	0.779	-0.179
SPAC23D3.07	0.894	0.892	-0.003
SPAC23D3.09	0.887	0.751	-0.136
SPAC23D3.08	0.949	0.898	-0.051
SPAC23D3.10c	0.941	0.74	-0.202
SPAC23D3.11	0.84	0.861	0.021
SPAC23D3.12	0.915	0.795	-0.12
SPAC23D3.16	0.956	0.822	-0.134
SPAC23D3.17	0.916	0.829	-0.087
SPAC23D3.13c	0.779	0.771	-0.007
SPAC23D3.14c	0.931	0.811	-0.12
SPAC1527.01	0.81	0.958	0.148
SPAC13C5.07	0.844	0.879	0.035
