# SacCer_mitofates_parsed.table.txt
# Saccharomyces cerevisiae S288C mitofates predictions from http://mitf.cbrc.jp/MitoFates/
# applied to full-length protein
# Luciana DE OLIVEIRA, 3rd Aug 2018
# 
# Sequence ID	Probability of presequence	Prediction
Gene	Prob_preseq	Pred_preseq
YDR071C	0.000	No
YDR072C	0.495	Yes
YDR073W	0.000	No
YDR074W	0.003	No
YDR075W	0.000	No
YDR076W	0.000	No
YDR077W	0.000	No
YDR078C	0.013	No
YDR079C-A	0.000	No
YDR079W	0.996	Yes
YDR080W	0.000	No
YDR081C	0.037	No
YDR082W	0.008	No
YDR083W	0.006	No
YDR084C	0.189	No
YDR085C	0.003	No
YDR086C	0.000	No
YDR087C	0.111	No
YDR088C	0.017	No
YDR089W	0.013	No
YDR090C	0.010	No
YDR091C	0.000	No
YDR092W	0.006	No
YDR093W	0.000	No
YDR094W	0.346	No
YDR095C	0.484	Yes
YDR096W	0.000	No
YDR097C	0.000	No
YDR098C	0.000	No
YDR098C-A	0.000	No
YDR098C-B	0.000	No
YDR099W	0.000	No
YDR100W	0.005	No
YDR101C	0.003	No
YDR102C	0.009	No
YDR103W	0.004	No
YDR104C	0.000	No
YDR105C	0.003	No
YDR106W	0.000	No
YDR107C	0.046	No
YDR108W	0.041	No
YDR109C	0.004	No
YDR110W	0.000	No
YDR111C	0.000	No
YDR112W	0.009	No
YDR113C	0.000	No
YDR114C	0.275	No
YDR115W	0.987	Yes
YDR116C	0.251	No
YDR117C	0.112	No
YDR118W	0.008	No
YDR118W-A	0.039	No
YDR119W	0.013	No
YDR119W-A	0.830	Yes
YDR120C	0.984	Yes
YDR121W	0.000	No
YDR122W	0.000	No
YDR123C	0.000	No
YDR124W	0.009	No
YDR125C	0.376	No
YDR126W	0.006	No
YDR127W	0.000	No
YDR128W	0.000	No
YDR129C	0.006	No
YDR130C	0.027	No
YDR131C	0.017	No
YDR132C	0.000	No
YDR133C	0.000	No
YDR134C	0.000	No
YDR135C	0.024	No
YDR136C	0.153	No
YDR137W	0.000	No
YDR138W	0.005	No
YDR139C	0.003	No
YDR140W	0.000	No
YDR141C	0.004	No
YDR142C	0.021	No
YDR143C	0.000	No
YDR144C	0.000	No
YDR145W	0.000	No
YDR146C	0.000	No
YDR147W	0.004	No
YDR148C	0.996	Yes
YDR149C	0.248	No
YDR150W	0.004	No
YDR151C	0.000	No
YDR152W	0.000	No
YDR153C	0.032	No
YDR154C	0.017	No
YDR155C	0.003	No
YDR156W	0.003	No
YDR157W	0.018	No
YDR158W	0.004	No
YDR159W	0.000	No
YDR160W	0.000	No
YDR161W	0.049	No
YDR162C	0.000	No
YDR163W	0.003	No
YDR164C	0.006	No
YDR165W	0.084	No
YDR166C	0.004	No
YDR167W	0.000	No
YDR168W	0.000	No
YDR169C	0.000	No
YDR169C-A	0.447	Yes
YDR170C	0.000	No
YDR170W-A	0.000	No
YDR171W	0.008	No
YDR172W	0.000	No
YDR173C	0.000	No
YDR174W	0.000	No
YDR175C	0.996	Yes
YDR176W	0.000	No
YDR177W	0.000	No
YDR178W	0.996	Yes
YDR179C	0.000	No
YDR179W-A	0.189	No
YDR180W	0.000	No
YDR181C	0.000	No
YDR182W	0.034	No
YDR182W-A	0.029	No
YDR183C-A	0.060	No
YDR183W	0.000	No
YDR184C	0.000	No
YDR185C	0.019	No
YDR186C	0.010	No
YDR187C	0.014	No
YDR188W	0.000	No
YDR189W	0.010	No
YDR190C	0.000	No
YDR191W	0.003	No
YDR192C	0.000	No
YDR193W	0.000	No
YDR194C	0.996	Yes
YDR194W-A	0.013	No
YDR195W	0.000	No
YDR196C	0.075	No
YDR197W	0.012	No
YDR198C	0.000	No
YDR199W	0.000	No
YDR200C	0.000	No
YDR201W	0.000	No
YDR202C	0.000	No
YDR203W	0.000	No
YDR204W	0.951	Yes
YDR205W	0.034	No
YDR206W	0.000	No
YDR207C	0.000	No
YDR208W	0.000	No
YDR209C	0.147	No
YDR210C-C	0.000	No
YDR210C-D	0.000	No
YDR210W	0.024	No
YDR210W-A	0.000	No
YDR210W-B	0.000	No
YDR211W	0.000	No
YDR212W	0.000	No
YDR213W	0.000	No
YDR214W	0.005	No
YDR215C	0.007	No
YDR216W	0.000	No
YDR217C	0.000	No
YDR218C	0.000	No
YDR219C	0.008	No
YDR220C	0.143	No
YDR221W	0.000	No
YDR222W	0.000	No
YDR223W	0.005	No
YDR224C	0.000	No
YDR225W	0.005	No
YDR226W	0.000	No
YDR227W	0.000	No
YDR228C	0.000	No
YDR229W	0.000	No
YDR230W	0.214	No
YDR231C	0.000	No
YDR232W	0.996	Yes
YDR233C	0.003	No
YDR234W	0.996	Yes
YDR235W	0.007	No
YDR236C	0.011	No
YDR237W	0.996	Yes
YDR238C	0.000	No
YDR239C	0.012	No
YDR240C	0.031	No
YDR241W	0.152	No
YDR242W	0.036	No
YDR243C	0.000	No
YDR244W	0.000	No
YDR245W	0.000	No
YDR246W	0.012	No
YDR246W-A	0.602	Yes
YDR247W	0.132	No
YDR248C	0.004	No
YDR249C	0.254	No
YDR250C	0.000	No
YDR251W	0.022	No
YDR252W	0.000	No
YDR253C	0.000	No
YDR254W	0.005	No
YDR255C	0.000	No
YDR256C	0.000	No
YDR257C	0.000	No
YDR258C	0.996	Yes
YDR259C	0.000	No
YDR260C	0.003	No
YDR261C	0.000	No
YDR261C-C	0.000	No
YDR261C-D	0.000	No
YDR261W-A	0.000	No
YDR261W-B	0.000	No
YDR262W	0.016	No
YDR263C	0.012	No
YDR264C	0.000	No
YDR265W	0.009	No
YDR266C	0.000	No
YDR267C	0.065	No
YDR268W	0.222	No
YDR269C	0.000	No
YDR270W	0.021	No
YDR271C	0.013	No
YDR272W	0.010	No
YDR273W	0.000	No
YDR274C	0.422	Yes
YDR275W	0.005	No
YDR276C	0.000	No
YDR277C	0.007	No
YDR278C	0.006	No
YDR279W	0.000	No
YDR280W	0.000	No
YDR281C	0.000	No
YDR282C	0.843	Yes
YDR283C	0.000	No
YDR284C	0.066	No
YDR285W	0.000	No
YDR286C	0.806	Yes
YDR287W	0.009	No
YDR288W	0.000	No
YDR289C	0.000	No
YDR290W	0.008	No
YDR291W	0.008	No
YDR292C	0.000	No
YDR293C	0.003	No
YDR294C	0.005	No
YDR295C	0.004	No
YDR296W	0.012	No
YDR297W	0.015	No
YDR298C	0.999	Yes
YDR299W	0.000	No
YDR300C	0.000	No
YDR301W	0.000	No
YDR302W	0.096	No
YDR303C	0.007	No
YDR304C	0.000	No
YDR305C	0.217	No
YDR306C	0.007	No
YDR307W	0.025	No
YDR308C	0.000	No
YDR309C	0.000	No
YDR310C	0.000	No
YDR311W	0.000	No
YDR312W	0.012	No
YDR313C	0.006	No
YDR314C	0.000	No
YDR315C	0.038	No
YDR316W	0.977	Yes
YDR316W-A	0.000	No
YDR316W-B	0.000	No
YDR317W	0.000	No
YDR318W	0.000	No
YDR319C	0.106	No
YDR320C	0.000	No
YDR320C-A	0.021	No
YDR320W-B	0.011	No
YDR321W	0.000	No
YDR322C-A	0.012	No
YDR322W	0.747	Yes
YDR323C	0.000	No
YDR324C	0.033	No
YDR325W	0.000	No
YDR326C	0.032	No
YDR327W	0.009	No
YDR328C	0.000	No
YDR329C	0.360	No
YDR330W	0.000	No
YDR331W	0.000	No
YDR332W	0.664	Yes
YDR333C	0.020	No
YDR334W	0.000	No
YDR335W	0.000	No
YDR336W	0.311	No
YDR337W	0.996	Yes
YDR338C	0.089	No
YDR339C	0.144	No
YDR340W	0.006	No
YDR341C	0.000	No
YDR342C	0.000	No
YDR343C	0.000	No
YDR344C	0.039	No
YDR345C	0.000	No
YDR346C	0.064	No
YDR347W	0.996	Yes
YDR348C	0.000	No
YDR349C	0.000	No
YDR350C	0.518	Yes
YDR351W	0.024	No
YDR352W	0.010	No
YDR353W	0.008	No
YDR354C-A	0.000	No
YDR354W	0.000	No
YDR355C	0.000	No
YDR356W	0.004	No
YDR357C	0.000	No
YDR358W	0.003	No
YDR359C	0.000	No
YDR360W	0.041	No
YDR361C	0.000	No
YDR362C	0.000	No
YDR363W	0.000	No
YDR363W-A	0.000	No
YDR364C	0.000	No
YDR365C	0.000	No
YDR365W-A	0.000	No
YDR365W-B	0.000	No
YDR366C	0.011	No
YDR367W	0.000	No
YDR368W	0.012	No
YDR369C	0.105	No
YDR370C	0.000	No
YDR371C-A	0.008	No
YDR371W	0.041	No
YDR372C	0.003	No
YDR373W	0.003	No
YDR374C	0.035	No
YDR374W-A	0.000	No
YDR375C	0.000	No
YDR376W	0.996	Yes
YDR377W	0.996	Yes
YDR378C	0.000	No
YDR379C-A	0.869	Yes
YDR379W	0.000	No
YDR380W	0.033	No
YDR381C-A	0.262	No
YDR381W	0.012	No
YDR382W	0.000	No
YDR383C	0.000	No
YDR384C	0.000	No
YDR385W	0.011	No
YDR386W	0.000	No
YDR387C	0.000	No
YDR388W	0.105	No
YDR389W	0.071	No
YDR390C	0.000	No
YDR391C	0.000	No
YDR392W	0.000	No
YDR393W	0.987	Yes
YDR394W	0.000	No
YDR395W	0.000	No
YDR396W	0.000	No
YDR397C	0.000	No
YDR398W	0.000	No
YDR399W	0.000	No
YDR400W	0.000	No
YDR401W	0.069	No
YDR402C	0.000	No
YDR403W	0.000	No
YDR404C	0.008	No
YDR405W	0.996	Yes
YDR406W	0.000	No
YDR406W-A	0.018	No
YDR407C	0.050	No
YDR408C	0.000	No
YDR409W	0.000	No
YDR410C	0.000	No
YDR411C	0.093	No
YDR412W	0.044	No
YDR413C	0.046	No
YDR414C	0.003	No
YDR415C	0.003	No
YDR416W	0.000	No
YDR417C	0.000	No
YDR418W	0.003	No
YDR419W	0.000	No
YDR420W	0.000	No
YDR421W	0.025	No
YDR422C	0.000	No
YDR423C	0.012	No
YDR424C	0.000	No
YDR425W	0.000	No
YDR426C	0.042	No
YDR427W	0.004	No
YDR428C	0.045	No
YDR429C	0.000	No
YDR430C	0.996	Yes
YDR431W	0.030	No
YDR432W	0.000	No
YDR433W	0.000	No
YDR434W	0.007	No
YDR435C	0.010	No
YDR436W	0.000	No
YDR437W	0.048	No
YDR438W	0.000	No
YDR439W	0.000	No
YDR440W	0.000	No
YDR441C	0.012	No
YDR442W	0.000	No
YDR443C	0.000	No
YDR444W	0.000	No
YDR445C	0.013	No
YDR446W	0.000	No
YDR447C	0.747	Yes
YDR448W	0.012	No
YDR449C	0.003	No
YDR450W	0.012	No
YDR451C	0.003	No
YDR452W	0.035	No
YDR453C	0.000	No
YDR454C	0.000	No
YDR455C	0.000	No
YDR456W	0.006	No
YDR457W	0.000	No
YDR458C	0.000	No
YDR459C	0.070	No
YDR460W	0.004	No
YDR461C-A	0.000	No
YDR461W	0.000	No
YDR462W	0.677	Yes
YDR463W	0.012	No
YDR464C-A	0.004	No
YDR464W	0.000	No
YDR465C	0.007	No
YDR466W	0.005	No
YDR467C	0.022	No
YDR468C	0.009	No
YDR469W	0.000	No
YDR470C	0.000	No
YDR471W	0.277	No
YDR472W	0.000	No
YDR473C	0.000	No
YDR475C	0.007	No
YDR476C	0.003	No
YDR477W	0.021	No
YDR478W	0.005	No
YDR479C	0.004	No
YDR480W	0.000	No
YDR481C	0.012	No
YDR482C	0.028	No
YDR483W	0.030	No
YDR484W	0.000	No
YDR485C	0.000	No
YDR486C	0.014	No
YDR487C	0.000	No
YDR488C	0.003	No
YDR489W	0.000	No
YDR490C	0.000	No
YDR491C	0.000	No
YDR492W	0.039	No
YDR493W	0.848	Yes
YDR494W	0.522	Yes
YDR495C	0.000	No
YDR496C	0.000	No
YDR497C	0.000	No
YDR498C	0.000	No
YDR499W	0.000	No
YDR500C	0.221	No
YDR501W	0.004	No
YDR502C	0.000	No
YDR503C	0.007	No
YDR504C	0.027	No
YDR505C	0.000	No
YDR506C	0.003	No
YDR507C	0.000	No
YDR508C	0.971	Yes
YDR509W	0.120	No
YDR510C-A	0.005	No
YDR510W	0.003	No
YDR511W	0.996	Yes
YDR512C	0.003	No
YDR513W	0.996	Yes
YDR514C	0.204	No
YDR515W	0.000	No
YDR516C	0.000	No
YDR517W	0.242	No
YDR518W	0.162	No
YDR519W	0.000	No
YDR520C	0.003	No
YDR521W	0.000	No
YDR522C	0.030	No
YDR523C	0.020	No
YDR524C	0.047	No
YDR524C-A	0.000	No
YDR524C-B	0.004	No
YDR524W-C	0.036	No
YDR525W	0.147	No
YDR525W-A	0.080	No
YDR526C	0.000	No
YDR527W	0.000	No
YDR528W	0.036	No
YDR529C	0.012	No
YDR530C	0.013	No
YDR531W	0.000	No
YDR532C	0.000	No
YDR533C	0.000	No
YDR534C	0.000	No
YDR535C	0.032	No
YDR536W	0.230	No
YDR537C	0.160	No
YDR538W	0.809	Yes
YDR539W	0.000	No
YDR540C	0.000	No
YDR541C	0.007	No
YDR542W	0.000	No
YDR543C	0.004	No
YDR544C	0.008	No
YDR545C-A	0.284	No
YDR545W	0.000	No
YEL001C	0.000	No
YEL002C	0.017	No
YEL003W	0.000	No
YEL004W	0.003	No
YEL005C	0.000	No
YEL006W	0.009	No
YEL007W	0.000	No
YEL008C-A	0.000	No
YEL008W	0.090	No
YEL009C	0.000	No
YEL009C-A	0.651	Yes
YEL010W	0.005	No
YEL011W	0.000	No
YEL012W	0.000	No
YEL013W	0.000	No
YEL014C	0.093	No
YEL015W	0.000	No
YEL016C	0.000	No
YEL017C-A	0.000	No
YEL017W	0.000	No
YEL018C-A	0.000	No
YEL018W	0.006	No
YEL019C	0.013	No
YEL020C	0.008	No
YEL020C-B	0.018	No
YEL020W-A	0.012	No
YEL021W	0.000	No
YEL022W	0.004	No
YEL023C	0.000	No
YEL024W	0.996	Yes
YEL025C	0.000	No
YEL026W	0.000	No
YEL027W	0.000	No
YEL028W	0.000	No
YEL029C	0.112	No
YEL030C-A	0.004	No
YEL030W	0.288	No
YEL031W	0.007	No
YEL032C-A	0.058	No
YEL032W	0.000	No
YEL033W	0.003	No
YEL034C-A	0.000	No
YEL034W	0.000	No
YEL035C	0.004	No
YEL036C	0.049	No
YEL037C	0.000	No
YEL038W	0.000	No
YEL039C	0.033	No
YEL040W	0.000	No
YEL041W	0.000	No
YEL042W	0.137	No
YEL043W	0.015	No
YEL044W	0.000	No
YEL045C	0.609	Yes
YEL046C	0.000	No
YEL047C	0.000	No
YEL048C	0.000	No
YEL049W	0.000	No
YEL050C	0.535	Yes
YEL050W-A	0.023	No
YEL051W	0.037	No
YEL052W	0.996	Yes
YEL053C	0.000	No
YEL053W-A	0.000	No
YEL054C	0.003	No
YEL055C	0.000	No
YEL056W	0.000	No
YEL057C	0.013	No
YEL058W	0.000	No
YEL059C-A	0.004	No
YEL059W	0.000	No
YEL060C	0.000	No
YEL061C	0.000	No
YEL062W	0.085	No
YEL063C	0.000	No
YEL064C	0.000	No
YEL065W	0.000	No
YEL066W	0.000	No
YEL067C	0.003	No
YEL068C	0.000	No
YEL069C	0.000	No
YEL070W	0.004	No
YEL071W	0.000	No
YEL072W	0.000	No
YEL073C	0.000	No
YEL074W	0.167	No
YEL075C	0.000	No
YEL075W-A	0.000	No
YEL076C	0.000	No
YEL076C-A	0.000	No
YEL077C	0.000	No
YEL077W-A	0.468	Yes
YER001W	0.896	Yes
YER002W	0.007	No
YER003C	0.000	No
YER004W	0.012	No
YER005W	0.007	No
YER006C-A	0.015	No
YER006W	0.028	No
YER007C-A	0.572	Yes
YER007W	0.015	No
YER008C	0.077	No
YER009W	0.003	No
YER010C	0.000	No
YER011W	0.000	No
YER012W	0.012	No
YER013W	0.000	No
YER014C-A	0.046	No
YER014W	0.012	No
YER015W	0.000	No
YER016W	0.007	No
YER017C	0.981	Yes
YER018C	0.008	No
YER019C-A	0.056	No
YER019W	0.000	No
YER020W	0.000	No
YER021W	0.000	No
YER022W	0.000	No
YER023C-A	0.005	No
YER023W	0.000	No
YER024W	0.000	No
YER025W	0.000	No
YER026C	0.000	No
YER027C	0.000	No
YER028C	0.012	No
YER029C	0.020	No
YER030W	0.000	No
YER031C	0.000	No
YER032W	0.000	No
YER033C	0.007	No
YER034W	0.003	No
YER035W	0.000	No
YER036C	0.000	No
YER037W	0.059	No
YER038C	0.000	No
YER038W-A	0.293	No
YER039C	0.016	No
YER039C-A	0.003	No
YER040W	0.000	No
YER041W	0.009	No
YER042W	0.006	No
YER043C	0.000	No
YER044C	0.066	No
YER044C-A	0.003	No
YER045C	0.000	No
YER046W	0.000	No
YER046W-A	0.039	No
YER047C	0.023	No
YER048C	0.000	No
YER048W-A	0.012	No
YER049W	0.000	No
YER050C	0.121	No
YER051W	0.007	No
YER052C	0.005	No
YER053C	0.012	No
YER053C-A	0.019	No
YER054C	0.000	No
YER055C	0.012	No
YER056C	0.000	No
YER056C-A	0.418	Yes
YER057C	0.000	No
YER058W	0.010	No
YER059W	0.000	No
YER060W	0.000	No
YER060W-A	0.000	No
YER061C	0.215	No
YER062C	0.000	No
YER063W	0.005	No
YER064C	0.000	No
YER065C	0.003	No
YER066C-A	0.044	No
YER066W	0.023	No
YER067C-A	0.090	No
YER067W	0.000	No
YER068C-A	0.003	No
YER068W	0.000	No
YER069W	0.996	Yes
YER070W	0.007	No
YER071C	0.000	No
YER072W	0.031	No
YER073W	1.000	Yes
YER074W	0.012	No
YER074W-A	0.000	No
YER075C	0.000	No
YER076C	0.000	No
YER076W-A	0.049	No
YER077C	0.189	No
YER078C	0.850	Yes
YER078W-A	0.005	No
YER079C-A	0.016	No
YER079W	0.000	No
YER080W	0.996	Yes
YER081W	0.010	No
YER082C	0.000	No
YER083C	0.003	No
YER084W	0.010	No
YER084W-A	0.017	No
YER085C	0.113	No
YER086W	0.128	No
YER087C-A	0.000	No
YER087C-B	0.000	No
YER087W	0.996	Yes
YER088C	0.000	No
YER088C-A	0.029	No
YER088W-B	0.003	No
YER089C	0.000	No
YER090C-A	0.000	No
YER090W	0.000	No
YER091C	0.000	No
YER091C-A	0.007	No
YER092W	0.000	No
YER093C	0.031	No
YER093C-A	0.431	Yes
YER094C	0.000	No
YER095W	0.000	No
YER096W	0.000	No
YER097W	0.583	Yes
YER098W	0.244	No
YER099C	0.008	No
YER100W	0.004	No
YER101C	0.000	No
YER102W	0.010	No
YER103W	0.003	No
YER104W	0.000	No
YER105C	0.012	No
YER106W	0.541	Yes
YER107C	0.000	No
YER107W-A	0.004	No
YER109C	0.000	No
YER110C	0.004	No
YER111C	0.000	No
YER112W	0.000	No
YER113C	0.723	Yes
YER114C	0.000	No
YER115C	0.024	No
YER116C	0.000	No
YER117W	0.021	No
YER118C	0.031	No
YER119C	0.018	No
YER119C-A	0.000	No
YER120W	0.000	No
YER121W	0.000	No
YER122C	0.000	No
YER123W	0.000	No
YER124C	0.006	No
YER125W	0.000	No
YER126C	0.004	No
YER127W	0.000	No
YER128W	0.012	No
YER129W	0.000	No
YER130C	0.000	No
YER131W	0.021	No
YER132C	0.000	No
YER133W	0.000	No
YER133W-A	0.017	No
YER134C	0.005	No
YER135C	0.070	No
YER136W	0.000	No
YER137C	0.000	No
YER137C-A	0.000	No
YER137W-A	0.030	No
YER138C	0.000	No
YER138W-A	0.026	No
YER139C	0.000	No
YER140W	0.176	No
YER141W	0.995	Yes
YER142C	0.000	No
YER143W	0.000	No
YER144C	0.027	No
YER145C	0.000	No
YER145C-A	0.003	No
YER146W	0.000	No
YER147C	0.000	No
YER147C-A	0.824	Yes
YER148W	0.000	No
YER148W-A	0.073	No
YER149C	0.003	No
YER150W	0.000	No
YER151C	0.000	No
YER152C	0.010	No
YER152W-A	0.085	No
YER153C	0.996	Yes
YER154W	0.999	Yes
YER155C	0.058	No
YER156C	0.087	No
YER157W	0.005	No
YER158C	0.013	No
YER158W-A	0.509	Yes
YER159C	0.000	No
YER159C-A	0.000	No
YER160C	0.000	No
YER161C	0.007	No
YER162C	0.000	No
YER163C	0.024	No
YER164W	0.000	No
YER165C-A	0.016	No
YER165W	0.000	No
YER166W	0.000	No
YER167W	0.035	No
YER168C	0.996	Yes
YER169W	0.000	No
YER170W	0.070	No
YER171W	0.003	No
YER172C	0.000	No
YER172C-A	0.000	No
YER173W	0.012	No
YER174C	0.003	No
YER175C	0.003	No
YER175W-A	0.129	No
YER176W	0.005	No
YER177W	0.000	No
YER178W	0.996	Yes
YER179W	0.000	No
YER180C	0.000	No
YER180C-A	0.000	No
YER181C	0.003	No
YER182W	0.996	Yes
YER183C	0.012	No
YER184C	0.012	No
YER185W	0.000	No
YER186C	0.000	No
YER187W	0.017	No
YER188C-A	0.000	No
YER188W	0.000	No
YER189W	0.000	No
YER190C-A	0.000	No
YER190C-B	0.494	Yes
YER190W	0.024	No
YFL001W	0.012	No
YFL002C	0.000	No
YFL002W-A	0.000	No
YFL002W-B	0.000	No
YFL003C	0.026	No
YFL004W	0.007	No
YFL005W	0.010	No
YFL007W	0.006	No
YFL008W	0.007	No
YFL009W	0.000	No
YFL010C	0.000	No
YFL010W-A	0.020	No
YFL011W	0.000	No
YFL012W	0.122	No
YFL012W-A	0.008	No
YFL013C	0.000	No
YFL013W-A	0.079	No
YFL014W	0.000	No
YFL015C	0.007	No
YFL015W-A	0.033	No
YFL016C	0.996	Yes
YFL017C	0.000	No
YFL017W-A	0.000	No
YFL018C	0.996	Yes
YFL019C	0.017	No
YFL020C	0.000	No
YFL021C-A	0.003	No
YFL021W	0.006	No
YFL022C	0.000	No
YFL023W	0.000	No
YFL024C	0.011	No
YFL025C	0.936	Yes
YFL026W	0.000	No
YFL027C	0.035	No
YFL028C	0.000	No
YFL029C	0.004	No
YFL030W	0.004	No
YFL031C-A	0.161	No
YFL031W	0.000	No
YFL032W	0.685	Yes
YFL033C	0.005	No
YFL034C-A	0.000	No
YFL034C-B	0.118	No
YFL034W	0.000	No
YFL036W	0.999	Yes
YFL037W	0.000	No
YFL038C	0.006	No
YFL039C	0.000	No
YFL040W	0.016	No
YFL041W	0.075	No
YFL041W-A	0.003	No
YFL042C	0.000	No
YFL044C	0.000	No
YFL045C	0.000	No
YFL046W	0.845	Yes
YFL047W	0.005	No
YFL048C	0.000	No
YFL049W	0.000	No
YFL050C	0.000	No
YFL051C	0.000	No
YFL052W	0.012	No
YFL053W	0.000	No
YFL054C	0.000	No
YFL055W	0.000	No
YFL056C	0.009	No
YFL058W	0.003	No
YFL059W	0.000	No
YFL060C	0.011	No
YFL061W	0.012	No
YFL062W	0.000	No
YFL063W	0.052	No
YFL064C	0.000	No
YFL065C	0.626	Yes
YFL066C	0.000	No
YFL067W	0.000	No
YFL068W	0.485	Yes
YFR001W	0.020	No
YFR002W	0.012	No
YFR003C	0.000	No
YFR004W	0.000	No
YFR005C	0.000	No
YFR006W	0.008	No
YFR007W	0.000	No
YFR008W	0.000	No
YFR009W	0.003	No
YFR009W-A	0.119	No
YFR010W	0.000	No
YFR010W-A	0.008	No
YFR011C	0.000	No
YFR012W	0.074	No
YFR012W-A	0.043	No
YFR013W	0.000	No
YFR014C	0.000	No
YFR015C	0.000	No
YFR016C	0.000	No
YFR017C	0.000	No
YFR018C	0.000	No
YFR019W	0.000	No
YFR020W	0.015	No
YFR021W	0.000	No
YFR022W	0.000	No
YFR023W	0.014	No
YFR024C-A	0.003	No
YFR025C	0.000	No
YFR026C	0.000	No
YFR027W	0.042	No
YFR028C	0.000	No
YFR029W	0.004	No
YFR030W	0.000	No
YFR031C	0.000	No
YFR031C-A	0.642	Yes
YFR032C	0.000	No
YFR032C-A	0.019	No
YFR032C-B	0.023	No
YFR033C	0.000	No
YFR034C	0.000	No
YFR034W-A	0.059	No
YFR035C	0.041	No
YFR036W	0.000	No
YFR036W-A	0.008	No
YFR037C	0.000	No
YFR038W	0.012	No
YFR039C	0.118	No
YFR040W	0.012	No
YFR041C	0.003	No
YFR042W	0.110	No
YFR043C	0.008	No
YFR044C	0.045	No
YFR045W	0.012	No
YFR046C	0.000	No
YFR047C	0.000	No
YFR048W	0.000	No
YFR049W	0.996	Yes
YFR050C	0.000	No
YFR051C	0.026	No
YFR052C-A	0.006	No
YFR052W	0.000	No
YFR053C	0.003	No
YFR054C	0.007	No
YFR055W	0.004	No
YFR056C	0.005	No
YFR057W	0.027	No
YGL001C	0.000	No
YGL002W	0.011	No
YGL003C	0.011	No
YGL004C	0.000	No
YGL005C	0.000	No
YGL006W	0.000	No
YGL006W-A	0.029	No
YGL007C-A	0.000	No
YGL007W	0.005	No
YGL008C	0.000	No
YGL009C	0.000	No
YGL010W	0.220	No
YGL011C	0.004	No
YGL012W	0.000	No
YGL013C	0.000	No
YGL014C-A	0.278	No
YGL014W	0.000	No
YGL015C	0.000	No
YGL016W	0.000	No
YGL017W	0.000	No
YGL018C	0.697	Yes
YGL019W	0.000	No
YGL020C	0.020	No
YGL021W	0.000	No
YGL022W	0.036	No
YGL023C	0.000	No
YGL024W	0.049	No
YGL025C	0.000	No
YGL026C	0.013	No
YGL027C	0.271	No
YGL028C	0.009	No
YGL029W	0.032	No
YGL030W	0.006	No
YGL031C	0.022	No
YGL032C	0.012	No
YGL033W	0.000	No
YGL034C	0.000	No
YGL035C	0.000	No
YGL036W	0.000	No
YGL037C	0.000	No
YGL038C	0.264	No
YGL039W	0.000	No
YGL040C	0.000	No
YGL041C	0.051	No
YGL041C-B	0.000	No
YGL041W-A	0.792	Yes
YGL042C	0.000	No
YGL043W	0.000	No
YGL044C	0.000	No
YGL045W	0.011	No
YGL047W	0.009	No
YGL048C	0.000	No
YGL049C	0.004	No
YGL050W	0.000	No
YGL051W	0.000	No
YGL052W	0.011	No
YGL053W	0.000	No
YGL054C	0.000	No
YGL055W	0.000	No
YGL056C	0.000	No
YGL057C	0.103	No
YGL058W	0.033	No
YGL059W	0.102	No
YGL060W	0.000	No
YGL061C	0.000	No
YGL062W	0.113	No
YGL063C-A	0.038	No
YGL063W	0.008	No
YGL064C	0.255	No
YGL065C	0.005	No
YGL066W	0.000	No
YGL067W	0.025	No
YGL068W	0.996	Yes
YGL069C	0.000	No
YGL070C	0.021	No
YGL071W	0.000	No
YGL072C	0.168	No
YGL073W	0.000	No
YGL074C	0.012	No
YGL075C	0.000	No
YGL076C	0.000	No
YGL077C	0.000	No
YGL078C	0.000	No
YGL079W	0.000	No
YGL080W	0.012	No
YGL081W	0.004	No
YGL082W	0.000	No
YGL083W	0.135	No
YGL084C	0.000	No
YGL085W	0.007	No
YGL086W	0.012	No
YGL087C	0.000	No
YGL088W	0.008	No
YGL089C	0.000	No
YGL090W	0.000	No
YGL091C	0.000	No
YGL092W	0.000	No
YGL093W	0.000	No
YGL094C	0.068	No
YGL095C	0.013	No
YGL096W	0.000	No
YGL097W	0.005	No
YGL098W	0.014	No
YGL099W	0.004	No
YGL100W	0.000	No
YGL101W	0.013	No
YGL102C	0.000	No
YGL103W	0.027	No
YGL104C	0.172	No
YGL105W	0.000	No
YGL106W	0.000	No
YGL107C	0.994	Yes
YGL108C	0.013	No
YGL109W	0.015	No
YGL110C	0.008	No
YGL111W	0.000	No
YGL112C	0.000	No
YGL113W	0.000	No
YGL114W	0.000	No
YGL115W	0.000	No
YGL116W	0.000	No
YGL117W	0.000	No
YGL118C	0.008	No
YGL119W	0.996	Yes
YGL120C	0.000	No
YGL121C	0.000	No
YGL122C	0.000	No
YGL123C-A	0.031	No
YGL123W	0.000	No
YGL124C	0.000	No
YGL125W	0.000	No
YGL126W	0.019	No
YGL127C	0.000	No
YGL128C	0.004	No
YGL129C	0.996	Yes
YGL130W	0.000	No
YGL131C	0.000	No
YGL132W	0.000	No
YGL133W	0.024	No
YGL134W	0.000	No
YGL135W	0.016	No
YGL136C	0.793	Yes
YGL137W	0.000	No
YGL138C	0.008	No
YGL139W	0.004	No
YGL140C	0.161	No
YGL141W	0.589	Yes
YGL142C	0.120	No
YGL143C	0.996	Yes
YGL144C	0.005	No
YGL145W	0.003	No
