Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNB03380 Protein	0.000	No mitochondrial presequence	55(MPP)	-0.055		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03390 Protein	0.000	No mitochondrial presequence	9(MPP)	0.111	11-15,73-77	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03400 Protein	0.000	No mitochondrial presequence	71(MPP)	-0.042		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03420 Protein	0.012	No mitochondrial presequence	11(MPP)	0.636		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03430 Protein	0.013	No mitochondrial presequence	45(MPP)	0.044	36-40,77-81	3-12-low	-	19-24	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03440 Protein	0.000	No mitochondrial presequence	54(MPP)	0.111	28-32,74-78	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03450 Protein	0.000	No mitochondrial presequence	53(MPP)	0.000	15-19	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03460 Protein	0.000	No mitochondrial presequence	43(MPP), 44(Icp55)	0.023	4-8,45-49	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03470 Protein	0.000	No mitochondrial presequence	38(MPP)	0.053		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03480 Protein	0.000	No mitochondrial presequence	64(MPP)	-0.031		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03490 Protein	0.003	No mitochondrial presequence	44(MPP)	0.023		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03500 Protein	1.000	Possessing mitochondrial presequence	30(MPP)	0.167	5-9,27-31	1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03520 Protein	0.000	No mitochondrial presequence	44(MPP), 45(Icp55)	-0.091		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03530 Protein	0.000	No mitochondrial presequence	75(MPP)	0.000		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03540 Protein	0.000	No mitochondrial presequence	33(MPP)	0.061		13-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03550 Protein	0.000	No mitochondrial presequence	14(MPP)	0.071		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03560 Protein	0.000	No mitochondrial presequence	26(MPP)	0.038		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03570 Protein	0.000	No mitochondrial presequence	8(MPP)	0.500		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03575 Protein	0.017	No mitochondrial presequence	58(MPP)	0.086		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03580 Protein	0.000	No mitochondrial presequence	37(MPP)	0.027	34-38,71-75,87-91	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03590 Protein	0.023	No mitochondrial presequence	31(MPP)	0.065	48-52	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03600 Protein	0.000	No mitochondrial presequence	14(MPP)	0.071	57-61	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03605 Protein	0.000	No mitochondrial presequence	20(MPP), 21(Icp55)	-0.100	17-21,32-36	11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03620 Protein	0.000	No mitochondrial presequence	26(MPP)	-0.038		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03630 Protein	0.000	No mitochondrial presequence	22(MPP)	-0.045		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03640 Protein	0.029	No mitochondrial presequence	35(MPP)	0.029	21-25,44-48,67-71	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03650 Protein	0.000	No mitochondrial presequence	20(MPP)	-0.050		15-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03660 Protein	0.018	No mitochondrial presequence	11(MPP)	0.273		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03670 Protein	0.008	No mitochondrial presequence	44(MPP)	0.045		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03680 Protein	0.035	No mitochondrial presequence	17(MPP)	0.118	68-72	10-19-high	-	-	-	-	-	-	-	14-19	-	-	-	-	-	13-18	
CNB03690 Protein	0.000	No mitochondrial presequence	48(MPP)	-0.042	70-74	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03700 Protein	0.000	No mitochondrial presequence	57(MPP)	0.035	34-38,72-76	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03710 Protein	0.000	No mitochondrial presequence	26(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03720 Protein	0.000	No mitochondrial presequence	13(MPP)	0.077		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03730 Protein	0.000	No mitochondrial presequence	82(MPP)	-0.012		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03740 Protein	0.000	No mitochondrial presequence	31(MPP)	0.000		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03750 Protein	0.005	No mitochondrial presequence	16(MPP)	0.000	45-49,68-72	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03755 Protein	0.028	No mitochondrial presequence	36(MPP)	-0.028		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03760 Protein	0.000	No mitochondrial presequence	42(MPP)	-0.095	91-95	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03770 Protein	0.032	No mitochondrial presequence	22(MPP)	0.136	95-99	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03780 Protein	0.000	No mitochondrial presequence	56(MPP)	-0.018	33-37,54-58	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03790 Protein	0.993	Possessing mitochondrial presequence	26(MPP), 27(Icp55)	0.231	49-53,82-86	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03800 Protein	0.021	No mitochondrial presequence	23(MPP)	0.130	15-19	9-18-high	-	6-11	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03810 Protein	0.000	No mitochondrial presequence	57(MPP)	0.070		18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03820 Protein	0.000	No mitochondrial presequence	54(MPP)	-0.037		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03830 Protein	0.148	No mitochondrial presequence	52(MPP)	0.038	18-22	10-22-high	-	-	-	-	-	10-15	-	-	-	-	-	-	-	9-14	
CNB03850 Protein	0.000	No mitochondrial presequence	19(MPP)	0.105	57-61	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03860 Protein	0.000	No mitochondrial presequence	19(MPP)	-0.211		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03870 Protein	0.000	No mitochondrial presequence	54(MPP)	0.037	17-21	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03880 Protein	0.000	No mitochondrial presequence	18(MPP)	-0.111		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03890 Protein	0.729	Possessing mitochondrial presequence	37(MPP)	0.216		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03900 Protein	0.000	No mitochondrial presequence	88(MPP)	0.000	92-96	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03920 Protein	0.000	No mitochondrial presequence	74(MPP)	0.027	75-79	7-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03930 Protein	0.000	No mitochondrial presequence	43(MPP)	-0.093		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03940 Protein	0.007	No mitochondrial presequence	82(MPP)	0.085	22-26	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03945 Protein	0.000	No mitochondrial presequence	25(MPP)	0.000	44-48	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03950 Protein	0.000	No mitochondrial presequence	70(MPP)	0.000	28-32	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03960 Protein	0.006	No mitochondrial presequence	24(MPP), 25(Icp55)	0.042	64-68,67-71,92-96	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03970 Protein	0.167	No mitochondrial presequence	38(MPP)	0.105		9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB03980 Protein	0.009	No mitochondrial presequence	51(MPP)	0.039		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04010 Protein	0.010	No mitochondrial presequence	35(MPP)	0.171		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04020 Protein	0.000	No mitochondrial presequence	44(MPP)	-0.023		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04025 Protein	0.000	No mitochondrial presequence	91(MPP)	-0.044	36-40,62-66	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04030 Protein	0.000	No mitochondrial presequence	34(MPP)	0.118		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04040 Protein	0.006	No mitochondrial presequence	7(MPP)	0.000		1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04050 Protein	0.000	No mitochondrial presequence	39(MPP)	0.128	23-27	15-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04060 Protein	0.000	No mitochondrial presequence	59(MPP)	0.051		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04070 Protein	0.000	No mitochondrial presequence	61(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04080 Protein	0.047	No mitochondrial presequence	36(MPP)	0.111	5-9,33-37,39-43	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04090 Protein	0.995	Possessing mitochondrial presequence	29(MPP), 30(Icp55)	0.172	54-58	1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04100 Protein	0.000	No mitochondrial presequence	28(MPP)	0.071		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04110 Protein	0.000	No mitochondrial presequence	39(MPP)	0.051		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04120 Protein	0.000	No mitochondrial presequence	40(MPP)	0.100	34-38	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04130 Protein	0.941	Possessing mitochondrial presequence	34(MPP)	0.147		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04140 Protein	0.261	No mitochondrial presequence	32(MPP)	0.125	16-20	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04150 Protein	0.000	No mitochondrial presequence	70(MPP)	0.071	1-5	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04160 Protein	0.999	Possessing mitochondrial presequence	32(MPP), 33(Icp55)	0.156	29-33	6-15-high	-	-	-	-	-	-	1-6	-	-	-	-	-	-	-	
CNB04170 Protein	0.004	No mitochondrial presequence	33(MPP)	0.121	37-41,68-72	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04180 Protein	0.000	No mitochondrial presequence	14(MPP)	-0.071	84-88	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04185 Protein	0.000	No mitochondrial presequence	61(MPP)	-0.033		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04190 Protein	0.000	No mitochondrial presequence	60(MPP)	-0.017	78-82	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04200 Protein	0.000	No mitochondrial presequence	12(MPP)	0.167		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04210 Protein	0.000	No mitochondrial presequence	26(MPP)	0.038	43-47	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04220 Protein	0.000	No mitochondrial presequence	17(MPP)	0.471	71-75	12-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04230 Protein	0.000	No mitochondrial presequence	35(MPP)	-0.029		15-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04240 Protein	0.000	No mitochondrial presequence	90(MPP)	-0.011	52-56	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04245 Protein	0.000	No mitochondrial presequence	24(MPP)	0.000	48-52,77-81	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04250 Protein	0.000	No mitochondrial presequence	29(MPP)	0.000	46-50	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04260 Protein	0.281	No mitochondrial presequence	60(MPP), 61(Icp55)	0.067		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04270 Protein	0.000	No mitochondrial presequence	45(MPP)	0.022		2-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04280 Protein	0.000	No mitochondrial presequence	89(MPP)	0.011	26-30,66-70,94-98	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04290 Protein	0.000	No mitochondrial presequence	6(MPP)	0.333	49-53,72-76	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04300 Protein	0.000	No mitochondrial presequence	39(MPP)	-0.051	14-18	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04310 Protein	0.000	No mitochondrial presequence	28(MPP)	0.071	22-26,47-51	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04320 Protein	0.000	No mitochondrial presequence	66(MPP)	0.045	49-53	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04330 Protein	0.062	No mitochondrial presequence	30(MPP)	0.033		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04340 Protein	0.000	No mitochondrial presequence	48(MPP)	0.021	6-10,67-71	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04350 Protein	0.000	No mitochondrial presequence	85(MPP)	-0.012	15-19	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04360 Protein	0.000	No mitochondrial presequence	28(MPP)	-0.036		12-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04370 Protein	0.000	No mitochondrial presequence	67(MPP)	-0.358	37-41	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04380 Protein	0.000	No mitochondrial presequence	12(MPP)	0.167		1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04400 Protein	0.013	No mitochondrial presequence	14(MPP)	0.000	11-15,68-72	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04410 Protein	0.992	Possessing mitochondrial presequence	18(MPP), 26(Oct1)	0.333	5-9,96-100	4-13-high	-	-	-	-	-	-	-	-	3-8	-	-	-	-	-	
CNB04420 Protein	0.000	No mitochondrial presequence	95(MPP)	0.137	93-97	12-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04430 Protein	0.000	No mitochondrial presequence	42(MPP)	-0.095	53-57	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04440 Protein	0.005	No mitochondrial presequence	26(MPP)	0.000	35-39	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04450 Protein	0.000	No mitochondrial presequence	42(MPP)	-0.095	12-16	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04460 Protein	0.000	No mitochondrial presequence	31(MPP)	0.065	68-72	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04470 Protein	0.000	No mitochondrial presequence	45(MPP)	0.000	67-71	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04480 Protein	0.003	No mitochondrial presequence	22(MPP)	0.045		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04500 Protein	0.987	Possessing mitochondrial presequence	19(MPP)	0.158	40-44,81-85	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04510 Protein	0.000	No mitochondrial presequence	22(MPP)	0.045		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04520 Protein	0.000	No mitochondrial presequence	20(MPP)	0.000	1-5	13-22-low	-	-	-	-	-	-	-	17-22	-	-	-	-	-	-	
CNB04530 Protein	0.033	No mitochondrial presequence	12(MPP)	0.250		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04540 Protein	0.997	Possessing mitochondrial presequence	29(MPP), 37(Oct1)	0.207	26-30,90-94	6-15-high	-	-	-	-	-	-	5-10	-	-	4-9	-	-	-	8-13	
CNB04550 Protein	0.004	No mitochondrial presequence	26(MPP)	-0.077		21-30-high	-	-	-	-	-	-	-	23-28	-	-	-	-	-	22-27	
CNB04560 Protein	0.000	No mitochondrial presequence	16(MPP)	-0.125	13-17,43-47,76-80	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04570 Protein	0.000	No mitochondrial presequence	6(MPP)	-0.167		11-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04580 Protein	0.035	No mitochondrial presequence	34(MPP)	0.059	12-16,71-75	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	12-17	-	
CNB04590 Protein	0.005	No mitochondrial presequence	88(MPP)	0.080	4-8,29-33,59-63,95-99	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04600 Protein	0.000	No mitochondrial presequence	70(MPP)	0.014		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04610 Protein	0.000	No mitochondrial presequence	10(MPP)	0.100	90-94	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04620 Protein	0.052	No mitochondrial presequence	25(MPP), 26(Icp55)	0.120	6-10,22-26	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04630 Protein	0.337	No mitochondrial presequence	27(MPP), 28(Icp55)	0.111		3-12-high	-	-	-	-	-	-	-	24-29	-	-	-	-	-	23-28	
CNB04640 Protein	0.000	No mitochondrial presequence	31(MPP)	0.290	13-17	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04650 Protein	0.000	No mitochondrial presequence	82(MPP)	-0.049		12-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04660 Protein	0.000	No mitochondrial presequence	54(MPP)	0.019		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04670 Protein	0.000	No mitochondrial presequence	45(MPP)	0.022		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04680 Protein	0.003	No mitochondrial presequence	32(MPP)	0.094		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04685 Protein	0.000	No mitochondrial presequence	87(MPP)	-0.057		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04690 Protein	0.089	No mitochondrial presequence	37(MPP)	0.054	6-10,42-46	2-11-high	-	-	-	-	-	-	-	2-7	-	1-6	-	-	-	-	
CNB04700 Protein	0.000	No mitochondrial presequence	61(MPP)	0.049	58-62,69-73	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04710 Protein	0.000	No mitochondrial presequence	44(MPP)	0.023	30-34,74-78	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04715 Protein	0.615	Possessing mitochondrial presequence	17(MPP)	0.176	4-8	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04720 Protein	0.998	Possessing mitochondrial presequence	31(MPP), 32(Icp55)	0.194	36-40,64-68	3-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04730 Protein	0.432	Possessing mitochondrial presequence	67(MPP)	0.134	61-65,75-79,78-82	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04740 Protein	0.000	No mitochondrial presequence	36(MPP)	-0.167	33-37,60-64	12-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04750 Protein	0.000	No mitochondrial presequence	19(MPP)	-0.105		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04760 Protein	0.000	No mitochondrial presequence	72(MPP)	-0.153	40-44	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04765 Protein	0.000	No mitochondrial presequence	29(MPP)	0.034		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04770 Protein	0.000	No mitochondrial presequence	15(MPP)	0.067		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04780 Protein	0.000	No mitochondrial presequence	28(MPP)	-0.036		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04790 Protein	0.000	No mitochondrial presequence	77(MPP)	-0.013	70-74,85-89	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04800 Protein	0.000	No mitochondrial presequence	30(MPP)	-0.100	82-86,86-90	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04810 Protein	0.000	No mitochondrial presequence	64(MPP), 65(Icp55)	0.078	87-91	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04815 Protein	0.000	No mitochondrial presequence	37(MPP)	0.027	25-29,39-43	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04820 Protein	0.000	No mitochondrial presequence	10(MPP), 11(Icp55)	0.300	29-33,51-55	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04830 Protein	0.000	No mitochondrial presequence	9(MPP)	0.111		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04840 Protein	0.587	Possessing mitochondrial presequence	38(MPP), 39(Icp55)	0.132	65-69	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04850 Protein	0.006	No mitochondrial presequence	41(MPP)	0.049	6-10,25-29,63-67	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04860 Protein	0.179	No mitochondrial presequence	13(MPP)	0.231	6-10,89-93	6-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04870 Protein	0.000	No mitochondrial presequence	57(MPP), 58(Icp55)	-0.035		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04880 Protein	0.000	No mitochondrial presequence	9(MPP)	0.333		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04890 Protein	0.000	No mitochondrial presequence	63(MPP)	0.016	69-73	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04895 Protein	0.003	No mitochondrial presequence	64(MPP), 72(Oct1)	-0.062	88-92	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04900 Protein	0.160	No mitochondrial presequence	32(MPP)	0.188		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04905 Protein	0.025	No mitochondrial presequence	5(MPP)	0.400		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04910 Protein	0.986	Possessing mitochondrial presequence	20(MPP)	0.200		17-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04920 Protein	0.000	No mitochondrial presequence	45(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04930 Protein	0.686	Possessing mitochondrial presequence	18(MPP)	0.333	42-46,56-60	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04940 Protein	0.000	No mitochondrial presequence	53(MPP)	0.094		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04950 Protein	0.018	No mitochondrial presequence	37(MPP)	0.162	64-68	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04960 Protein	0.000	No mitochondrial presequence	94(MPP), 95(Icp55)	-0.011	68-72,81-85	17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04980 Protein	0.000	No mitochondrial presequence	24(MPP)	0.083	81-85	3-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB04990 Protein	0.214	No mitochondrial presequence	31(MPP)	0.097	95-99	9-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05000 Protein	0.013	No mitochondrial presequence	20(MPP)	0.050	1-5	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05010 Protein	0.000	No mitochondrial presequence	32(MPP)	0.062		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05030 Protein	0.030	No mitochondrial presequence	28(MPP)	0.250		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05040 Protein	0.000	No mitochondrial presequence	35(MPP), 43(Oct1)	0.086		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05050 Protein	0.005	No mitochondrial presequence	28(MPP)	0.000		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05060 Protein	0.000	No mitochondrial presequence	51(MPP)	-0.078	88-92	13-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05080 Protein	0.000	No mitochondrial presequence	66(MPP)	-0.076	84-88	2-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05090 Protein	0.000	No mitochondrial presequence	36(MPP)	-0.028	33-37,37-41	1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05100 Protein	0.000	No mitochondrial presequence	13(MPP)	0.154		2-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05110 Protein	0.000	No mitochondrial presequence	74(MPP), 75(Icp55)	-0.054	39-43,89-93	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05120 Protein	0.022	No mitochondrial presequence	30(MPP)	0.067	27-31	2-13-low	-	-	-	-	-	-	-	1-6	-	-	-	-	-	-	
CNB05130 Protein	0.165	No mitochondrial presequence	17(MPP), 18(Icp55)	0.176	81-85	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05140 Protein	0.983	Possessing mitochondrial presequence	25(MPP), 26(Icp55)	0.240	2-6	13-22-low	-	-	-	-	-	-	22-27	-	-	21-26	-	-	-	-	
CNB05150 Protein	0.000	No mitochondrial presequence	40(MPP)	0.075		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05160 Protein	0.137	No mitochondrial presequence	21(MPP), 22(Icp55)	0.190	13-17,49-53	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNB05180 Protein	0.000	No mitochondrial presequence	78(MPP)	-0.013		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
