# Intron retention-dependent gene regulation in Cryptococcus neoformans
# Sara Gonzalez-Hilarion, et al., Scientific Reports volume 6, Article number: 32252 (2016)
# Table S4. List of orthologues between the two varieties of C. neoformans.	
# 
# var. grubii	var. neoformans
H99	JEC21
CNAG_04113	CNI04350
CNAG_06846	CND06260
CNAG_05357	CNH00235
CNAG_06143	CNM01450
CNAG_04209	CNI03480
CNAG_01492	CNC06880
CNAG_05705	CNF02690
CNAG_00187	CNA01760
CNAG_06363	CNN00910
CNAG_03294	CNG02825
CNAG_04612	CNJ00510
CNAG_05583	CNH02280
CNAG_07712	CNG04320
CNAG_03422	CNG01630
CNAG_03744	CNB02400
CNAG_00659	CNA06380
CNAG_04750	CNJ01800
CNAG_02802	CNC04210
CNAG_07519	CNC04510
CNAG_04594	CNJ00330
CNAG_04133	CNI02730
CNAG_05496	CNH01520
CNAG_05374	CNH00420
CNAG_00355	CNA03490
CNAG_01463	CNC07170
CNAG_01105	CND02310
CNAG_05265	CNH03650
CNAG_02682	CNK01700
CNAG_00544	CNA05280
CNAG_05196	CNL04290
CNAG_02445	CNE01130
CNAG_03962	CNB04510
CNAG_00746	CNA07250
CNAG_05739	CNF02380
CNAG_01510	CNC06710
CNAG_06766	CNB00340
CNAG_00673	CNA06510
CNAG_07960	CNA07410
CNAG_01035	CND01660
CNAG_01435	CND05490
CNAG_00464	CNA04430
CNAG_01501	CNC06790
CNAG_03306	CNG02710
CNAG_00806	CNA07830
CNAG_03124	CNG04380
CNAG_06395	CNN01200
CNAG_06875	CNE05340
CNAG_05441	CNH01080
CNAG_07339	CNA02150
CNAG_00272	CNA02610
CNAG_03411	CNG01730
CNAG_04327	CNI02220
CNAG_01939	CNK02750
CNAG_02471	CNE00885
CNAG_07435	CND03290
CNAG_00585	CNA05690
CNAG_00531	CNA05130
CNAG_04276	CNI04150
CNAG_04178	CNI03150
CNAG_03238	CNG03340
CNAG_00788	CNA07650
CNAG_02286	CNE02590
CNAG_02968	CNC05780
CNAG_06424	CNN01480
CNAG_04252	CNI03900
CNAG_03481	CNG01105
CNAG_01731	CNC02360
CNAG_06742	CNB00600
CNAG_02492	CNE00680
CNAG_02438	CNE01185
CNAG_07381	CNA07030
CNAG_04809	CNJ02350
CNAG_06688	CNF03260
CNAG_04051	CNB05350
CNAG_00889	CND00280
CNAG_05452	CNH01160
CNAG_06852	CND06310
CNAG_04505	CNI00520
CNAG_04474	CNI00830
CNAG_05034	CNL05830
CNAG_02154	CNE03820
CNAG_05696	CNF02760
CNAG_00384	CNA03725
CNAG_04311	CNI02380
CNAG_02678	CNK01660
CNAG_07797	CNL06510
CNAG_03448	CNG01390
CNAG_06752	CNB00510
CNAG_06826	CND06080
CNAG_05134	CNL04880
CNAG_03268	CNG03085
CNAG_00470	CNA04510
CNAG_04712	CNJ01430
CNAG_01984	CNK03170
CNAG_03913	CNB04025
CNAG_02389	CNE01630
CNAG_07851	CNJ02060
CNAG_05914	CNF00600
CNAG_05896	CNF00770
CNAG_00444	CNA04265
CNAG_01372	CND04850
CNAG_00400	CNA03880
CNAG_00624	CNA06040
CNAG_07883	CNH01595
CNAG_01325	CND04450
CNAG_04540	CNI00140
CNAG_05978	CNF00070
CNAG_00652	CNA06320
CNAG_06192	CNM01910
CNAG_06108	CNM01135
CNAG_02654	CNK01430
CNAG_00938	CND00780
CNAG_04495	CNI00625
CNAG_01000	CND01280
CNAG_03822	CNB03130
CNAG_00367	CNA03360
CNAG_00140	CNA01270
CNAG_00772	CNA07500
CNAG_07639	CNE02710
CNAG_06828	CND06100
CNAG_01273	CND03930
CNAG_02660	CNK01500
CNAG_06233	CNM02340
CNAG_02362	CNE01870
CNAG_03324	CNG02540
CNAG_03705	CNB02020
CNAG_04694	CNJ01250
CNAG_02348	CNE02020
CNAG_02032	CNE05030
CNAG_02184	CNE03525
CNAG_04818	CNJ02430
CNAG_04235	CNI03760
CNAG_03931	CNB04190
CNAG_04709	CNJ01410
CNAG_01792	CNC02830
CNAG_03251	CNG03220
CNAG_00826	CNA08050
CNAG_04306	CNI02440
CNAG_00267	CNA02560
CNAG_01584	CNC00970
CNAG_04156	CNI02930
CNAG_06369	CNN00970
CNAG_06450	CNN01750
CNAG_07523	CNA07690
CNAG_05887	CNF00860
CNAG_04951	CNL06640
CNAG_06351	CNN00800
CNAG_00883	CND00200
CNAG_00818	CNA07950
CNAG_05109	CNL05140
CNAG_02801	CNC04200
CNAG_06816	CND05970
CNAG_07308	CNA00310
CNAG_05554	CNH02030
CNAG_04052	CNB05360
CNAG_04151	CNI02880
CNAG_05424	CNH00910
CNAG_04408	CNI01400
CNAG_02010	CNK03450
CNAG_04674	CNJ01070
CNAG_02845	CNC04610
CNAG_04978	CNL06370
CNAG_01210	CND03335
CNAG_04958	CNL06570
CNAG_03876	CNB03660
CNAG_00686	CNA06650
CNAG_01692	CNC02000
CNAG_05074	CNL05460
CNAG_02202	CNE03380
CNAG_06520	CNN02413
CNAG_05233	CNL03950
CNAG_07364	CNA04730
CNAG_00678	CNA06560
CNAG_03909	CNB03970
CNAG_03258	CNG03180
CNAG_05129	CNL04915
CNAG_05049	CNL05700
CNAG_02509	CNE00535
CNAG_01046	CND01760
CNAG_06021	CNM00320
CNAG_00665	CNA06430
CNAG_01109	CND02350
CNAG_02730	CNC03560
CNAG_00779	CNA07570
CNAG_02735	CNC03605
CNAG_05115	CNL05050
CNAG_04238	CNI03790
CNAG_06064	CNM00730
CNAG_00895	CND00350
CNAG_02416	CNE01405
CNAG_06468	CNN01880
CNAG_04944	CNL06720
CNAG_03418	CNG01660
CNAG_01321	CND04410
CNAG_03560	CNG00430
CNAG_04413	CNI01355
CNAG_00329	CNA03110
CNAG_00798	CNA07755
CNAG_06587	CNF04310
CNAG_02593	CNK00800
CNAG_00793	CNA07710
CNAG_04993	CNL06210
CNAG_01518	CNC06640
CNAG_03067	CNC00210
CNAG_02978	CNC05870
CNAG_01333	CND04490
CNAG_00572	CNA05570
CNAG_05672	CNF03010
CNAG_02792	CNC04110
CNAG_00472	CNA04540
CNAG_02235	CNE03055
CNAG_03372	CNG02100
CNAG_04462	CNI00960
CNAG_05930	CNF00450
CNAG_03689	CNB01870
CNAG_05044	CNL05740
CNAG_06869	CNE00020
CNAG_00564	CNA05460
CNAG_01386	CND04980
CNAG_07671	CNF02245
CNAG_06226	CNM02270
CNAG_02170	CNE03670
CNAG_00838	CNA08150
CNAG_04218	CNI03600
CNAG_06074	CNM00830
CNAG_00243	CNA02340
CNAG_04681	CNJ01130
CNAG_05413	CNH00800
CNAG_02886	CNC04990
CNAG_01402	CND05140
CNAG_02933	CNC05420
CNAG_01666	CNC01770
CNAG_00141	CNA01280
CNAG_06121	CNM01270
CNAG_02072	CNE04640
CNAG_05830	CNF01500
CNAG_01117	CND02420
CNAG_02603	CNK00890
CNAG_01091	CND02170
CNAG_01202	CND03260
CNAG_04901	CNJ03245
CNAG_04919	CNJ03390
CNAG_05658	CNH02960
CNAG_06776	CNB00230
CNAG_04872	CNJ02990
CNAG_04027	CNB05100
CNAG_06765	CNB00360
CNAG_02766	CNC03880
CNAG_01060	CND01910
CNAG_03012	CNC00730
CNAG_06347	CNN00760
CNAG_05442	CNH01090
CNAG_04447	CNI01100
CNAG_05869	CNF01040
CNAG_05906	CNF00655
CNAG_06815	CND05960
CNAG_00815	CNA07920
CNAG_00311	CNA02940
CNAG_03900	CNB03880
CNAG_05081	CNL05390
CNAG_05636	CNH02770
CNAG_06402	CNN01280
CNAG_03377	CNG02060
CNAG_06236	CNM02360
CNAG_03979	CNB04680
CNAG_06896	CNK00330
CNAG_06414	CNN01390
CNAG_00467	CNA04480
CNAG_02470	CNE00890
CNAG_03834	CNB03230
CNAG_04736	CNJ01660
CNAG_01773	CNC02730
CNAG_05425	CNH00920
CNAG_00733	CNA07110
CNAG_03926	CNB04150
CNAG_01601	CNC01140
CNAG_07781	CNI00080
CNAG_05765	CNF02130
CNAG_05852	CNF01200
CNAG_02122	CNE04150
CNAG_04537	CNI00170
CNAG_01319	CND04390
CNAG_07735	CNG01210
CNAG_00846	CNA08230
CNAG_04293	CNI02550
CNAG_02043	CNE04915
CNAG_03899	CNB03870
CNAG_02671	CNK01590
CNAG_01253	CND03700
CNAG_07445	CND00940
CNAG_02688	CNK01760
CNAG_01877	CNK02180
CNAG_04202	CNI03410
CNAG_00458	CNA04380
CNAG_03645	CNB01450
CNAG_00689	CNA06670
CNAG_07316	CNA01850
CNAG_02082	CNE04540
CNAG_02353	CNE01970
CNAG_05752	CNF02260
CNAG_06737	CNB00650
CNAG_02022	CNE05120
CNAG_00293	CNA02810
CNAG_06668	CNF03510
CNAG_06948	CND03780
CNAG_03761	CNB02560
CNAG_00481	CNA04630
CNAG_01468	CNC07120
CNAG_05114	CNL05060
CNAG_03999	CNB04830
CNAG_02039	CNE04960
CNAG_03863	CNB03520
CNAG_03028	CNC00565
CNAG_05255	CNH03750
CNAG_05473	CNH01340
CNAG_01106	CND02320
CNAG_03176	CNG03920
CNAG_03608	CNB01110
CNAG_05068	CNL05520
CNAG_02294	CNE02500
CNAG_06593	CNF04250
CNAG_02531	CNE00350
CNAG_06864	CNE00080
CNAG_01708	CNC02140
CNAG_01415	CND05260
CNAG_05968	CNF00160
CNAG_00416	CNA04040
CNAG_05704	CNF02700
CNAG_02925	CNC05340
CNAG_07486	CNB04340
CNAG_00360	CNA03430
CNAG_04757	CNJ01870
CNAG_06661	CNF03590
CNAG_02683	CNK01710
CNAG_04905	CNJ03280
CNAG_06052	CNM00620
CNAG_03473	CNG01190
CNAG_06654	CNF03670
CNAG_07537	CNK01340
CNAG_05828	CNF01520
CNAG_05008	CNL06075
CNAG_05296	CNH03360
CNAG_02860	CNC04770
CNAG_06730	CNB00720
CNAG_00747	CNA07260
CNAG_02292	CNE02520
CNAG_06898	CNK00300
CNAG_06748	CNB00540
CNAG_06423	CNN01475
CNAG_01018	CND01480
CNAG_00029	CNA00220
CNAG_06534	CNF04830
CNAG_01659	CNC01720
CNAG_07004	CND05840
CNAG_07740	CNG00790
CNAG_04184	CNI03210
CNAG_06000	CNM00090
CNAG_01891	CNK02320
CNAG_03212	CNG03610
CNAG_03148	CNG04180
CNAG_01750	CNC02520
CNAG_04374	CNI01540
CNAG_00588	CNA05720
CNAG_06321	CNN00495
CNAG_03297	CNG02800
CNAG_01533	CNC06490
CNAG_03343	CNG02360
CNAG_04631	CNJ00680
CNAG_00101	CNA00920
CNAG_03033	CNC00510
CNAG_06061	CNM00700
CNAG_02814	CNC04310
CNAG_03071	CNC00170
CNAG_06186	CNM01860
CNAG_00332	CNA03140
CNAG_00038	CNA00280
CNAG_03910	CNB03980
CNAG_02209	CNE03320
CNAG_05278	CNH03500
CNAG_04864	CNJ02920
CNAG_00065	CNA00560
CNAG_03000	CNC06100
CNAG_04385	CNI01620
CNAG_00354	CNA03500
CNAG_02139	CNE03970
CNAG_07542	CNK01280
CNAG_02755	CNC03770
CNAG_07775	CNI00680
CNAG_05406	CNH00740
CNAG_03479	CNG01140
CNAG_06712	CNB00910
CNAG_00020	CNA00130
CNAG_02031	CNE03780
CNAG_06095	CNM01020
CNAG_05053	CNL05650
CNAG_00452	CNA04330
CNAG_06741	CNB00610
CNAG_02006	CNK03410
CNAG_06148	CNM01500
CNAG_03152	CNG04140
CNAG_00559	CNA05415
CNAG_04713	CNJ01440
CNAG_01788	CNC02800
CNAG_03651	CNB01520
CNAG_00465	CNA04460
CNAG_07903	CNM01160
CNAG_06555	CNF04620
CNAG_02693	CNK01810
CNAG_07647	CNE03790
CNAG_00150	CNA01380
CNAG_07530	CNK01410
CNAG_04675	CNJ01075
CNAG_03552	CNG00500
CNAG_00423	CNA04090
CNAG_02004	CNK03385
CNAG_03019	CNC00660
CNAG_05438	CNH01050
CNAG_01055	CND01860
CNAG_01423	CND05350
CNAG_02281	CNE02650
CNAG_01874	CNK02140
CNAG_03576	CNG00305
CNAG_05390	CNH00570
CNAG_04479	CNI00780
CNAG_02426	CNE01310
CNAG_01648	CNC01610
CNAG_01153	CND02790
CNAG_04045	CNB05280
CNAG_01217	CND03400
CNAG_05808	CNF01710
CNAG_00807	CNA07840
CNAG_05972	CNF00125
CNAG_03818	CNB03090
CNAG_06007	CNM00160
CNAG_01424	CND05360
CNAG_03894	CNB03820
CNAG_04879	CNJ03090
CNAG_00308	CNA02910
CNAG_00117	CNA01070
CNAG_07996	CNG00210
CNAG_04641	CNJ00810
CNAG_01579	CNC00940
CNAG_00139	CNA01260
CNAG_00982	CND01100
CNAG_04538	CNI00160
CNAG_07680	CNF00905
CNAG_00451	CNA04320
CNAG_02081	CNE04550
CNAG_00698	CNA06770
CNAG_01657	CNC01700
CNAG_03665	CNB01640
CNAG_03713	CNB02100
CNAG_05201	CNL04240
CNAG_03401	CNG01820
CNAG_00914	CND00550
CNAG_07719	CNG03550
CNAG_04960	CNL06555
CNAG_03730	CNB02280
CNAG_06080	CNM00890
CNAG_04916	CNJ03365
CNAG_06497	CNN02220
CNAG_05687	CNF02870
CNAG_00095	CNA00860
CNAG_02495	CNE00650
CNAG_03982	CNB04700
CNAG_03811	CNB03020
CNAG_05874	CNF00980
CNAG_00626	CNA06060
CNAG_07311	CNA01030
CNAG_01611	CNC01240
CNAG_06823	CND06050
CNAG_02119	CNE04180
CNAG_04384	CNI01630
CNAG_04826	CNJ02520
CNAG_03092	CNA08335
CNAG_04378	CNI01690
CNAG_01349	CND04640
CNAG_04890	CNJ03155
CNAG_02459	CNE00990
CNAG_00073	CNA00630
CNAG_06631	CNF03870
CNAG_04119	CNI04280
CNAG_01493	CNC06875
CNAG_05167	CNL04580
CNAG_01895	CNK02360
CNAG_03646	CNB01460
CNAG_00390	CNA03790
CNAG_01906	CNK02480
CNAG_07702	CNF00200
CNAG_05271	CNH03590
CNAG_07521	CNC04415
CNAG_02712	CNK01970
CNAG_01585	CNC00980
CNAG_02108	CNE04290
CNAG_03658	CNB01585
CNAG_01348	CND04630
CNAG_01152	CND02780
CNAG_02134	CNE04020
CNAG_01909	CNK02520
CNAG_02872	CNC04855
CNAG_06169	CNM01710
CNAG_03724	CNB02220
CNAG_04268	CNI04070
CNAG_04566	CNJ00060
CNAG_01077	CND02050
CNAG_06157	CNM01590
CNAG_03460	CNG01280
CNAG_07253	CNA03525
CNAG_01454	CND05810
CNAG_03634	CNB01360
CNAG_05348	CNH00140
CNAG_00591	CNA05735
CNAG_00989	CND01170
CNAG_04127	CNI04230
CNAG_00232	CNA02220
CNAG_04131	CNI02710
CNAG_04789	CNJ02160
CNAG_06832	CND06130
CNAG_05775	CNF02030
CNAG_02579	CNK00710
CNAG_05546	CNH01940
CNAG_00181	CNA01700
CNAG_00640	CNA06200
CNAG_01081	CND02090
CNAG_05025	CNL05910
CNAG_04952	CNL06630
CNAG_02824	CNC04410
CNAG_06576	CNF04420
CNAG_03192	CNG03760
CNAG_00096	CNA00870
CNAG_06486	CNN02100
CNAG_05388	CNH00550
CNAG_04650	CNJ00880
CNAG_01959	CNK02970
CNAG_00516	CNA04980
CNAG_00429	CNA04140
CNAG_04433	CNI01240
CNAG_06194	CNM01930
CNAG_00077	CNA00670
CNAG_03431	CNG01550
CNAG_02725	CNC03530
CNAG_05837	CNF01420
CNAG_05230	CNL03980
CNAG_05711	CNF02640
CNAG_05573	CNH02200
CNAG_02547	CNE00190
CNAG_06546	CNF04710
CNAG_04176	CNI03130
CNAG_03021	CNC00640
CNAG_01569	CNC00840
CNAG_06280	CNN00180
CNAG_01384	CND04960
CNAG_02316	CNE02300
CNAG_05979	CNF00050
CNAG_04897	CNJ03210
CNAG_07597	CNC01945
CNAG_03167	CNG04000
CNAG_03949	CNB04360
CNAG_03944	CNB04310
CNAG_02855	CNC04720
CNAG_04625	CNJ00620
CNAG_06691	CNF03230
CNAG_01803	CNC02930
CNAG_01660	CNC01730
CNAG_03283	CNG02920
CNAG_06472	CNN01920
CNAG_00720	CNA06990
CNAG_05311	CNH03230
CNAG_02596	CNK00825
CNAG_03886	CNB03750
CNAG_01799	CNC02900
CNAG_07345	CNA02680
CNAG_05673	CNF03000
CNAG_05191	CNL04360
CNAG_02902	CNC05130
CNAG_02903	CNC05140
CNAG_01793	CNC02840
CNAG_03382	CNG02020
CNAG_02334	CNE02135
CNAG_06874	CNE05330
CNAG_05284	CNH03450
CNAG_03882	CNB03720
CNAG_00693	CNA06710
CNAG_01562	CNC00760
CNAG_00377	CNA03600
CNAG_05468	CNH01280
CNAG_03249	CNG03240
CNAG_02842	CNC04580
CNAG_00904	CND00440
CNAG_06775	CNB00240
CNAG_07968	CNC00705
CNAG_04230	CNI03710
CNAG_00666	CNA06440
CNAG_01324	CND04440
CNAG_00163	CNA01510
CNAG_04484	CNI00720
CNAG_00554	CNA05370
CNAG_01948	CNK02870
CNAG_02188	CNE03490
CNAG_01064	CND01950
CNAG_00832	CNA08110
CNAG_06112	CNM01170
CNAG_04236	CNI03770
CNAG_00233	CNA02230
CNAG_00892	CND00310
CNAG_02037	CNE04980
CNAG_00266	CNA02555
CNAG_06790	CNB00110
CNAG_00796	CNA07730
CNAG_01258	CND03750
CNAG_07847	CNJ02365
CNAG_01037	CND01680
CNAG_00783	CNA07605
CNAG_02738	CNC03630
CNAG_06431	CNN01550
CNAG_05925	CNF00500
CNAG_02973	CNC05820
CNAG_02564	CNK00570
CNAG_04523	CNI00320
CNAG_04467	CNI00900
CNAG_06699	CNF03160
CNAG_04888	CNJ03140
CNAG_00641	CNA06210
CNAG_00841	CNA08180
CNAG_06065	CNM00740
CNAG_00847	CNA08240
CNAG_04407	CNI01410
CNAG_04022	CNB05040
CNAG_04261	CNI03990
CNAG_03510	CNG00830
CNAG_03974	CNB04620
CNAG_00154	CNA01420
CNAG_01108	CND02340
CNAG_03299	CNG02780
CNAG_04074	CNB05570
CNAG_03785	CNB02790
CNAG_05402	CNH00710
CNAG_04853	CNJ02765
CNAG_04938	CNL06780
CNAG_03064	CNC00240
CNAG_05737	CNF02390
CNAG_03318	CNG02600
CNAG_02793	CNC04120
CNAG_03954	CNB04420
CNAG_02398	CNE01570
CNAG_06610	CNF04090
CNAG_06692	CNF03220
CNAG_06004	CNM00130
CNAG_03103	CNG04610
CNAG_06795	CNB00065
CNAG_03303	CNG02740
CNAG_04943	CNL06730
CNAG_01642	CNC01550
CNAG_04206	CNI03450
CNAG_00867	CND00070
CNAG_00352	CNA03520
CNAG_03684	CNB01820
CNAG_04412	CNI01360
CNAG_02584	CNK00750
CNAG_01443	CND05570
CNAG_00509	CNA04920
CNAG_06467	CNN01875
CNAG_03875	CNB03650
CNAG_02681	CNK01690
CNAG_02838	CNC04540
CNAG_04671	CNJ01050
CNAG_01745	CNC02480
CNAG_07560	CNK01060
CNAG_01316	CND04360
CNAG_00555	CNA05380
CNAG_07028	CNA02100
CNAG_00044	CNA00330
CNAG_00633	CNA06130
CNAG_00246	CNA02360
CNAG_03452	CNG01350
CNAG_06487	CNN02110
CNAG_04880	CNJ03095
CNAG_04771	CNJ02000
CNAG_03373	CNG02095
CNAG_02522	CNE00440
CNAG_03104	CNG04600
CNAG_00068	CNA00590
CNAG_01626	CNC01390
CNAG_02422	CNE01350
CNAG_04717	CNJ01480
CNAG_06751	CNB00520
CNAG_01925	CNK02660
CNAG_04136	CNI02750
CNAG_03627	CNB01290
CNAG_06986	CNE05180
CNAG_00490	CNA04700
CNAG_07694	CNF00320
CNAG_00749	CNA07280
CNAG_02001	CNK03360
CNAG_06899	CNK00290
CNAG_00675	CNA06530
CNAG_01104	CND02300
CNAG_07593	CNC01310
CNAG_02213	CNE03280
CNAG_02891	CNC05040
CNAG_05274	CNH03560
CNAG_00419	CNA04063
CNAG_02987	CNC05955
CNAG_00926	CND00660
CNAG_04296	CNI02530
CNAG_05381	CNH00990
CNAG_05620	CNH02610
CNAG_05695	CNF02770
CNAG_06376	CNN01020
CNAG_05030	CNL05865
CNAG_01723	CNC02270
CNAG_07880	CNH01350
CNAG_04595	CNJ00340
CNAG_02857	CNC04740
CNAG_06100	CNM01070
CNAG_04097	CNB05760
CNAG_01267	CND03870
CNAG_07679	CNF01160
CNAG_00364	CNA03390
CNAG_04303	CNI02470
CNAG_04340	CNI02100
CNAG_03728	CNB02260
CNAG_04500	CNI00570
CNAG_04876	CNJ03040
CNAG_04997	CNL06170
CNAG_04329	CNI02200
CNAG_05106	CNL05155
CNAG_01036	CND01670
CNAG_03390	CNG01950
CNAG_03232	CNG03400
CNAG_01089	CND02160
CNAG_05416	CNH00830
CNAG_01228	CND03475
CNAG_03857	CNB03470
CNAG_01795	CNC02860
CNAG_00756	CNA07350
CNAG_07481	CNB02730
CNAG_02698	CNK01860
CNAG_00840	CNA08170
CNAG_07936	CNN01220
CNAG_05577	CNH02240
CNAG_03670	CNB01690
CNAG_04609	CNJ00490
CNAG_04050	CNB05340
CNAG_03444	CNG01430
CNAG_04310	CNI02390
CNAG_03241	CNG03320
CNAG_04541	CNI00130
CNAG_00471	CNA04520
CNAG_01880	CNK02210
CNAG_03233	CNG03390
CNAG_03267	CNG03090
CNAG_05009	CNL06070
CNAG_02924	CNC05330
CNAG_06342	CNN00720
CNAG_06685	CNF03310
CNAG_06627	CNF03910
CNAG_06337	CNN00670
CNAG_04095	CNB05740
CNAG_05369	CNH00370
CNAG_07382	CNA07040
CNAG_03410	CNG01740
CNAG_02194	CNE03450
CNAG_01294	CND04140
CNAG_02999	CNC06090
CNAG_01631	CNC01440
CNAG_05462	CNH01240
CNAG_04180	CNI03170
CNAG_00510	CNA04930
CNAG_00651	CNA06310
CNAG_01497	CNC06830
CNAG_01001	CND01290
CNAG_05033	CNL05840
CNAG_04576	CNJ00170
CNAG_02319	CNE02260
CNAG_02383	CNE01660
CNAG_02435	CNE01220
CNAG_01654	CNC01670
CNAG_02980	CNC05890
CNAG_00886	CND00240
CNAG_00534	CNA05160
CNAG_02291	CNE02525
CNAG_04867	CNJ02950
CNAG_05810	CNF01690
CNAG_00992	CND01200
CNAG_06241	CNM02420
CNAG_07745	CNG00600
CNAG_02534	CNE00310
CNAG_06166	CNM01670
CNAG_05023	CNL05940
CNAG_01276	CND03960
CNAG_06829	CND06110
CNAG_03325	CNG02530
CNAG_08026	CNB05780
CNAG_01371	CND04840
CNAG_01207	CND03310
CNAG_01716	CNC02200
CNAG_03716	CNB02130
CNAG_04270	CNI04090
CNAG_02261	CNE02850
CNAG_00672	CNA06500
CNAG_06678	CNF03420
CNAG_05718	CNF02560
CNAG_04796	CNJ02230
CNAG_05517	CNH01690
CNAG_02875	CNC04880
CNAG_06109	CNM01150
CNAG_03959	CNB04470
CNAG_00658	CNA06370
CNAG_03520	CNG00730
CNAG_06201	CNM02000
CNAG_00993	CND01210
CNAG_00086	CNA00760
CNAG_02363	CNE01860
CNAG_03769	CNB02660
CNAG_05878	CNF00940
CNAG_01127	CND02500
CNAG_06711	CNB00920
CNAG_02378	CNE01710
CNAG_03519	CNH00230
CNAG_02598	CNK00840
CNAG_01180	CND03050
CNAG_06295	CNN00310
CNAG_03484	CNG01080
CNAG_03939	CNB04260
CNAG_05395	CNH00630
CNAG_05537	CNH01875
CNAG_02266	CNE02800
CNAG_07778	CNI00230
CNAG_06364	CNN00920
CNAG_04758	CNJ01880
CNAG_01916	CNK02590
CNAG_00608	CNA05910
CNAG_00823	CNA08000
CNAG_06813	CND05940
CNAG_05976	CNF00090
CNAG_03137	CNG04270
CNAG_04726	CNJ01560
CNAG_03901	CNB03890
CNAG_06139	CNM01410
CNAG_05087	CNL05320
CNAG_04524	CNI00310
CNAG_05258	CNH03730
CNAG_06511	CNN02360
CNAG_00819	CNA07960
CNAG_05686	CNF02875
CNAG_03309	CNG02690
CNAG_00162	CNA01500
CNAG_04784	CNJ02110
CNAG_02310	CNE02360
CNAG_00057	CNA00470
CNAG_03779	CNB02740
CNAG_02770	CNC03910
CNAG_05163	CNL04620
CNAG_04112	CNI04360
CNAG_06563	CNF04540
CNAG_04791	CNJ02180
CNAG_06259	CNN00150
CNAG_07976	CNH03820
CNAG_05931	CNF00440
CNAG_04691	CNJ01220
CNAG_03853	CNB03430
CNAG_00602	CNA05850
CNAG_00773	CNA07510
CNAG_00021	CNA00140
CNAG_07817	CNL04520
CNAG_01144	CND02690
CNAG_04795	CNJ02220
CNAG_01043	CND01730
CNAG_00190	CNA01790
CNAG_00321	CNA03060
CNAG_04163	CNI02990
CNAG_04339	CNI02110
CNAG_04240	CNI03810
CNAG_05525	CNH01770
CNAG_07999	CNJ01055
CNAG_05358	CNH00260
CNAG_00320	CNA03050
CNAG_03662	CNB01610
CNAG_06726	CNB00770
CNAG_01332	CND04480
CNAG_01819	CNC03070
CNAG_06366	CNN00940
CNAG_00427	CNA04120
CNAG_07864	CNJ00090
CNAG_02527	CNE00390
CNAG_05293	CNH03380
CNAG_07814	CNL04920
CNAG_01395	CND05060
CNAG_04655	CNJ00920
CNAG_02788	CNC04060
CNAG_01596	CNC01090
CNAG_03280	CNG02950
CNAG_05890	CNF00825
CNAG_04263	CNI04020
CNAG_05097	CNL05250
CNAG_00401	CNA03890
CNAG_00347	CNA03560
CNAG_02969	CNC05790
CNAG_01179	CND03040
CNAG_04914	CNJ03360
CNAG_01009	CND01380
CNAG_02073	CNE04630
CNAG_07794	CNL06760
CNAG_02592	CNK00790
CNAG_01848	CNC03330
CNAG_03311	CNG02670
CNAG_05706	CNF02680
CNAG_02197	CNE03420
CNAG_04830	CNJ02550
CNAG_07203	CNB02545
CNAG_02906	CNC05160
CNAG_05090	CNL05290
CNAG_07346	CNA02700
CNAG_01737	CNC02410
CNAG_07517	CNC04530
CNAG_00049	CNA00380
CNAG_05001	CNL06140
CNAG_05742	CNF02350
CNAG_02728	CNC03550
CNAG_00760	CNA07390
CNAG_00569	CNA05500
CNAG_01419	CND05310
CNAG_03633	CNB01350
CNAG_06724	CNB00790
CNAG_00526	CNA05080
CNAG_02330	CNE02170
CNAG_01910	CNK02530
CNAG_02309	CNE02370
CNAG_02841	CNC04570
CNAG_06758	CNB00430
CNAG_00837	CNA08140
CNAG_02088	CNE04470
CNAG_05655	CNH02930
CNAG_01553	CNC06310
CNAG_03168	CNG03990
CNAG_02443	CNE01150
CNAG_04288	CNI02610
CNAG_07400	CND06300
CNAG_07320	CNA01890
CNAG_05002	CNL06125
CNAG_06870	CNE05290
CNAG_03435	CNG01500
CNAG_02177	CNE03610
CNAG_02114	CNE04230
CNAG_01123	CND02470
CNAG_06394	CNN01195
CNAG_01284	CND04040
CNAG_00368	CNA03350
CNAG_06382	CNN01080
CNAG_00647	CNA06270
CNAG_07449	CND00510
CNAG_07423	CND04683
CNAG_01504	CNC06760
CNAG_06425	CNN01490
CNAG_03700	CNB01980
CNAG_02354	CNE01960
CNAG_06413	CNN01385
CNAG_01544	CNC06400
CNAG_04762	CNJ01920
CNAG_05995	CNM00040
CNAG_07660	CNF04450
CNAG_06808	CND05800
CNAG_07480	CNB02540
CNAG_05226	CNL04030
CNAG_03695	CNB01930
CNAG_07772	CNI00760
CNAG_07337	CNA02060
CNAG_01858	CNK01980
CNAG_06902	CNK00250
CNAG_03059	CNC00300
CNAG_01955	CNK02940
CNAG_05287	CNH03433
CNAG_04199	CNI03380
CNAG_06588	CNF04290
CNAG_03139	CNG04250
CNAG_06640	CNF03760
CNAG_00175	CNA01630
CNAG_01464	CNC07160
CNAG_06962	CNC00080
CNAG_03263	CNG03130
CNAG_00110	CNA01010
CNAG_00092	CNA00830
CNAG_00316	CNA03000
CNAG_00271	CNA02600
CNAG_04837	CNJ02620
CNAG_00961	CND00910
CNAG_00443	CNA04260
CNAG_02482	CNE00790
CNAG_04361	CNI01890
CNAG_03096	CNG04680
CNAG_07093	CND05053
CNAG_04979	CNL06360
