# H99_mitofates_26June2018
# H99 mitofates predictions from http://mitf.cbrc.jp/MitoFates/
# applied to first 120aa of protein sequences, which gives DIFFERENT predictions from full-length protein
# Edward Wallace, 26th June 2018
# 
# Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
Gene	Prob_preseq	Pred_preseq	CSite_enzyme	Net_charge	Pos_TOM20	Pos_afhelix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNAG_01461	0.000	No	67(MPP)	0.015	55-59	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01463	0.000	No	71(MPP), 79(Oct1)	-0.070	93-97	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01464	0.003	No	44(MPP)	0.091	19-23	15-24-low	21-26	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01465	0.045	No	35(MPP)	0.171	17-21	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01466	0.007	No	12(MPP)	0.000		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01467	0.044	No	25(MPP)	0.040	22-26	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01468	0.025	No	14(MPP)	0.000	36-40,69-73	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01469	0.003	No	77(MPP)	0.039	80-84	16-25-high	-	-	-	-	-	-	-	18-23	-	-	-	-	-	-
CNAG_01470	0.997	Yes	22(MPP), 30(Oct1)	0.227	70-74	8-17-low	-	-	-	-	-	-	3-8	-	-	-	-	-	-	2-7
CNAG_01471	0.013	No	62(MPP), 63(Icp55)	0.097		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01472	0.000	No	42(MPP), 43(Icp55)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01473	0.027	No	48(MPP)	-0.042		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01474	0.000	No	38(MPP)	0.026		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01475	0.000	No	12(MPP)	0.000	47-51	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01476	0.005	No	10(MPP)	0.500	7-11	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01477	0.000	No	61(MPP)	0.115		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01478	0.000	No	12(MPP)	0.000	9-13	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01479	0.030	No	10(MPP)	0.100	7-11	9-18-high	9-14	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01480	0.000	No	68(MPP)	0.059	81-85	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01481	0.007	No	20(MPP)	0.150	63-67	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01482	0.000	No	8(MPP)	-0.250		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01483	0.000	No	45(MPP)	-0.067		10-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01485	0.916	Yes	27(MPP)	0.296		7-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01486	0.076	No	32(MPP), 33(Icp55)	0.094	3-7	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01487	0.000	No	45(MPP), 46(Icp55)	-0.111		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01489	0.000	No	60(MPP)	-0.017	37-41,49-53	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01490	0.000	No	64(MPP)	0.016	27-31	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01491	0.000	No	28(MPP), 29(Icp55)	-0.071	60-64	19-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01492	0.000	No	66(MPP)	-0.015		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01493	0.998	Yes	33(MPP), 34(Icp55)	0.212	8-12	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01494	0.006	No	29(MPP)	0.034	21-25,26-30	20-29-low	-	-	-	-	-	-	-	-	-	-	-	25-30	-	-
CNAG_01495	0.301	No	23(MPP)	0.174		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01496	0.000	No	8(MPP)	-0.250	87-91	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01497	0.007	No	7(MPP)	0.286		16-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01498	0.000	No	47(MPP)	-0.021		8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01499	0.023	No	13(MPP)	0.077		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01500	0.000	No	35(MPP), 36(Icp55)	-0.029	76-80	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01501	0.041	No	33(MPP), 41(Oct1)	0.121	31-35	12-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01502	0.742	Yes	22(MPP)	0.091		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01504	0.000	No	60(MPP)	-0.033	52-56	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01506	0.183	No	17(MPP), 18(Icp55)	0.118		10-19-high	-	-	-	-	-	-	14-19	-	-	-	-	-	-	13-18
CNAG_01507	0.005	No	32(MPP)	0.062		20-29-high	-	-	-	-	-	-	-	20-25	-	19-24	-	-	-	-
CNAG_01508	0.003	No	31(MPP)	0.097		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01509	0.000	No	92(MPP)	-0.087		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01510	0.007	No	24(MPP)	0.125	60-64	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01511	0.000	No	45(MPP), 46(Icp55)	-0.111		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01512	0.021	No	49(MPP)	0.041	56-60	5-14-low	-	-	-	-	-	-	14-19	-	-	13-18	-	-	-	-
CNAG_01513	0.024	No	54(MPP)	0.019		10-19-low	-	-	1-6	-	-	-	-	-	-	-	-	-	-	-
CNAG_01518	0.000	No	59(MPP)	-0.051	89-93	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01519	0.000	No	31(MPP)	0.000		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01520	0.000	No	63(MPP)	-0.111	66-70	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01521	0.000	No	25(MPP), 26(Icp55)	-0.160		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01522	0.948	Yes	25(MPP)	0.200		4-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01523	0.003	No	64(MPP)	0.062	48-52	9-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01524	0.363	No	43(MPP)	0.116		14-23-high	-	-	-	-	-	-	10-15	-	-	9-14	-	-	-	-
CNAG_01525	0.000	No	16(MPP)	0.125	80-84,90-94	14-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01526	0.000	No	63(MPP)	0.032		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01527	0.049	No	26(MPP)	0.115	1-5,94-98	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01528	0.034	No	27(MPP)	0.148	25-29	16-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01529	0.000	No	22(MPP)	0.091		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01530	0.000	No	17(MPP)	0.000		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01531	0.000	No	51(MPP)	0.039	82-86	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01532	0.010	No	13(MPP)	0.154		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01533	0.000	No	42(MPP), 43(Icp55)	0.000		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01534	0.997	Yes	18(MPP)	0.278	3-7	3-13-high	-	-	-	-	-	-	-	-	-	6-11	-	-	-	-
CNAG_01535	0.000	No	12(MPP)	-0.167		16-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01536	0.000	No	49(MPP)	0.020		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01537	0.000	No	46(MPP)	-0.043		12-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01538	0.247	No	31(MPP)	0.129		8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01539	0.000	No	60(MPP)	-0.050		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01540	0.000	No	49(MPP)	0.041		3-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01541	0.013	No	32(MPP)	0.000	68-72	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01542	0.058	No	43(MPP)	0.209		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01543	0.599	Yes	21(MPP), 22(Icp55)	0.000	45-49,61-65,92-96	4-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01544	0.987	Yes	13(MPP)	0.308	10-14,16-20	6-15-high	-	-	17-22	-	16-21	6-11	-	-	-	-	-	-	-	-
CNAG_01545	0.000	No	50(MPP), 51(Icp55)	-0.020	29-33	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01546	0.244	No	35(MPP), 36(Icp55)	0.171	32-36,74-78	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01547	0.000	No	18(MPP)	0.111	50-54,93-97	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01548	0.000	No	37(MPP)	-0.108		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01549	0.000	No	39(MPP)	-0.026		15-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01550	0.000	No	61(MPP)	0.148	58-62	14-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01551	0.000	No	81(MPP)	0.037		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01552	0.000	No	36(MPP)	0.083		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01553	0.000	No	74(MPP)	-0.014		3-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01554	0.000	No	73(MPP)	-0.137		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01555	0.026	No	13(MPP)	0.308	96-100	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01556	0.024	No	27(MPP)	0.037		14-23-low	-	-	-	-	-	-	-	24-29	-	23-28	-	-	-	-
CNAG_01557	0.000	No	39(MPP)	-0.077	89-93	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01558	0.000	No	69(MPP)	-0.058	66-70,95-99	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01559	0.000	No	59(MPP)	0.017	19-23	14-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01560	0.000	No	38(MPP)	0.105	32-36,35-39	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01561	0.000	No	49(MPP)	-0.041		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01562	0.000	No	46(MPP), 47(Icp55)	0.000	2-6	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01563	0.000	No	48(MPP)	0.000	45-49,60-64,88-92,92-96	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01564	0.000	No	23(MPP)	0.261	2-6	1-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01565	0.000	No	33(MPP)	0.030		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01566	0.000	No	14(MPP)	0.143	59-63,86-90	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01567	0.000	No	12(MPP)	0.083	49-53	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	8-13
CNAG_01568	0.014	No	21(MPP)	0.095	50-54,80-84	1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01569	0.938	Yes	35(MPP), 36(Icp55)	0.143		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01570	0.005	No	10(MPP), 11(Icp55)	0.200	51-55	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01571	0.041	No	16(MPP)	0.062		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01572	0.000	No	18(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01573	0.000	No	30(MPP)	0.100		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01574	0.000	No	9(MPP)	-0.333	6-10	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01575	0.011	No	70(MPP)	0.057		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01576	0.008	No	42(MPP)	0.143	21-25	19-28-high	-	-	-	22-27	-	-	-	-	-	-	-	-	-	-
CNAG_01577	0.000	No	33(MPP)	-0.061	31-35,89-93	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01578	0.172	No	21(MPP)	0.190	21-25,76-80	1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01579	0.000	No	19(MPP)	0.158		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01580	0.010	No	58(MPP)	0.103		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01581	0.000	No	68(MPP), 69(Icp55)	-0.162		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01582	0.017	No	41(MPP)	0.098	29-33	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01583	0.005	No	60(MPP)	0.083	75-79	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01584	0.000	No	50(MPP)	-0.100	82-86	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01585	0.000	No	61(MPP)	0.016		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01586	0.985	Yes	31(MPP), 32(Icp55)	0.194	2-6,20-24	7-16-high	-	-	-	-	-	6-11	-	-	-	5-10	-	1-6	-	-
CNAG_01587	0.000	No	19(MPP)	-0.211		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01588	0.000	No	27(MPP)	0.000	8-12,47-51	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01590	0.249	No	27(MPP)	0.111		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01591	0.000	No	12(MPP)	0.000		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01592	0.000	No	64(MPP)	0.000	75-79	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01593	0.008	No	7(MPP)	0.571	78-82	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01594	0.997	Yes	25(MPP), 26(Icp55)	0.200	6-10	4-13-high	-	-	-	-	-	-	-	22-27	-	21-26	-	-	-	-
CNAG_01595	0.000	No	46(MPP), 47(Icp55)	0.022	47-51	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01596	0.928	Yes	23(MPP), 31(Oct1)	0.174	84-88	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01597	0.991	Yes	20(MPP), 21(Icp55)	0.250	13-17	17-26-high	-	-	-	-	-	-	-	-	16-21	-	-	12-17	-	-
CNAG_01598	0.000	No	35(MPP)	-0.114		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01599	0.961	Yes	12(MPP)	0.250	9-13,93-97	8-17-high	-	-	-	-	-	-	-	-	7-12	-	6-11	-	-	-
CNAG_01600	0.000	No	26(MPP)	0.077	13-17	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01601	0.000	No	32(MPP)	0.031		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01602	0.010	No	41(MPP)	0.073	61-65	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01603	0.000	No	19(MPP)	0.105		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01604	0.006	No	37(MPP)	0.054	28-32,78-82	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01605	0.091	No	20(MPP)	0.050	17-21	5-14-low	-	-	-	-	-	-	-	-	-	-	-	16-21	-	-
CNAG_01606	0.000	No	41(MPP)	-0.049	70-74	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01607	0.998	Yes	24(MPP), 32(Oct1)	0.167	21-25	1-10-high	-	-	-	-	-	-	-	-	-	-	-	20-25	-	-
CNAG_01608	0.000	No	26(MPP)	0.308	92-96	5-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01609	0.000	No	57(MPP)	-0.035	54-58,63-67	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01610	0.000	No	74(MPP)	-0.108	60-64	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01611	0.000	No	25(MPP)	-0.040	46-50,93-97	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01612	0.003	No	18(MPP)	0.167		6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01613	0.000	No	26(MPP)	0.192		3-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01614	0.000	No	17(MPP)	0.118	96-100	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01615	0.000	No	46(MPP)	0.043	36-40,59-63	15-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01616	0.003	No	8(MPP)	0.250		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01619	0.000	No	15(MPP)	0.000		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01620	0.037	No	94(MPP)	0.064	91-95	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01621	0.091	No	37(MPP), 38(Icp55)	0.081		4-13-high	-	-	-	-	-	5-10	-	-	-	-	-	-	-	4-9
CNAG_01622	0.000	No	67(MPP)	0.104		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01623	0.009	No	29(MPP)	0.138	1-5	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01624	0.000	No	22(MPP)	-0.136	78-82	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01625	0.000	No	66(MPP)	0.000	63-67	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01626	0.000	No	42(MPP)	0.024		20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01627	0.457	Yes	8(MPP)	0.250		5-17-high	-	-	-	-	-	-	-	5-10	-	-	-	-	-	4-9
CNAG_01628	0.005	No	23(MPP)	0.043	33-37	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01629	0.091	No	46(MPP)	0.022	1-5,43-47,83-87	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01630	0.005	No	49(MPP)	-0.061		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01631	0.003	No	19(MPP)	0.053		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01632	0.093	No	36(MPP)	0.167	5-9	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01633	0.000	No	36(MPP)	0.111	33-37,57-61,82-86	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01634	0.009	No	20(MPP)	0.250	12-16	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01635	0.924	Yes	20(MPP)	0.250		13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01636	0.000	No	41(MPP)	0.000	34-38,48-52	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01637	0.013	No	29(MPP)	0.069		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01638	0.010	No	38(MPP)	0.053	83-87	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01639	0.942	Yes	63(MPP)	0.159	4-8	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01640	0.000	No	41(MPP), 42(Icp55)	0.024	27-31,38-42,46-50	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01641	0.000	No	37(MPP), 45(Oct1)	0.027		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01642	0.000	No	75(MPP), 76(Icp55)	0.053	89-93,95-99	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01643	0.029	No	35(MPP)	0.257	56-60	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01644	0.007	No	71(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01645	0.000	No	59(MPP)	-0.119		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01646	0.000	No	65(MPP)	-0.108		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01647	0.068	No	31(MPP)	0.161	22-26,64-68,70-74,77-81	11-20-low	-	-	-	-	-	-	-	-	-	-	-	21-26	-	-
CNAG_01648	0.032	No	19(MPP)	0.316	35-39,58-62	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01649	0.000	No	69(MPP)	-0.014		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01650	0.808	Yes	27(MPP)	0.185	18-22	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01651	0.000	No	7(MPP), 8(Icp55)	-0.143	50-54	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01652	0.009	No	71(MPP)	0.042	16-20,49-53	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01653	0.130	No	26(MPP)	0.115		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01654	0.007	No	40(MPP)	0.050	74-78	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01655	0.000	No	65(MPP)	-0.015		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01656	0.006	No	10(MPP)	0.300		11-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01657	0.996	Yes	35(MPP), 43(Oct1)	0.200	32-36,62-66,90-94	21-30-high	-	-	-	-	-	16-21	-	-	-	15-20	-	-	-	-
CNAG_01658	0.000	No	52(MPP)	-0.096		17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01659	0.958	Yes	43(MPP)	0.163		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01660	0.000	No	23(MPP)	-0.043	35-39,96-100	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01663	0.000	No	45(MPP)	-0.044		10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01664	0.000	No	53(MPP)	-0.019	66-70,90-94	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01665	0.000	No	39(MPP)	0.000	71-75,94-98	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01666	0.067	No	40(MPP)	0.000	66-70,69-73	5-14-low	-	-	-	-	-	-	-	6-11	-	-	-	-	-	5-10
CNAG_01667	0.994	Yes	28(MPP), 36(Oct1)	0.179	69-73	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01668	0.000	No	29(MPP)	-0.034	1-5,61-65	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01669	0.000	No	36(MPP)	0.028		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01670	0.000	No	61(MPP)	0.098		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01671	0.568	Yes	45(MPP)	0.133		2-15-low	-	-	-	-	-	-	3-8	-	-	-	-	-	-	2-7
CNAG_01672	0.052	No	30(MPP)	0.133		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01673	0.000	No	6(MPP)	0.167		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01674	0.000	No	48(MPP)	-0.146	41-45	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01675	0.018	No	10(MPP)	0.200	14-18,71-75	16-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01676	0.000	No	85(MPP)	0.000		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01677	0.000	No	61(MPP)	0.000		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01678	0.000	No	83(MPP)	-0.060	11-15,80-84,96-100	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01679	0.690	Yes	26(MPP), 34(Oct1)	0.115	86-90	7-16-low	25-30	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01680	0.727	Yes	30(MPP)	0.200	36-40,71-75	17-26-low	-	-	3-8	-	-	-	-	-	-	-	-	-	-	-
CNAG_01681	0.000	No	43(MPP)	-0.140		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01682	0.000	No	32(MPP)	0.031		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01683	0.000	No	37(MPP), 38(Icp55)	0.027		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_01686	0.006	No	18(MPP)	0.056	15-19,78-82	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
